# _root_ C' è vita , c' è contatto con la gente , le sorprese non mancano .
#goldHeads=2,0,2,2,6,2,6,7,10,8,2,13,15,15,2,15,
#predictedHeads=2,0,2,3,6,0,6,6,10,8,10,13,15,15,0,15,
(9,16),-0.634877 # DEPENDENCYPART_ARC
(10,1),-0.902934 # DEPENDENCYPART_ARC
(10,2),-2.00119 # DEPENDENCYPART_ARC
(10,3),-2.46891 # DEPENDENCYPART_ARC
(10,4),-2.43425 # DEPENDENCYPART_ARC
(10,5),-0.323669 # DEPENDENCYPART_ARC
(10,6),-1.5561 # DEPENDENCYPART_ARC
(10,7),-1.40835 # DEPENDENCYPART_ARC
(10,8),0.425083 # DEPENDENCYPART_ARC
(10,9),3.21896 # DEPENDENCYPART_ARC
(10,11),1.83385 # DEPENDENCYPART_ARC
(10,12),-0.128644 # DEPENDENCYPART_ARC
(10,13),0.801329 # DEPENDENCYPART_ARC
(10,14),-0.854044 # DEPENDENCYPART_ARC
(10,15),-0.252082 # DEPENDENCYPART_ARC
(10,16),-0.441079 # DEPENDENCYPART_ARC
(11,4),-1.67823 # DEPENDENCYPART_ARC
(11,9),-0.266872 # DEPENDENCYPART_ARC
(11,12),-0.273281 # DEPENDENCYPART_ARC
(11,16),-1.17477 # DEPENDENCYPART_ARC
(12,2),-3.71525 # DEPENDENCYPART_ARC
(12,3),-3.01768 # DEPENDENCYPART_ARC
(12,4),-2.01105 # DEPENDENCYPART_ARC
(12,6),-3.4755 # DEPENDENCYPART_ARC
(12,7),-2.64465 # DEPENDENCYPART_ARC
(12,8),-1.56036 # DEPENDENCYPART_ARC
(12,10),-2.00039 # DEPENDENCYPART_ARC
(12,11),0.281067 # DEPENDENCYPART_ARC
(12,13),0.357032 # DEPENDENCYPART_ARC
(12,15),-0.45568 # DEPENDENCYPART_ARC
(12,16),-0.957995 # DEPENDENCYPART_ARC
(13,1),-1.40106 # DEPENDENCYPART_ARC
(13,2),-2.16654 # DEPENDENCYPART_ARC
(13,3),-2.88135 # DEPENDENCYPART_ARC
(13,4),-2.78402 # DEPENDENCYPART_ARC
(13,5),-1.04293 # DEPENDENCYPART_ARC
(13,6),-2.01262 # DEPENDENCYPART_ARC
(13,7),-2.66641 # DEPENDENCYPART_ARC
(13,8),-0.421839 # DEPENDENCYPART_ARC
(13,9),0.558249 # DEPENDENCYPART_ARC
(13,10),-1.75596 # DEPENDENCYPART_ARC
(13,11),-1.05752 # DEPENDENCYPART_ARC
(13,12),3.02737 # DEPENDENCYPART_ARC
(13,14),0.405409 # DEPENDENCYPART_ARC
(13,15),0.187685 # DEPENDENCYPART_ARC
(13,16),-0.00147711 # DEPENDENCYPART_ARC
(14,1),-2.13387 # DEPENDENCYPART_ARC
(14,2),-3.07042 # DEPENDENCYPART_ARC
(14,3),-2.98348 # DEPENDENCYPART_ARC
(14,4),-2.24104 # DEPENDENCYPART_ARC
(14,5),-2.0699 # DEPENDENCYPART_ARC
(14,6),-2.95603 # DEPENDENCYPART_ARC
(14,7),-2.63993 # DEPENDENCYPART_ARC
(14,8),-1.51866 # DEPENDENCYPART_ARC
(14,9),-1.33871 # DEPENDENCYPART_ARC
(14,10),-2.32769 # DEPENDENCYPART_ARC
(14,11),-1.37787 # DEPENDENCYPART_ARC
(14,12),-0.470106 # DEPENDENCYPART_ARC
(14,13),-0.853683 # DEPENDENCYPART_ARC
(14,15),-0.110536 # DEPENDENCYPART_ARC
(14,16),-0.948337 # DEPENDENCYPART_ARC
(15,1),0.159404 # DEPENDENCYPART_ARC
(15,2),-2.21637 # DEPENDENCYPART_ARC
(15,3),-0.72992 # DEPENDENCYPART_ARC
(15,4),-2.00757 # DEPENDENCYPART_ARC
(15,5),0.485711 # DEPENDENCYPART_ARC
(15,6),-1.1235 # DEPENDENCYPART_ARC
(15,7),-0.247671 # DEPENDENCYPART_ARC
(15,8),0.41739 # DEPENDENCYPART_ARC
(15,9),-0.592448 # DEPENDENCYPART_ARC
(15,10),0.5976 # DEPENDENCYPART_ARC
(15,11),-1.03224 # DEPENDENCYPART_ARC
(15,12),0.699903 # DEPENDENCYPART_ARC
(15,13),1.5751 # DEPENDENCYPART_ARC
(15,14),3.3983 # DEPENDENCYPART_ARC
(15,16),2.53842 # DEPENDENCYPART_ARC
(16,4),-1.94768 # DEPENDENCYPART_ARC
(16,9),-1.68128 # DEPENDENCYPART_ARC
(16,11),-1.71823 # DEPENDENCYPART_ARC
(16,12),-1.30374 # DEPENDENCYPART_ARC
