# _root_ Due sub sono morti , uno era un campione del rugby , e un altro ha avuto le gambe tagliate da un' elica .
#goldHeads=2,4,4,0,4,7,0,9,7,9,10,11,7,15,17,17,7,19,17,19,20,23,21,23,
#predictedHeads=2,4,4,0,4,7,0,9,7,9,10,11,9,15,17,17,9,19,17,19,20,23,21,23,
(4,12),1.09384 # DEPENDENCYPART_ARC
(4,13),0.73885 # DEPENDENCYPART_ARC
(4,14),-2.04136 # DEPENDENCYPART_ARC
(4,15),-1.25287 # DEPENDENCYPART_ARC
(4,16),-0.830961 # DEPENDENCYPART_ARC
(4,17),0.183349 # DEPENDENCYPART_ARC
(4,18),-1.67795 # DEPENDENCYPART_ARC
(4,19),-1.44042 # DEPENDENCYPART_ARC
(4,20),0.00290915 # DEPENDENCYPART_ARC
(4,21),-1.08723 # DEPENDENCYPART_ARC
(4,22),-2.34793 # DEPENDENCYPART_ARC
(4,23),-2.1243 # DEPENDENCYPART_ARC
(4,24),-1.71377 # DEPENDENCYPART_ARC
(5,8),-1.14906 # DEPENDENCYPART_ARC
(5,12),-1.32437 # DEPENDENCYPART_ARC
(5,14),-1.56154 # DEPENDENCYPART_ARC
(5,18),-1.79663 # DEPENDENCYPART_ARC
(5,22),-1.80953 # DEPENDENCYPART_ARC
(5,24),-1.90335 # DEPENDENCYPART_ARC
(6,2),-1.94093 # DEPENDENCYPART_ARC
(6,3),-2.44873 # DEPENDENCYPART_ARC
(6,4),-1.96412 # DEPENDENCYPART_ARC
(6,5),0.192174 # DEPENDENCYPART_ARC
(6,7),1.24693 # DEPENDENCYPART_ARC
(6,8),-0.614751 # DEPENDENCYPART_ARC
(6,9),-0.285915 # DEPENDENCYPART_ARC
(6,10),-0.0310409 # DEPENDENCYPART_ARC
(6,11),-0.830611 # DEPENDENCYPART_ARC
(6,12),-0.357578 # DEPENDENCYPART_ARC
(6,13),-0.095743 # DEPENDENCYPART_ARC
(6,14),-1.21085 # DEPENDENCYPART_ARC
(6,15),-0.28743 # DEPENDENCYPART_ARC
(6,16),-0.540786 # DEPENDENCYPART_ARC
(6,17),-0.33182 # DEPENDENCYPART_ARC
(6,18),-1.97237 # DEPENDENCYPART_ARC
(6,19),-1.57377 # DEPENDENCYPART_ARC
(6,20),-1.91848 # DEPENDENCYPART_ARC
(6,21),-2.17326 # DEPENDENCYPART_ARC
(6,22),-1.8493 # DEPENDENCYPART_ARC
(6,23),-1.49265 # DEPENDENCYPART_ARC
(6,24),-1.41517 # DEPENDENCYPART_ARC
(7,1),-0.873584 # DEPENDENCYPART_ARC
(7,2),0.518468 # DEPENDENCYPART_ARC
(7,3),-0.645855 # DEPENDENCYPART_ARC
(7,4),-0.647483 # DEPENDENCYPART_ARC
(7,5),-1.18252 # DEPENDENCYPART_ARC
(7,6),2.42076 # DEPENDENCYPART_ARC
(7,8),-0.185691 # DEPENDENCYPART_ARC
(7,9),2.68702 # DEPENDENCYPART_ARC
(7,10),0.720993 # DEPENDENCYPART_ARC
(7,11),0.380626 # DEPENDENCYPART_ARC
(7,12),1.27167 # DEPENDENCYPART_ARC
(7,13),0.637859 # DEPENDENCYPART_ARC
(7,14),-1.7547 # DEPENDENCYPART_ARC
(7,15),-0.507473 # DEPENDENCYPART_ARC
(7,16),0.0828198 # DEPENDENCYPART_ARC
(7,17),0.114056 # DEPENDENCYPART_ARC
(7,18),-1.92353 # DEPENDENCYPART_ARC
(7,19),-0.396971 # DEPENDENCYPART_ARC
(7,20),-0.0340801 # DEPENDENCYPART_ARC
(7,21),-0.778926 # DEPENDENCYPART_ARC
(7,22),-2.35206 # DEPENDENCYPART_ARC
(7,23),-0.928402 # DEPENDENCYPART_ARC
(7,24),-1.5025 # DEPENDENCYPART_ARC
(8,5),-1.02961 # DEPENDENCYPART_ARC
(8,10),0.160791 # DEPENDENCYPART_ARC
(8,12),0.0952657 # DEPENDENCYPART_ARC
(8,21),-0.72479 # DEPENDENCYPART_ARC
(8,24),-0.688388 # DEPENDENCYPART_ARC
(9,1),-0.988215 # DEPENDENCYPART_ARC
(9,2),-1.99916 # DEPENDENCYPART_ARC
(9,3),-2.23087 # DEPENDENCYPART_ARC
(9,4),-0.788643 # DEPENDENCYPART_ARC
(9,5),-1.67866 # DEPENDENCYPART_ARC
(9,6),-0.0739847 # DEPENDENCYPART_ARC
(9,7),-0.4704 # DEPENDENCYPART_ARC
(9,8),3.56649 # DEPENDENCYPART_ARC
(9,10),3.0256 # DEPENDENCYPART_ARC
(9,11),1.39547 # DEPENDENCYPART_ARC
(9,12),1.19964 # DEPENDENCYPART_ARC
(9,13),1.21329 # DEPENDENCYPART_ARC
(9,14),-0.130877 # DEPENDENCYPART_ARC
(9,15),0.222267 # DEPENDENCYPART_ARC
(9,16),0.350803 # DEPENDENCYPART_ARC
(9,17),0.282196 # DEPENDENCYPART_ARC
(9,18),-0.860066 # DEPENDENCYPART_ARC
(9,19),-0.542655 # DEPENDENCYPART_ARC
(9,20),-1.22809 # DEPENDENCYPART_ARC
(9,21),-0.427495 # DEPENDENCYPART_ARC
(9,22),-0.973063 # DEPENDENCYPART_ARC
(9,23),-0.947174 # DEPENDENCYPART_ARC
(9,24),-1.87555 # DEPENDENCYPART_ARC
(10,1),-2.28528 # DEPENDENCYPART_ARC
(10,2),-3.19738 # DEPENDENCYPART_ARC
(10,3),-3.12094 # DEPENDENCYPART_ARC
(10,4),-3.48747 # DEPENDENCYPART_ARC
(10,5),-1.92863 # DEPENDENCYPART_ARC
(10,6),-1.92485 # DEPENDENCYPART_ARC
(10,7),-2.33188 # DEPENDENCYPART_ARC
(10,8),-0.446753 # DEPENDENCYPART_ARC
(10,9),-1.04454 # DEPENDENCYPART_ARC
(10,11),4.07521 # DEPENDENCYPART_ARC
(10,12),0.234975 # DEPENDENCYPART_ARC
(10,13),-0.196278 # DEPENDENCYPART_ARC
(10,14),-1.72768 # DEPENDENCYPART_ARC
(10,15),-0.487058 # DEPENDENCYPART_ARC
(10,16),-1.9422 # DEPENDENCYPART_ARC
(10,17),-1.58734 # DEPENDENCYPART_ARC
(10,18),-2.42001 # DEPENDENCYPART_ARC
(10,19),-3.35734 # DEPENDENCYPART_ARC
(10,20),-3.36377 # DEPENDENCYPART_ARC
(10,21),-2.0787 # DEPENDENCYPART_ARC
(10,22),-2.66847 # DEPENDENCYPART_ARC
(10,23),-4.80217 # DEPENDENCYPART_ARC
(10,24),-1.65333 # DEPENDENCYPART_ARC
(11,1),-2.52271 # DEPENDENCYPART_ARC
(11,2),-2.65646 # DEPENDENCYPART_ARC
(11,3),-3.33332 # DEPENDENCYPART_ARC
(11,4),-1.52851 # DEPENDENCYPART_ARC
(11,5),-3.29143 # DEPENDENCYPART_ARC
(11,6),-1.68262 # DEPENDENCYPART_ARC
(11,7),-2.81899 # DEPENDENCYPART_ARC
(11,8),-0.0672003 # DEPENDENCYPART_ARC
(11,9),-2.23104 # DEPENDENCYPART_ARC
(11,10),0.529929 # DEPENDENCYPART_ARC
(11,12),1.7045 # DEPENDENCYPART_ARC
(11,13),0.349412 # DEPENDENCYPART_ARC
(11,14),-0.323077 # DEPENDENCYPART_ARC
(11,15),0.0821542 # DEPENDENCYPART_ARC
(11,16),-0.339645 # DEPENDENCYPART_ARC
(11,17),-0.244734 # DEPENDENCYPART_ARC
(11,18),-0.949661 # DEPENDENCYPART_ARC
(11,19),-1.36999 # DEPENDENCYPART_ARC
(11,20),-1.28131 # DEPENDENCYPART_ARC
(11,21),-1.17441 # DEPENDENCYPART_ARC
(11,22),-1.28791 # DEPENDENCYPART_ARC
(11,23),-1.75455 # DEPENDENCYPART_ARC
(11,24),-1.30141 # DEPENDENCYPART_ARC
(12,5),-1.74621 # DEPENDENCYPART_ARC
(12,8),-1.0906 # DEPENDENCYPART_ARC
(12,14),-0.522909 # DEPENDENCYPART_ARC
(12,18),-1.22231 # DEPENDENCYPART_ARC
(12,22),-1.42097 # DEPENDENCYPART_ARC
(12,24),-1.21784 # DEPENDENCYPART_ARC
(13,1),-2.4112 # DEPENDENCYPART_ARC
(13,2),-3.18248 # DEPENDENCYPART_ARC
(13,3),-3.02435 # DEPENDENCYPART_ARC
(13,4),-2.9984 # DEPENDENCYPART_ARC
(13,5),-2.1374 # DEPENDENCYPART_ARC
(13,7),-2.814 # DEPENDENCYPART_ARC
(13,9),-2.36949 # DEPENDENCYPART_ARC
(13,10),-1.35737 # DEPENDENCYPART_ARC
(13,11),-1.69857 # DEPENDENCYPART_ARC
(13,12),-0.0977157 # DEPENDENCYPART_ARC
(13,16),-0.104108 # DEPENDENCYPART_ARC
(13,17),-0.667832 # DEPENDENCYPART_ARC
(13,19),-1.74437 # DEPENDENCYPART_ARC
(13,20),-1.73573 # DEPENDENCYPART_ARC
(13,21),-1.92797 # DEPENDENCYPART_ARC
(13,23),-1.83826 # DEPENDENCYPART_ARC
(13,24),-1.20597 # DEPENDENCYPART_ARC
(14,5),-2.89291 # DEPENDENCYPART_ARC
(14,10),-2.69987 # DEPENDENCYPART_ARC
(14,12),-1.69678 # DEPENDENCYPART_ARC
(14,21),-0.500015 # DEPENDENCYPART_ARC
(14,24),-0.396176 # DEPENDENCYPART_ARC
(15,2),-1.67723 # DEPENDENCYPART_ARC
(15,3),-2.40052 # DEPENDENCYPART_ARC
(15,4),-2.75736 # DEPENDENCYPART_ARC
(15,5),-1.18323 # DEPENDENCYPART_ARC
(15,6),-0.930379 # DEPENDENCYPART_ARC
(15,7),-2.22791 # DEPENDENCYPART_ARC
(15,8),0.210702 # DEPENDENCYPART_ARC
(15,9),-0.7991 # DEPENDENCYPART_ARC
(15,10),-0.565755 # DEPENDENCYPART_ARC
(15,11),-0.937253 # DEPENDENCYPART_ARC
(15,12),-0.358812 # DEPENDENCYPART_ARC
(15,13),0.128481 # DEPENDENCYPART_ARC
(15,14),2.46911 # DEPENDENCYPART_ARC
(15,16),1.75608 # DEPENDENCYPART_ARC
(15,17),1.09584 # DEPENDENCYPART_ARC
(15,18),-1.19731 # DEPENDENCYPART_ARC
(15,19),-0.621844 # DEPENDENCYPART_ARC
(15,20),-0.722703 # DEPENDENCYPART_ARC
(15,21),-1.31295 # DEPENDENCYPART_ARC
(15,22),-1.56643 # DEPENDENCYPART_ARC
(15,23),-0.863055 # DEPENDENCYPART_ARC
(15,24),-0.871333 # DEPENDENCYPART_ARC
(16,1),-1.8583 # DEPENDENCYPART_ARC
(16,2),-2.48139 # DEPENDENCYPART_ARC
(16,3),-2.38643 # DEPENDENCYPART_ARC
(16,4),-3.08432 # DEPENDENCYPART_ARC
(16,5),-3.31427 # DEPENDENCYPART_ARC
(16,6),-1.57035 # DEPENDENCYPART_ARC
(16,7),-2.65833 # DEPENDENCYPART_ARC
(16,8),-1.95128 # DEPENDENCYPART_ARC
(16,9),-1.27349 # DEPENDENCYPART_ARC
(16,10),-2.13449 # DEPENDENCYPART_ARC
(16,11),-1.93724 # DEPENDENCYPART_ARC
(16,12),-2.43187 # DEPENDENCYPART_ARC
(16,13),-0.394342 # DEPENDENCYPART_ARC
(16,14),-0.897395 # DEPENDENCYPART_ARC
(16,15),0.626581 # DEPENDENCYPART_ARC
(16,17),0.640059 # DEPENDENCYPART_ARC
(16,18),-1.57136 # DEPENDENCYPART_ARC
(16,19),0.392191 # DEPENDENCYPART_ARC
(16,20),-0.392633 # DEPENDENCYPART_ARC
(16,21),-0.366905 # DEPENDENCYPART_ARC
(16,22),-2.70988 # DEPENDENCYPART_ARC
(16,23),-0.589619 # DEPENDENCYPART_ARC
(16,24),-1.06152 # DEPENDENCYPART_ARC
(17,1),-0.422506 # DEPENDENCYPART_ARC
(17,2),-0.530749 # DEPENDENCYPART_ARC
(17,3),0.420789 # DEPENDENCYPART_ARC
(17,4),-1.02647 # DEPENDENCYPART_ARC
(17,5),-1.91388 # DEPENDENCYPART_ARC
(17,6),0.0217486 # DEPENDENCYPART_ARC
(17,7),-0.211463 # DEPENDENCYPART_ARC
(17,8),0.237371 # DEPENDENCYPART_ARC
(17,9),0.601612 # DEPENDENCYPART_ARC
(17,10),-0.813888 # DEPENDENCYPART_ARC
(17,11),-0.211953 # DEPENDENCYPART_ARC
(17,12),-1.53147 # DEPENDENCYPART_ARC
(17,13),0.354867 # DEPENDENCYPART_ARC
(17,14),0.843154 # DEPENDENCYPART_ARC
(17,15),2.06958 # DEPENDENCYPART_ARC
(17,16),5.05304 # DEPENDENCYPART_ARC
(17,18),-0.574891 # DEPENDENCYPART_ARC
(17,19),2.50678 # DEPENDENCYPART_ARC
(17,20),0.765936 # DEPENDENCYPART_ARC
(17,21),0.672316 # DEPENDENCYPART_ARC
(17,22),-2.31457 # DEPENDENCYPART_ARC
(17,23),0.222592 # DEPENDENCYPART_ARC
(17,24),-0.347753 # DEPENDENCYPART_ARC
(18,1),-1.89884 # DEPENDENCYPART_ARC
(18,2),-2.80277 # DEPENDENCYPART_ARC
(18,3),-3.43984 # DEPENDENCYPART_ARC
(18,4),-2.78045 # DEPENDENCYPART_ARC
(18,5),-1.75211 # DEPENDENCYPART_ARC
(18,7),-3.36855 # DEPENDENCYPART_ARC
(18,9),-2.61277 # DEPENDENCYPART_ARC
(18,10),-1.90968 # DEPENDENCYPART_ARC
(18,11),-2.30698 # DEPENDENCYPART_ARC
(18,12),-1.58814 # DEPENDENCYPART_ARC
(18,16),-1.92642 # DEPENDENCYPART_ARC
(18,17),-0.691769 # DEPENDENCYPART_ARC
(18,19),1.14018 # DEPENDENCYPART_ARC
(18,20),0.45818 # DEPENDENCYPART_ARC
(18,21),-0.453436 # DEPENDENCYPART_ARC
(18,23),-1.05974 # DEPENDENCYPART_ARC
(18,24),-0.797763 # DEPENDENCYPART_ARC
(19,1),-2.01555 # DEPENDENCYPART_ARC
(19,2),-2.73056 # DEPENDENCYPART_ARC
(19,3),-3.06711 # DEPENDENCYPART_ARC
(19,4),-1.35609 # DEPENDENCYPART_ARC
(19,5),-2.8421 # DEPENDENCYPART_ARC
(19,6),-2.40774 # DEPENDENCYPART_ARC
(19,7),-2.97568 # DEPENDENCYPART_ARC
(19,8),-2.50853 # DEPENDENCYPART_ARC
(19,9),-2.9646 # DEPENDENCYPART_ARC
(19,10),-0.588488 # DEPENDENCYPART_ARC
(19,11),-2.20482 # DEPENDENCYPART_ARC
(19,12),-2.22197 # DEPENDENCYPART_ARC
(19,13),-1.18879 # DEPENDENCYPART_ARC
(19,14),-0.339134 # DEPENDENCYPART_ARC
(19,15),-1.30996 # DEPENDENCYPART_ARC
(19,16),-1.80217 # DEPENDENCYPART_ARC
(19,17),-0.332815 # DEPENDENCYPART_ARC
(19,18),3.6188 # DEPENDENCYPART_ARC
(19,20),3.4745 # DEPENDENCYPART_ARC
(19,21),0.347759 # DEPENDENCYPART_ARC
(19,22),-0.0615569 # DEPENDENCYPART_ARC
(19,23),0.24144 # DEPENDENCYPART_ARC
(19,24),-0.522763 # DEPENDENCYPART_ARC
(20,1),-1.11116 # DEPENDENCYPART_ARC
(20,2),-3.28102 # DEPENDENCYPART_ARC
(20,3),-1.71332 # DEPENDENCYPART_ARC
(20,4),-2.07435 # DEPENDENCYPART_ARC
(20,5),-2.87398 # DEPENDENCYPART_ARC
(20,6),-2.14715 # DEPENDENCYPART_ARC
(20,7),-2.52183 # DEPENDENCYPART_ARC
(20,8),-1.61022 # DEPENDENCYPART_ARC
(20,9),-2.12291 # DEPENDENCYPART_ARC
(20,10),-1.68088 # DEPENDENCYPART_ARC
(20,11),-2.42974 # DEPENDENCYPART_ARC
(20,12),-2.35932 # DEPENDENCYPART_ARC
(20,13),-0.038936 # DEPENDENCYPART_ARC
(20,14),-1.51481 # DEPENDENCYPART_ARC
(20,15),-0.852551 # DEPENDENCYPART_ARC
(20,16),-0.206695 # DEPENDENCYPART_ARC
(20,17),-0.444878 # DEPENDENCYPART_ARC
(20,18),0.209961 # DEPENDENCYPART_ARC
(20,19),1.22925 # DEPENDENCYPART_ARC
(20,21),2.2038 # DEPENDENCYPART_ARC
(20,22),-1.28659 # DEPENDENCYPART_ARC
(20,23),0.170389 # DEPENDENCYPART_ARC
(20,24),-0.441692 # DEPENDENCYPART_ARC
(21,1),-2.5914 # DEPENDENCYPART_ARC
(21,2),-2.70342 # DEPENDENCYPART_ARC
(21,3),-3.17838 # DEPENDENCYPART_ARC
(21,4),-3.2116 # DEPENDENCYPART_ARC
(21,5),-2.59335 # DEPENDENCYPART_ARC
(21,6),-2.62917 # DEPENDENCYPART_ARC
(21,7),-3.17575 # DEPENDENCYPART_ARC
(21,8),-2.36469 # DEPENDENCYPART_ARC
(21,9),-2.60454 # DEPENDENCYPART_ARC
(21,10),-2.26884 # DEPENDENCYPART_ARC
(21,11),-2.55441 # DEPENDENCYPART_ARC
(21,12),-2.36232 # DEPENDENCYPART_ARC
(21,13),-2.09456 # DEPENDENCYPART_ARC
(21,14),-2.15679 # DEPENDENCYPART_ARC
(21,15),-2.26115 # DEPENDENCYPART_ARC
(21,16),-2.67298 # DEPENDENCYPART_ARC
(21,17),-2.58155 # DEPENDENCYPART_ARC
(21,18),-1.44549 # DEPENDENCYPART_ARC
(21,19),-1.50544 # DEPENDENCYPART_ARC
(21,20),-0.690015 # DEPENDENCYPART_ARC
(21,22),1.06492 # DEPENDENCYPART_ARC
(21,23),3.48739 # DEPENDENCYPART_ARC
(21,24),0.454995 # DEPENDENCYPART_ARC
(22,5),-2.85805 # DEPENDENCYPART_ARC
(22,10),-3.20825 # DEPENDENCYPART_ARC
(22,12),-2.80249 # DEPENDENCYPART_ARC
(22,21),-0.60916 # DEPENDENCYPART_ARC
(22,24),-0.19801 # DEPENDENCYPART_ARC
(23,1),-2.9769 # DEPENDENCYPART_ARC
(23,2),-3.52772 # DEPENDENCYPART_ARC
(23,3),-2.97301 # DEPENDENCYPART_ARC
(23,4),-2.3018 # DEPENDENCYPART_ARC
(23,5),-3.33983 # DEPENDENCYPART_ARC
(23,6),-2.31164 # DEPENDENCYPART_ARC
(23,7),-2.79008 # DEPENDENCYPART_ARC
(23,8),-3.09941 # DEPENDENCYPART_ARC
(23,9),-3.66024 # DEPENDENCYPART_ARC
(23,10),-1.2422 # DEPENDENCYPART_ARC
(23,11),-3.10715 # DEPENDENCYPART_ARC
(23,12),-3.02576 # DEPENDENCYPART_ARC
(23,13),-1.7873 # DEPENDENCYPART_ARC
(23,14),-1.71318 # DEPENDENCYPART_ARC
(23,15),-1.70706 # DEPENDENCYPART_ARC
(23,16),-2.10538 # DEPENDENCYPART_ARC
(23,17),-1.98324 # DEPENDENCYPART_ARC
(23,18),-0.419567 # DEPENDENCYPART_ARC
(23,19),-1.77881 # DEPENDENCYPART_ARC
(23,20),-0.00224632 # DEPENDENCYPART_ARC
(23,21),0.256556 # DEPENDENCYPART_ARC
(23,22),3.04798 # DEPENDENCYPART_ARC
(23,24),2.60578 # DEPENDENCYPART_ARC
(24,5),-1.99372 # DEPENDENCYPART_ARC
(24,8),-1.9181 # DEPENDENCYPART_ARC
(24,12),-1.91596 # DEPENDENCYPART_ARC
(24,14),-1.79188 # DEPENDENCYPART_ARC
(24,18),-1.49302 # DEPENDENCYPART_ARC
(24,22),-0.359172 # DEPENDENCYPART_ARC
