# _root_ A destra , toeletta e sgabello tipicamente viennesi primo Ottocento , dove la signora Meier sedeva pudicamente a spazzolare i lunghi capelli .
#goldHeads=4,1,2,0,4,4,8,6,10,8,10,16,14,16,14,6,16,17,18,22,22,19,22,
#predictedHeads=16,1,2,2,4,4,8,6,10,8,10,16,14,16,14,0,16,16,18,22,22,19,22,
(4,8),0.105341 # DEPENDENCYPART_ARC
(4,9),-0.205745 # DEPENDENCYPART_ARC
(4,10),0.255636 # DEPENDENCYPART_ARC
(4,11),0.358276 # DEPENDENCYPART_ARC
(4,12),-0.591206 # DEPENDENCYPART_ARC
(4,13),-0.203471 # DEPENDENCYPART_ARC
(4,14),0.216753 # DEPENDENCYPART_ARC
(4,15),0.233047 # DEPENDENCYPART_ARC
(4,16),-0.518783 # DEPENDENCYPART_ARC
(4,17),-1.05958 # DEPENDENCYPART_ARC
(4,18),-0.979354 # DEPENDENCYPART_ARC
(4,19),-1.26788 # DEPENDENCYPART_ARC
(4,20),-1.44618 # DEPENDENCYPART_ARC
(4,21),-2.82219 # DEPENDENCYPART_ARC
(4,22),-1.76827 # DEPENDENCYPART_ARC
(4,23),-2.41678 # DEPENDENCYPART_ARC
(5,1),-1.63415 # DEPENDENCYPART_ARC
(5,2),-1.90891 # DEPENDENCYPART_ARC
(5,3),-1.02659 # DEPENDENCYPART_ARC
(5,4),-0.706673 # DEPENDENCYPART_ARC
(5,6),-0.116116 # DEPENDENCYPART_ARC
(5,7),-1.72701 # DEPENDENCYPART_ARC
(5,8),-1.24016 # DEPENDENCYPART_ARC
(5,10),-1.58756 # DEPENDENCYPART_ARC
(5,11),-0.626272 # DEPENDENCYPART_ARC
(5,12),-2.26121 # DEPENDENCYPART_ARC
(5,14),-1.89635 # DEPENDENCYPART_ARC
(5,15),-1.75403 # DEPENDENCYPART_ARC
(5,16),-2.13135 # DEPENDENCYPART_ARC
(5,17),-2.40271 # DEPENDENCYPART_ARC
(5,18),-2.11058 # DEPENDENCYPART_ARC
(5,19),-3.08593 # DEPENDENCYPART_ARC
(5,21),-2.22926 # DEPENDENCYPART_ARC
(5,22),-2.0884 # DEPENDENCYPART_ARC
(5,23),-2.10364 # DEPENDENCYPART_ARC
(6,1),-1.62311 # DEPENDENCYPART_ARC
(6,2),-3.24544 # DEPENDENCYPART_ARC
(6,3),-2.27591 # DEPENDENCYPART_ARC
(6,4),-2.41978 # DEPENDENCYPART_ARC
(6,5),-0.0707863 # DEPENDENCYPART_ARC
(6,7),0.441163 # DEPENDENCYPART_ARC
(6,8),1.0479 # DEPENDENCYPART_ARC
(6,9),0.604843 # DEPENDENCYPART_ARC
(6,10),0.0546843 # DEPENDENCYPART_ARC
(6,11),0.140298 # DEPENDENCYPART_ARC
(6,12),-0.800177 # DEPENDENCYPART_ARC
(6,13),-0.735167 # DEPENDENCYPART_ARC
(6,14),-0.660151 # DEPENDENCYPART_ARC
(6,15),-0.350359 # DEPENDENCYPART_ARC
(6,16),-0.447507 # DEPENDENCYPART_ARC
(6,17),-1.31208 # DEPENDENCYPART_ARC
(6,18),-1.00269 # DEPENDENCYPART_ARC
(6,19),-1.03874 # DEPENDENCYPART_ARC
(6,20),-1.34365 # DEPENDENCYPART_ARC
(6,21),-1.91589 # DEPENDENCYPART_ARC
(6,22),-1.86497 # DEPENDENCYPART_ARC
(6,23),-2.14389 # DEPENDENCYPART_ARC
(7,1),-1.39011 # DEPENDENCYPART_ARC
(7,2),-2.08957 # DEPENDENCYPART_ARC
(7,3),-1.36162 # DEPENDENCYPART_ARC
(7,4),-1.55828 # DEPENDENCYPART_ARC
(7,5),-0.66436 # DEPENDENCYPART_ARC
(7,6),-0.466863 # DEPENDENCYPART_ARC
(7,8),0.410274 # DEPENDENCYPART_ARC
(7,10),-0.384916 # DEPENDENCYPART_ARC
(7,11),-0.0267072 # DEPENDENCYPART_ARC
(7,12),-0.750609 # DEPENDENCYPART_ARC
(7,13),-1.02616 # DEPENDENCYPART_ARC
(7,14),-1.22548 # DEPENDENCYPART_ARC
(7,15),-1.28176 # DEPENDENCYPART_ARC
(7,16),-0.966868 # DEPENDENCYPART_ARC
(7,17),-1.16363 # DEPENDENCYPART_ARC
(7,18),-1.49384 # DEPENDENCYPART_ARC
(7,19),-1.1549 # DEPENDENCYPART_ARC
(7,20),-1.42495 # DEPENDENCYPART_ARC
(7,21),-1.67692 # DEPENDENCYPART_ARC
(7,22),-1.81473 # DEPENDENCYPART_ARC
(7,23),-1.7039 # DEPENDENCYPART_ARC
(8,1),-0.522566 # DEPENDENCYPART_ARC
(8,2),-2.21618 # DEPENDENCYPART_ARC
(8,3),-1.10753 # DEPENDENCYPART_ARC
(8,4),-1.78538 # DEPENDENCYPART_ARC
(8,5),-0.346613 # DEPENDENCYPART_ARC
(8,6),-0.893489 # DEPENDENCYPART_ARC
(8,7),2.21621 # DEPENDENCYPART_ARC
(8,10),0.782535 # DEPENDENCYPART_ARC
(8,11),0.427398 # DEPENDENCYPART_ARC
(8,12),-0.378563 # DEPENDENCYPART_ARC
(8,13),-0.656381 # DEPENDENCYPART_ARC
(8,14),-0.739958 # DEPENDENCYPART_ARC
(8,15),-0.223742 # DEPENDENCYPART_ARC
(8,16),-0.831024 # DEPENDENCYPART_ARC
(8,17),-0.942305 # DEPENDENCYPART_ARC
(8,18),-0.399156 # DEPENDENCYPART_ARC
(8,19),-1.42683 # DEPENDENCYPART_ARC
(8,20),-0.867568 # DEPENDENCYPART_ARC
(8,21),-0.908463 # DEPENDENCYPART_ARC
(8,22),-0.698098 # DEPENDENCYPART_ARC
(8,23),-1.43047 # DEPENDENCYPART_ARC
(9,1),-1.69259 # DEPENDENCYPART_ARC
(9,2),-2.78246 # DEPENDENCYPART_ARC
(9,3),-1.35669 # DEPENDENCYPART_ARC
(9,4),-2.51623 # DEPENDENCYPART_ARC
(9,5),-1.05991 # DEPENDENCYPART_ARC
(9,6),-1.80541 # DEPENDENCYPART_ARC
(9,8),0.818929 # DEPENDENCYPART_ARC
(9,10),0.804934 # DEPENDENCYPART_ARC
(9,11),0.369571 # DEPENDENCYPART_ARC
(9,13),-0.657081 # DEPENDENCYPART_ARC
(9,14),-0.436537 # DEPENDENCYPART_ARC
(9,15),-0.266498 # DEPENDENCYPART_ARC
(9,16),-0.953714 # DEPENDENCYPART_ARC
(9,18),-0.778419 # DEPENDENCYPART_ARC
(9,19),-1.35339 # DEPENDENCYPART_ARC
(9,20),-1.35652 # DEPENDENCYPART_ARC
(9,21),-1.45632 # DEPENDENCYPART_ARC
(9,22),-1.11591 # DEPENDENCYPART_ARC
(9,23),-0.915964 # DEPENDENCYPART_ARC
(10,1),-0.849366 # DEPENDENCYPART_ARC
(10,2),-2.28065 # DEPENDENCYPART_ARC
(10,3),-1.70036 # DEPENDENCYPART_ARC
(10,4),-2.26478 # DEPENDENCYPART_ARC
(10,5),-0.748657 # DEPENDENCYPART_ARC
(10,6),-1.00854 # DEPENDENCYPART_ARC
(10,7),0.857895 # DEPENDENCYPART_ARC
(10,8),1.50361 # DEPENDENCYPART_ARC
(10,9),2.79653 # DEPENDENCYPART_ARC
(10,11),2.02869 # DEPENDENCYPART_ARC
(10,12),0.0135578 # DEPENDENCYPART_ARC
(10,13),-0.0599289 # DEPENDENCYPART_ARC
(10,14),-0.0673109 # DEPENDENCYPART_ARC
(10,15),0.235573 # DEPENDENCYPART_ARC
(10,16),-0.418518 # DEPENDENCYPART_ARC
(10,17),-0.818896 # DEPENDENCYPART_ARC
(10,18),-1.17966 # DEPENDENCYPART_ARC
(10,19),-0.839451 # DEPENDENCYPART_ARC
(10,20),-0.757649 # DEPENDENCYPART_ARC
(10,21),-1.28386 # DEPENDENCYPART_ARC
(10,22),-0.923855 # DEPENDENCYPART_ARC
(10,23),-1.13271 # DEPENDENCYPART_ARC
(11,3),-1.85737 # DEPENDENCYPART_ARC
(11,13),-0.61839 # DEPENDENCYPART_ARC
(11,20),-1.45014 # DEPENDENCYPART_ARC
(11,23),-1.22511 # DEPENDENCYPART_ARC
(12,1),-1.957 # DEPENDENCYPART_ARC
(12,2),-2.64551 # DEPENDENCYPART_ARC
(12,3),-1.82655 # DEPENDENCYPART_ARC
(12,4),-2.50964 # DEPENDENCYPART_ARC
(12,5),-1.62118 # DEPENDENCYPART_ARC
(12,6),-2.43015 # DEPENDENCYPART_ARC
(12,7),-1.24031 # DEPENDENCYPART_ARC
(12,8),-1.73435 # DEPENDENCYPART_ARC
(12,10),-1.54468 # DEPENDENCYPART_ARC
(12,11),0.374813 # DEPENDENCYPART_ARC
(12,13),0.47095 # DEPENDENCYPART_ARC
(12,14),0.0780451 # DEPENDENCYPART_ARC
(12,15),-0.395955 # DEPENDENCYPART_ARC
(12,16),-0.0453844 # DEPENDENCYPART_ARC
(12,17),-0.757978 # DEPENDENCYPART_ARC
(12,18),-0.903816 # DEPENDENCYPART_ARC
(12,19),-0.36033 # DEPENDENCYPART_ARC
(12,20),-1.08802 # DEPENDENCYPART_ARC
(12,21),-1.22622 # DEPENDENCYPART_ARC
(12,22),-1.37272 # DEPENDENCYPART_ARC
(12,23),-1.15932 # DEPENDENCYPART_ARC
(13,1),-2.6906 # DEPENDENCYPART_ARC
(13,2),-3.03037 # DEPENDENCYPART_ARC
(13,3),-2.10245 # DEPENDENCYPART_ARC
(13,4),-2.81976 # DEPENDENCYPART_ARC
(13,6),-2.75282 # DEPENDENCYPART_ARC
(13,10),-2.12434 # DEPENDENCYPART_ARC
(13,11),-0.932763 # DEPENDENCYPART_ARC
(13,14),0.94237 # DEPENDENCYPART_ARC
(13,16),-0.527848 # DEPENDENCYPART_ARC
(13,18),-1.03683 # DEPENDENCYPART_ARC
(13,19),-1.18105 # DEPENDENCYPART_ARC
(13,22),-1.47375 # DEPENDENCYPART_ARC
(13,23),-1.01126 # DEPENDENCYPART_ARC
(14,1),-1.12848 # DEPENDENCYPART_ARC
(14,2),-2.43531 # DEPENDENCYPART_ARC
(14,3),-2.58096 # DEPENDENCYPART_ARC
(14,4),-2.57819 # DEPENDENCYPART_ARC
(14,5),-1.59962 # DEPENDENCYPART_ARC
(14,6),-2.33397 # DEPENDENCYPART_ARC
(14,7),-0.963208 # DEPENDENCYPART_ARC
(14,8),-0.992049 # DEPENDENCYPART_ARC
(14,9),-0.0483445 # DEPENDENCYPART_ARC
(14,10),-2.08181 # DEPENDENCYPART_ARC
(14,11),-1.50222 # DEPENDENCYPART_ARC
(14,12),0.423547 # DEPENDENCYPART_ARC
(14,13),3.59201 # DEPENDENCYPART_ARC
(14,15),2.5047 # DEPENDENCYPART_ARC
(14,16),0.297942 # DEPENDENCYPART_ARC
(14,17),-0.662878 # DEPENDENCYPART_ARC
(14,18),-0.658967 # DEPENDENCYPART_ARC
(14,19),-0.460097 # DEPENDENCYPART_ARC
(14,20),-1.40847 # DEPENDENCYPART_ARC
(14,21),-2.41754 # DEPENDENCYPART_ARC
(14,22),-1.08073 # DEPENDENCYPART_ARC
(14,23),-1.33093 # DEPENDENCYPART_ARC
(15,1),-1.01417 # DEPENDENCYPART_ARC
(15,2),-2.64969 # DEPENDENCYPART_ARC
(15,3),-2.40534 # DEPENDENCYPART_ARC
(15,4),-2.95426 # DEPENDENCYPART_ARC
(15,5),-1.51558 # DEPENDENCYPART_ARC
(15,6),-2.38632 # DEPENDENCYPART_ARC
(15,7),-0.846928 # DEPENDENCYPART_ARC
(15,8),-1.07829 # DEPENDENCYPART_ARC
(15,9),-0.840313 # DEPENDENCYPART_ARC
(15,10),-0.843812 # DEPENDENCYPART_ARC
(15,11),-1.68801 # DEPENDENCYPART_ARC
(15,12),-0.142041 # DEPENDENCYPART_ARC
(15,13),1.8512 # DEPENDENCYPART_ARC
(15,14),-0.0627627 # DEPENDENCYPART_ARC
(15,16),-0.40521 # DEPENDENCYPART_ARC
(15,17),-1.08102 # DEPENDENCYPART_ARC
(15,18),-1.30439 # DEPENDENCYPART_ARC
(15,19),-1.49162 # DEPENDENCYPART_ARC
(15,20),-1.63461 # DEPENDENCYPART_ARC
(15,21),-2.34267 # DEPENDENCYPART_ARC
(15,22),-1.41628 # DEPENDENCYPART_ARC
(15,23),-1.37777 # DEPENDENCYPART_ARC
(16,1),-0.630226 # DEPENDENCYPART_ARC
(16,2),-1.27335 # DEPENDENCYPART_ARC
(16,3),-2.182 # DEPENDENCYPART_ARC
(16,4),-0.203462 # DEPENDENCYPART_ARC
(16,5),-0.79669 # DEPENDENCYPART_ARC
(16,6),0.295435 # DEPENDENCYPART_ARC
(16,7),0.096446 # DEPENDENCYPART_ARC
(16,8),-1.38335 # DEPENDENCYPART_ARC
(16,9),0.0189844 # DEPENDENCYPART_ARC
(16,10),0.0719789 # DEPENDENCYPART_ARC
(16,11),-1.69356 # DEPENDENCYPART_ARC
(16,12),1.79421 # DEPENDENCYPART_ARC
(16,13),-0.110994 # DEPENDENCYPART_ARC
(16,14),1.42483 # DEPENDENCYPART_ARC
(16,15),1.7147 # DEPENDENCYPART_ARC
(16,17),2.00337 # DEPENDENCYPART_ARC
(16,18),2.84108 # DEPENDENCYPART_ARC
(16,19),1.19416 # DEPENDENCYPART_ARC
(16,20),-0.835284 # DEPENDENCYPART_ARC
(16,21),0.22965 # DEPENDENCYPART_ARC
(16,22),0.741639 # DEPENDENCYPART_ARC
(16,23),0.239476 # DEPENDENCYPART_ARC
(17,1),-2.17388 # DEPENDENCYPART_ARC
(17,2),-2.81297 # DEPENDENCYPART_ARC
(17,3),-2.28397 # DEPENDENCYPART_ARC
(17,4),-2.63305 # DEPENDENCYPART_ARC
(17,5),-1.89659 # DEPENDENCYPART_ARC
(17,6),-2.73644 # DEPENDENCYPART_ARC
(17,7),-1.62278 # DEPENDENCYPART_ARC
(17,8),-2.18655 # DEPENDENCYPART_ARC
(17,10),-2.4494 # DEPENDENCYPART_ARC
(17,11),-1.97067 # DEPENDENCYPART_ARC
(17,12),-1.30577 # DEPENDENCYPART_ARC
(17,13),-1.18667 # DEPENDENCYPART_ARC
(17,14),-1.74345 # DEPENDENCYPART_ARC
(17,15),-1.44879 # DEPENDENCYPART_ARC
(17,16),-0.599224 # DEPENDENCYPART_ARC
(17,18),0.390363 # DEPENDENCYPART_ARC
(17,19),0.216447 # DEPENDENCYPART_ARC
(17,20),-0.508134 # DEPENDENCYPART_ARC
(17,21),-0.713273 # DEPENDENCYPART_ARC
(17,22),-0.491361 # DEPENDENCYPART_ARC
(17,23),-0.603507 # DEPENDENCYPART_ARC
(18,1),-1.67986 # DEPENDENCYPART_ARC
(18,2),-2.2939 # DEPENDENCYPART_ARC
(18,3),-2.02955 # DEPENDENCYPART_ARC
(18,4),-2.27052 # DEPENDENCYPART_ARC
(18,5),-1.47334 # DEPENDENCYPART_ARC
(18,6),-2.11636 # DEPENDENCYPART_ARC
(18,7),-1.64613 # DEPENDENCYPART_ARC
(18,8),-2.22872 # DEPENDENCYPART_ARC
(18,9),-1.88064 # DEPENDENCYPART_ARC
(18,10),-2.00596 # DEPENDENCYPART_ARC
(18,11),-1.74075 # DEPENDENCYPART_ARC
(18,12),-1.1123 # DEPENDENCYPART_ARC
(18,13),-1.38621 # DEPENDENCYPART_ARC
(18,14),-1.62154 # DEPENDENCYPART_ARC
(18,15),-1.26258 # DEPENDENCYPART_ARC
(18,16),-1.02231 # DEPENDENCYPART_ARC
(18,17),0.509195 # DEPENDENCYPART_ARC
(18,19),3.14959 # DEPENDENCYPART_ARC
(18,20),-0.0232173 # DEPENDENCYPART_ARC
(18,21),-0.0275374 # DEPENDENCYPART_ARC
(18,22),0.287533 # DEPENDENCYPART_ARC
(18,23),-0.405243 # DEPENDENCYPART_ARC
(19,1),-2.11773 # DEPENDENCYPART_ARC
(19,2),-2.69397 # DEPENDENCYPART_ARC
(19,3),-3.92843 # DEPENDENCYPART_ARC
(19,4),-2.01642 # DEPENDENCYPART_ARC
(19,5),-1.97577 # DEPENDENCYPART_ARC
(19,6),-1.46737 # DEPENDENCYPART_ARC
(19,7),-1.58604 # DEPENDENCYPART_ARC
(19,8),-2.00308 # DEPENDENCYPART_ARC
(19,9),-1.71884 # DEPENDENCYPART_ARC
(19,10),-1.36143 # DEPENDENCYPART_ARC
(19,11),-3.4689 # DEPENDENCYPART_ARC
(19,12),-0.164776 # DEPENDENCYPART_ARC
(19,13),-1.46201 # DEPENDENCYPART_ARC
(19,14),-0.667137 # DEPENDENCYPART_ARC
(19,15),-0.47986 # DEPENDENCYPART_ARC
(19,16),-0.789058 # DEPENDENCYPART_ARC
(19,17),-0.227762 # DEPENDENCYPART_ARC
(19,18),0.644117 # DEPENDENCYPART_ARC
(19,20),0.955844 # DEPENDENCYPART_ARC
(19,21),1.00163 # DEPENDENCYPART_ARC
(19,22),2.23079 # DEPENDENCYPART_ARC
(19,23),0.154771 # DEPENDENCYPART_ARC
(20,1),-2.63941 # DEPENDENCYPART_ARC
(20,2),-3.56631 # DEPENDENCYPART_ARC
(20,3),-2.17933 # DEPENDENCYPART_ARC
(20,4),-3.58474 # DEPENDENCYPART_ARC
(20,6),-3.02474 # DEPENDENCYPART_ARC
(20,10),-2.60769 # DEPENDENCYPART_ARC
(20,11),-1.99258 # DEPENDENCYPART_ARC
(20,14),-3.25412 # DEPENDENCYPART_ARC
(20,16),-3.43883 # DEPENDENCYPART_ARC
(20,18),-0.965819 # DEPENDENCYPART_ARC
(20,19),-0.626172 # DEPENDENCYPART_ARC
(20,22),0.0390913 # DEPENDENCYPART_ARC
(20,23),-0.535737 # DEPENDENCYPART_ARC
(21,1),-1.45414 # DEPENDENCYPART_ARC
(21,2),-3.08509 # DEPENDENCYPART_ARC
(21,3),-2.05018 # DEPENDENCYPART_ARC
(21,4),-3.06734 # DEPENDENCYPART_ARC
(21,5),-2.33609 # DEPENDENCYPART_ARC
(21,6),-2.56257 # DEPENDENCYPART_ARC
(21,7),-1.86712 # DEPENDENCYPART_ARC
(21,8),-1.40679 # DEPENDENCYPART_ARC
(21,10),-2.3333 # DEPENDENCYPART_ARC
(21,11),-1.84295 # DEPENDENCYPART_ARC
(21,12),-1.83013 # DEPENDENCYPART_ARC
(21,13),-1.74358 # DEPENDENCYPART_ARC
(21,14),-2.66595 # DEPENDENCYPART_ARC
(21,15),-2.1737 # DEPENDENCYPART_ARC
(21,16),-2.5579 # DEPENDENCYPART_ARC
(21,17),-0.92702 # DEPENDENCYPART_ARC
(21,18),-0.133729 # DEPENDENCYPART_ARC
(21,19),-0.748023 # DEPENDENCYPART_ARC
(21,20),1.33985 # DEPENDENCYPART_ARC
(21,22),1.30105 # DEPENDENCYPART_ARC
(21,23),-0.069644 # DEPENDENCYPART_ARC
(22,1),-1.31979 # DEPENDENCYPART_ARC
(22,2),-2.41344 # DEPENDENCYPART_ARC
(22,3),-2.35888 # DEPENDENCYPART_ARC
(22,4),-2.48683 # DEPENDENCYPART_ARC
(22,5),-1.58292 # DEPENDENCYPART_ARC
(22,6),-1.45503 # DEPENDENCYPART_ARC
(22,7),-1.00268 # DEPENDENCYPART_ARC
(22,8),-0.826415 # DEPENDENCYPART_ARC
(22,9),-0.542326 # DEPENDENCYPART_ARC
(22,10),-1.36592 # DEPENDENCYPART_ARC
(22,11),-2.32071 # DEPENDENCYPART_ARC
(22,12),-0.965197 # DEPENDENCYPART_ARC
(22,13),-1.94062 # DEPENDENCYPART_ARC
(22,14),-1.77921 # DEPENDENCYPART_ARC
(22,15),-1.31057 # DEPENDENCYPART_ARC
(22,16),-2.82497 # DEPENDENCYPART_ARC
(22,17),-0.00307415 # DEPENDENCYPART_ARC
(22,18),-0.00060348 # DEPENDENCYPART_ARC
(22,19),-1.18957 # DEPENDENCYPART_ARC
(22,20),3.85577 # DEPENDENCYPART_ARC
(22,21),4.10852 # DEPENDENCYPART_ARC
(22,23),3.01258 # DEPENDENCYPART_ARC
(23,3),-1.98993 # DEPENDENCYPART_ARC
(23,11),-1.85659 # DEPENDENCYPART_ARC
(23,13),-1.65415 # DEPENDENCYPART_ARC
(23,20),-0.740009 # DEPENDENCYPART_ARC
