# _root_ La scultura è del pachistano Hamad Butt : intitolata " Riti di Passaggio " , ha la forma di una scala e nei tubi contiene iodio , che scaldato dalle luci si è trasformato in gas .
#goldHeads=2,3,0,3,7,7,4,7,2,11,9,11,12,13,14,0,18,16,18,21,19,16,25,23,16,25,26,34,34,29,30,34,34,26,34,35,36,
#predictedHeads=2,3,0,3,4,4,6,7,7,11,9,11,12,13,14,0,18,16,18,21,19,19,25,23,0,25,26,29,26,29,30,34,34,26,34,35,36,
(3,9),0.388516 # DEPENDENCYPART_ARC
(3,10),-1.23708 # DEPENDENCYPART_ARC
(3,11),-1.15511 # DEPENDENCYPART_ARC
(3,12),-1.34263 # DEPENDENCYPART_ARC
(3,13),-1.7152 # DEPENDENCYPART_ARC
(3,14),-1.92357 # DEPENDENCYPART_ARC
(3,15),0.388856 # DEPENDENCYPART_ARC
(3,16),-1.21986 # DEPENDENCYPART_ARC
(3,17),-1.95703 # DEPENDENCYPART_ARC
(3,18),-1.58739 # DEPENDENCYPART_ARC
(3,19),-1.7254 # DEPENDENCYPART_ARC
(3,20),-1.64297 # DEPENDENCYPART_ARC
(3,21),-1.95023 # DEPENDENCYPART_ARC
(3,22),0.0354951 # DEPENDENCYPART_ARC
(3,23),-1.60127 # DEPENDENCYPART_ARC
(3,24),-3.96627 # DEPENDENCYPART_ARC
(3,25),-0.740307 # DEPENDENCYPART_ARC
(3,26),-3.83696 # DEPENDENCYPART_ARC
(3,27),-1.6578 # DEPENDENCYPART_ARC
(3,28),-3.55982 # DEPENDENCYPART_ARC
(3,29),-2.24172 # DEPENDENCYPART_ARC
(3,30),-3.5083 # DEPENDENCYPART_ARC
(3,31),-5.05163 # DEPENDENCYPART_ARC
(3,32),-2.26507 # DEPENDENCYPART_ARC
(3,33),0.130126 # DEPENDENCYPART_ARC
(3,34),-2.8758 # DEPENDENCYPART_ARC
(3,35),-3.21841 # DEPENDENCYPART_ARC
(3,36),-5.92394 # DEPENDENCYPART_ARC
(3,37),-5.79083 # DEPENDENCYPART_ARC
(4,1),-0.794702 # DEPENDENCYPART_ARC
(4,2),-1.68123 # DEPENDENCYPART_ARC
(4,3),-0.323627 # DEPENDENCYPART_ARC
(4,5),1.52204 # DEPENDENCYPART_ARC
(4,6),2.65111 # DEPENDENCYPART_ARC
(4,7),0.777451 # DEPENDENCYPART_ARC
(4,8),0.0134089 # DEPENDENCYPART_ARC
(4,9),-0.56404 # DEPENDENCYPART_ARC
(4,10),-0.193262 # DEPENDENCYPART_ARC
(4,11),-2.19342 # DEPENDENCYPART_ARC
(4,12),-0.608204 # DEPENDENCYPART_ARC
(4,13),-2.69555 # DEPENDENCYPART_ARC
(4,14),-0.514506 # DEPENDENCYPART_ARC
(4,15),0.0894495 # DEPENDENCYPART_ARC
(4,16),-2.45375 # DEPENDENCYPART_ARC
(4,17),-1.77904 # DEPENDENCYPART_ARC
(4,18),-5.44673 # DEPENDENCYPART_ARC
(4,19),-1.46414 # DEPENDENCYPART_ARC
(4,20),-2.02595 # DEPENDENCYPART_ARC
(4,21),-6.82651 # DEPENDENCYPART_ARC
(4,22),0.0156593 # DEPENDENCYPART_ARC
(4,23),-0.827755 # DEPENDENCYPART_ARC
(4,24),-7.27566 # DEPENDENCYPART_ARC
(4,25),-3.5768 # DEPENDENCYPART_ARC
(4,26),-8.88788 # DEPENDENCYPART_ARC
(4,27),-0.711441 # DEPENDENCYPART_ARC
(4,28),-5.00017 # DEPENDENCYPART_ARC
(4,29),-3.92085 # DEPENDENCYPART_ARC
(4,30),-2.84195 # DEPENDENCYPART_ARC
(4,31),-10.4819 # DEPENDENCYPART_ARC
(4,32),-4.1703 # DEPENDENCYPART_ARC
(4,33),-5.45871 # DEPENDENCYPART_ARC
(4,34),-4.30179 # DEPENDENCYPART_ARC
(4,35),-4.25347 # DEPENDENCYPART_ARC
(4,36),-12.2877 # DEPENDENCYPART_ARC
(4,37),-2.64905 # DEPENDENCYPART_ARC
(5,1),-1.94703 # DEPENDENCYPART_ARC
(5,2),-2.79008 # DEPENDENCYPART_ARC
(5,3),-1.5007 # DEPENDENCYPART_ARC
(5,4),-0.321702 # DEPENDENCYPART_ARC
(5,6),1.57028 # DEPENDENCYPART_ARC
(5,7),0.705321 # DEPENDENCYPART_ARC
(5,8),-0.0180525 # DEPENDENCYPART_ARC
(5,9),-0.410463 # DEPENDENCYPART_ARC
(5,10),-1.06674 # DEPENDENCYPART_ARC
(5,11),-0.996641 # DEPENDENCYPART_ARC
(5,12),-0.864743 # DEPENDENCYPART_ARC
(5,13),-0.815138 # DEPENDENCYPART_ARC
(5,14),-1.66678 # DEPENDENCYPART_ARC
(5,15),-1.00302 # DEPENDENCYPART_ARC
(5,16),-2.33371 # DEPENDENCYPART_ARC
(5,17),-1.5999 # DEPENDENCYPART_ARC
(5,18),-1.6775 # DEPENDENCYPART_ARC
(5,19),-1.22048 # DEPENDENCYPART_ARC
(5,20),-1.73176 # DEPENDENCYPART_ARC
(5,21),-1.54815 # DEPENDENCYPART_ARC
(5,22),-0.838164 # DEPENDENCYPART_ARC
(5,23),-1.70183 # DEPENDENCYPART_ARC
(5,24),-1.60498 # DEPENDENCYPART_ARC
(5,25),-2.80115 # DEPENDENCYPART_ARC
(5,26),-1.74552 # DEPENDENCYPART_ARC
(5,27),-2.61309 # DEPENDENCYPART_ARC
(5,28),-3.12121 # DEPENDENCYPART_ARC
(5,29),-2.07985 # DEPENDENCYPART_ARC
(5,30),-2.30593 # DEPENDENCYPART_ARC
(5,31),-2.2498 # DEPENDENCYPART_ARC
(5,32),-3.35908 # DEPENDENCYPART_ARC
(5,33),-3.36707 # DEPENDENCYPART_ARC
(5,34),-2.48688 # DEPENDENCYPART_ARC
(5,35),-2.40419 # DEPENDENCYPART_ARC
(5,36),-2.24738 # DEPENDENCYPART_ARC
(5,37),-4.33795 # DEPENDENCYPART_ARC
(6,1),-0.0171724 # DEPENDENCYPART_ARC
(6,2),-2.93012 # DEPENDENCYPART_ARC
(6,3),-2.36648 # DEPENDENCYPART_ARC
(6,4),-0.0119202 # DEPENDENCYPART_ARC
(6,5),1.48428 # DEPENDENCYPART_ARC
(6,7),2.0214 # DEPENDENCYPART_ARC
(6,8),-0.239885 # DEPENDENCYPART_ARC
(6,9),1.0772 # DEPENDENCYPART_ARC
(6,10),-0.947231 # DEPENDENCYPART_ARC
(6,11),-0.109176 # DEPENDENCYPART_ARC
(6,12),0.0574389 # DEPENDENCYPART_ARC
(6,13),-0.133089 # DEPENDENCYPART_ARC
(6,14),-2.10914 # DEPENDENCYPART_ARC
(6,15),-0.529093 # DEPENDENCYPART_ARC
(6,16),-1.59561 # DEPENDENCYPART_ARC
(6,17),-0.391764 # DEPENDENCYPART_ARC
(6,18),-1.02066 # DEPENDENCYPART_ARC
(6,19),-0.996671 # DEPENDENCYPART_ARC
(6,20),-0.816559 # DEPENDENCYPART_ARC
(6,21),-1.31135 # DEPENDENCYPART_ARC
(6,22),-0.741078 # DEPENDENCYPART_ARC
(6,23),-2.56781 # DEPENDENCYPART_ARC
(6,24),-1.26733 # DEPENDENCYPART_ARC
(6,25),-3.02985 # DEPENDENCYPART_ARC
(6,26),-0.957009 # DEPENDENCYPART_ARC
(6,27),-1.53267 # DEPENDENCYPART_ARC
(6,29),-1.68404 # DEPENDENCYPART_ARC
(6,30),-3.82337 # DEPENDENCYPART_ARC
(6,31),-1.51768 # DEPENDENCYPART_ARC
(6,32),-2.31396 # DEPENDENCYPART_ARC
(6,33),-1.75685 # DEPENDENCYPART_ARC
(6,34),-3.0864 # DEPENDENCYPART_ARC
(6,35),-3.10915 # DEPENDENCYPART_ARC
(6,36),-2.21133 # DEPENDENCYPART_ARC
(6,37),-6.46637 # DEPENDENCYPART_ARC
(7,1),-0.836979 # DEPENDENCYPART_ARC
(7,2),-2.53238 # DEPENDENCYPART_ARC
(7,3),-2.37548 # DEPENDENCYPART_ARC
(7,4),0.115145 # DEPENDENCYPART_ARC
(7,5),1.30547 # DEPENDENCYPART_ARC
(7,6),3.45176 # DEPENDENCYPART_ARC
(7,8),1.88202 # DEPENDENCYPART_ARC
(7,9),1.09031 # DEPENDENCYPART_ARC
(7,10),-0.461601 # DEPENDENCYPART_ARC
(7,11),-0.319899 # DEPENDENCYPART_ARC
(7,12),-0.379989 # DEPENDENCYPART_ARC
(7,13),-0.0475171 # DEPENDENCYPART_ARC
(7,14),-0.939692 # DEPENDENCYPART_ARC
(7,15),-0.484622 # DEPENDENCYPART_ARC
(7,16),-1.83225 # DEPENDENCYPART_ARC
(7,17),-0.341149 # DEPENDENCYPART_ARC
(7,18),-0.888488 # DEPENDENCYPART_ARC
(7,19),-1.46855 # DEPENDENCYPART_ARC
(7,20),-0.890606 # DEPENDENCYPART_ARC
(7,21),-0.808984 # DEPENDENCYPART_ARC
(7,22),-0.604907 # DEPENDENCYPART_ARC
(7,23),-2.75033 # DEPENDENCYPART_ARC
(7,24),-1.26693 # DEPENDENCYPART_ARC
(7,25),-3.20789 # DEPENDENCYPART_ARC
(7,26),-1.00857 # DEPENDENCYPART_ARC
(7,27),-0.443299 # DEPENDENCYPART_ARC
(7,29),-2.20676 # DEPENDENCYPART_ARC
(7,30),-3.84241 # DEPENDENCYPART_ARC
(7,31),-1.74311 # DEPENDENCYPART_ARC
(7,32),-2.40632 # DEPENDENCYPART_ARC
(7,33),-2.31414 # DEPENDENCYPART_ARC
(7,34),-3.26199 # DEPENDENCYPART_ARC
(7,35),-3.39685 # DEPENDENCYPART_ARC
(7,36),-2.19176 # DEPENDENCYPART_ARC
(7,37),-5.26929 # DEPENDENCYPART_ARC
(8,1),-1.23828 # DEPENDENCYPART_ARC
(8,10),-1.48739 # DEPENDENCYPART_ARC
(8,14),-1.85064 # DEPENDENCYPART_ARC
(8,15),-1.11728 # DEPENDENCYPART_ARC
(8,17),-1.69558 # DEPENDENCYPART_ARC
(8,20),-1.7046 # DEPENDENCYPART_ARC
(8,27),-2.445 # DEPENDENCYPART_ARC
(8,37),-2.83802 # DEPENDENCYPART_ARC
(9,1),-2.08678 # DEPENDENCYPART_ARC
(9,2),-0.473291 # DEPENDENCYPART_ARC
(9,3),-0.389624 # DEPENDENCYPART_ARC
(9,4),-1.70516 # DEPENDENCYPART_ARC
(9,5),-2.11343 # DEPENDENCYPART_ARC
(9,6),-0.766909 # DEPENDENCYPART_ARC
(9,7),-0.713754 # DEPENDENCYPART_ARC
(9,8),0.1458 # DEPENDENCYPART_ARC
(9,10),1.23372 # DEPENDENCYPART_ARC
(9,11),1.03824 # DEPENDENCYPART_ARC
(9,12),0.755472 # DEPENDENCYPART_ARC
(9,13),-0.391542 # DEPENDENCYPART_ARC
(9,14),-0.675416 # DEPENDENCYPART_ARC
(9,15),0.570731 # DEPENDENCYPART_ARC
(9,16),-1.03433 # DEPENDENCYPART_ARC
(9,17),-2.12128 # DEPENDENCYPART_ARC
(9,18),-1.02058 # DEPENDENCYPART_ARC
(9,19),-0.762621 # DEPENDENCYPART_ARC
(9,20),-1.77791 # DEPENDENCYPART_ARC
(9,21),-1.12034 # DEPENDENCYPART_ARC
(9,22),0.230732 # DEPENDENCYPART_ARC
(9,23),-0.553053 # DEPENDENCYPART_ARC
(9,24),-3.34522 # DEPENDENCYPART_ARC
(9,25),-0.949508 # DEPENDENCYPART_ARC
(9,26),-2.96506 # DEPENDENCYPART_ARC
(9,27),0.0435787 # DEPENDENCYPART_ARC
(9,28),-4.29599 # DEPENDENCYPART_ARC
(9,29),-0.993334 # DEPENDENCYPART_ARC
(9,30),-1.73735 # DEPENDENCYPART_ARC
(9,31),-3.59269 # DEPENDENCYPART_ARC
(9,32),-2.76241 # DEPENDENCYPART_ARC
(9,33),-1.41484 # DEPENDENCYPART_ARC
(9,34),-1.42933 # DEPENDENCYPART_ARC
(9,35),-1.72403 # DEPENDENCYPART_ARC
(9,36),-4.46229 # DEPENDENCYPART_ARC
(9,37),-3.74966 # DEPENDENCYPART_ARC
(10,1),-1.51583 # DEPENDENCYPART_ARC
(10,8),-0.552406 # DEPENDENCYPART_ARC
(10,14),-0.707423 # DEPENDENCYPART_ARC
(10,15),-0.179261 # DEPENDENCYPART_ARC
(10,17),-1.16505 # DEPENDENCYPART_ARC
(10,20),-1.2078 # DEPENDENCYPART_ARC
(10,27),-1.77301 # DEPENDENCYPART_ARC
(10,37),-2.61799 # DEPENDENCYPART_ARC
(11,1),-2.17152 # DEPENDENCYPART_ARC
(11,2),-2.65893 # DEPENDENCYPART_ARC
(11,3),-2.7332 # DEPENDENCYPART_ARC
(11,4),-0.668572 # DEPENDENCYPART_ARC
(11,5),-0.338698 # DEPENDENCYPART_ARC
(11,6),-0.97157 # DEPENDENCYPART_ARC
(11,7),-1.38565 # DEPENDENCYPART_ARC
(11,8),-0.34552 # DEPENDENCYPART_ARC
(11,9),0.156258 # DEPENDENCYPART_ARC
(11,10),2.51115 # DEPENDENCYPART_ARC
(11,12),3.32259 # DEPENDENCYPART_ARC
(11,13),1.17633 # DEPENDENCYPART_ARC
(11,14),0.517717 # DEPENDENCYPART_ARC
(11,15),0.756247 # DEPENDENCYPART_ARC
(11,16),0.0838651 # DEPENDENCYPART_ARC
(11,17),0.19253 # DEPENDENCYPART_ARC
(11,18),0.110068 # DEPENDENCYPART_ARC
(11,19),0.528949 # DEPENDENCYPART_ARC
(11,20),-0.189452 # DEPENDENCYPART_ARC
(11,21),-0.17915 # DEPENDENCYPART_ARC
(11,22),0.346798 # DEPENDENCYPART_ARC
(11,23),-0.52879 # DEPENDENCYPART_ARC
(11,24),0.423892 # DEPENDENCYPART_ARC
(11,25),-1.56066 # DEPENDENCYPART_ARC
(11,26),-0.60539 # DEPENDENCYPART_ARC
(11,27),0.255884 # DEPENDENCYPART_ARC
(11,28),-2.17084 # DEPENDENCYPART_ARC
(11,29),-0.401834 # DEPENDENCYPART_ARC
(11,30),-1.32726 # DEPENDENCYPART_ARC
(11,31),-0.0329321 # DEPENDENCYPART_ARC
(11,32),-2.2513 # DEPENDENCYPART_ARC
(11,33),-0.996331 # DEPENDENCYPART_ARC
(11,34),-1.60424 # DEPENDENCYPART_ARC
(11,35),-1.76021 # DEPENDENCYPART_ARC
(11,36),-1.62134 # DEPENDENCYPART_ARC
(11,37),-4.0604 # DEPENDENCYPART_ARC
(12,1),-2.0748 # DEPENDENCYPART_ARC
(12,2),-2.26048 # DEPENDENCYPART_ARC
(12,3),-2.73949 # DEPENDENCYPART_ARC
(12,4),-1.77265 # DEPENDENCYPART_ARC
(12,5),-2.27308 # DEPENDENCYPART_ARC
(12,6),-2.11842 # DEPENDENCYPART_ARC
(12,7),-1.89448 # DEPENDENCYPART_ARC
(12,8),-1.62412 # DEPENDENCYPART_ARC
(12,9),-1.91245 # DEPENDENCYPART_ARC
(12,10),-0.996242 # DEPENDENCYPART_ARC
(12,11),-0.410041 # DEPENDENCYPART_ARC
(12,13),4.20796 # DEPENDENCYPART_ARC
(12,14),-0.629031 # DEPENDENCYPART_ARC
(12,15),-0.0616447 # DEPENDENCYPART_ARC
(12,16),-0.725563 # DEPENDENCYPART_ARC
(12,17),-1.45106 # DEPENDENCYPART_ARC
(12,18),-2.25841 # DEPENDENCYPART_ARC
(12,19),-0.897029 # DEPENDENCYPART_ARC
(12,20),-1.8473 # DEPENDENCYPART_ARC
(12,21),-3.53253 # DEPENDENCYPART_ARC
(12,22),-0.0879181 # DEPENDENCYPART_ARC
(12,23),-0.484136 # DEPENDENCYPART_ARC
(12,24),-3.72104 # DEPENDENCYPART_ARC
(12,25),-2.45751 # DEPENDENCYPART_ARC
(12,26),-5.0792 # DEPENDENCYPART_ARC
(12,27),-1.44464 # DEPENDENCYPART_ARC
(12,28),-4.31945 # DEPENDENCYPART_ARC
(12,29),-3.38056 # DEPENDENCYPART_ARC
(12,30),-2.9078 # DEPENDENCYPART_ARC
(12,31),-6.53023 # DEPENDENCYPART_ARC
(12,32),-3.90386 # DEPENDENCYPART_ARC
(12,33),-4.90586 # DEPENDENCYPART_ARC
(12,34),-4.00027 # DEPENDENCYPART_ARC
(12,35),-4.32021 # DEPENDENCYPART_ARC
(12,36),-8.34459 # DEPENDENCYPART_ARC
(12,37),-3.04888 # DEPENDENCYPART_ARC
(13,1),-3.51593 # DEPENDENCYPART_ARC
(13,2),-4.4581 # DEPENDENCYPART_ARC
(13,3),-3.36548 # DEPENDENCYPART_ARC
(13,4),-2.32133 # DEPENDENCYPART_ARC
(13,5),-1.26649 # DEPENDENCYPART_ARC
(13,6),-2.86589 # DEPENDENCYPART_ARC
(13,7),-3.74361 # DEPENDENCYPART_ARC
(13,8),-2.61693 # DEPENDENCYPART_ARC
(13,9),-1.79811 # DEPENDENCYPART_ARC
(13,10),-0.998356 # DEPENDENCYPART_ARC
(13,11),-1.18372 # DEPENDENCYPART_ARC
(13,12),0.409507 # DEPENDENCYPART_ARC
(13,14),2.06234 # DEPENDENCYPART_ARC
(13,15),-0.133627 # DEPENDENCYPART_ARC
(13,16),-0.486108 # DEPENDENCYPART_ARC
(13,17),-1.10363 # DEPENDENCYPART_ARC
(13,18),-1.28409 # DEPENDENCYPART_ARC
(13,19),-0.428937 # DEPENDENCYPART_ARC
(13,20),-1.4633 # DEPENDENCYPART_ARC
(13,21),-1.469 # DEPENDENCYPART_ARC
(13,22),-0.450779 # DEPENDENCYPART_ARC
(13,23),-1.79341 # DEPENDENCYPART_ARC
(13,24),-1.42628 # DEPENDENCYPART_ARC
(13,25),-2.47237 # DEPENDENCYPART_ARC
(13,26),-1.04124 # DEPENDENCYPART_ARC
(13,27),-0.197162 # DEPENDENCYPART_ARC
(13,28),-3.37164 # DEPENDENCYPART_ARC
(13,29),-1.65345 # DEPENDENCYPART_ARC
(13,30),-2.66312 # DEPENDENCYPART_ARC
(13,31),-1.98449 # DEPENDENCYPART_ARC
(13,32),-3.53837 # DEPENDENCYPART_ARC
(13,33),-2.37173 # DEPENDENCYPART_ARC
(13,34),-2.73408 # DEPENDENCYPART_ARC
(13,35),-2.97027 # DEPENDENCYPART_ARC
(13,36),-2.06515 # DEPENDENCYPART_ARC
(13,37),-4.36561 # DEPENDENCYPART_ARC
(14,1),-1.30118 # DEPENDENCYPART_ARC
(14,8),-1.22201 # DEPENDENCYPART_ARC
(14,10),-1.0729 # DEPENDENCYPART_ARC
(14,15),2.31009 # DEPENDENCYPART_ARC
(14,17),-0.489194 # DEPENDENCYPART_ARC
(14,20),-0.754774 # DEPENDENCYPART_ARC
(14,27),-0.865405 # DEPENDENCYPART_ARC
(14,37),-1.66547 # DEPENDENCYPART_ARC
(15,1),-1.09563 # DEPENDENCYPART_ARC
(15,8),-1.04819 # DEPENDENCYPART_ARC
(15,10),-1.1122 # DEPENDENCYPART_ARC
(15,14),0.6778 # DEPENDENCYPART_ARC
(15,17),-0.888825 # DEPENDENCYPART_ARC
(15,20),-1.30653 # DEPENDENCYPART_ARC
(15,27),-1.46719 # DEPENDENCYPART_ARC
(15,37),-2.20823 # DEPENDENCYPART_ARC
(16,1),-2.06928 # DEPENDENCYPART_ARC
(16,2),0.445426 # DEPENDENCYPART_ARC
(16,3),-2.31641 # DEPENDENCYPART_ARC
(16,4),-2.64209 # DEPENDENCYPART_ARC
(16,5),-1.83944 # DEPENDENCYPART_ARC
(16,6),0.225411 # DEPENDENCYPART_ARC
(16,7),-0.0548803 # DEPENDENCYPART_ARC
(16,8),-2.52462 # DEPENDENCYPART_ARC
(16,9),-0.551289 # DEPENDENCYPART_ARC
(16,10),-1.47752 # DEPENDENCYPART_ARC
(16,11),-0.947767 # DEPENDENCYPART_ARC
(16,12),-1.26775 # DEPENDENCYPART_ARC
(16,13),-0.29345 # DEPENDENCYPART_ARC
(16,14),-0.645067 # DEPENDENCYPART_ARC
(16,15),-0.166024 # DEPENDENCYPART_ARC
(16,17),-0.737956 # DEPENDENCYPART_ARC
(16,18),2.38687 # DEPENDENCYPART_ARC
(16,19),0.0725038 # DEPENDENCYPART_ARC
(16,20),-1.86499 # DEPENDENCYPART_ARC
(16,21),1.06892 # DEPENDENCYPART_ARC
(16,22),0.827717 # DEPENDENCYPART_ARC
(16,23),-0.282167 # DEPENDENCYPART_ARC
(16,24),-0.862329 # DEPENDENCYPART_ARC
(16,25),0.374291 # DEPENDENCYPART_ARC
(16,26),-1.13618 # DEPENDENCYPART_ARC
(16,27),0.363634 # DEPENDENCYPART_ARC
(16,28),-3.19002 # DEPENDENCYPART_ARC
(16,29),-0.869037 # DEPENDENCYPART_ARC
(16,30),-1.15029 # DEPENDENCYPART_ARC
(16,31),-1.74178 # DEPENDENCYPART_ARC
(16,32),-2.01306 # DEPENDENCYPART_ARC
(16,33),-0.57156 # DEPENDENCYPART_ARC
(16,34),-1.17213 # DEPENDENCYPART_ARC
(16,35),-1.04644 # DEPENDENCYPART_ARC
(16,36),-2.17573 # DEPENDENCYPART_ARC
(16,37),-3.17068 # DEPENDENCYPART_ARC
(17,2),-2.53074 # DEPENDENCYPART_ARC
(17,3),-2.58593 # DEPENDENCYPART_ARC
(17,4),-2.18539 # DEPENDENCYPART_ARC
(17,8),-1.28267 # DEPENDENCYPART_ARC
(17,9),-2.5365 # DEPENDENCYPART_ARC
(17,10),-0.7348 # DEPENDENCYPART_ARC
(17,11),-2.22826 # DEPENDENCYPART_ARC
(17,12),-1.37968 # DEPENDENCYPART_ARC
(17,13),-1.85116 # DEPENDENCYPART_ARC
(17,14),-0.176153 # DEPENDENCYPART_ARC
(17,15),-0.294768 # DEPENDENCYPART_ARC
(17,16),-0.167087 # DEPENDENCYPART_ARC
(17,18),1.30771 # DEPENDENCYPART_ARC
(17,19),0.150199 # DEPENDENCYPART_ARC
(17,21),-0.186739 # DEPENDENCYPART_ARC
