# _root_ Non certo nei millenari blocchi naturali di marmo , ma in laboratorio , come vedremo più avanti .
#goldHeads=2,0,2,5,3,5,5,7,5,5,5,11,12,2,14,17,15,17,
#predictedHeads=2,0,2,5,3,5,5,7,8,3,7,11,12,6,14,17,15,17,
(14,18),0.145222 # DEPENDENCYPART_ARC
(15,1),-1.50177 # DEPENDENCYPART_ARC
(15,2),-0.842929 # DEPENDENCYPART_ARC
(15,3),-0.786117 # DEPENDENCYPART_ARC
(15,4),-0.806029 # DEPENDENCYPART_ARC
(15,5),-1.20328 # DEPENDENCYPART_ARC
(15,6),-0.920918 # DEPENDENCYPART_ARC
(15,7),-1.74665 # DEPENDENCYPART_ARC
(15,8),-2.63224 # DEPENDENCYPART_ARC
(15,9),-2.07074 # DEPENDENCYPART_ARC
(15,10),-0.502497 # DEPENDENCYPART_ARC
(15,11),0.382477 # DEPENDENCYPART_ARC
(15,12),-1.56618 # DEPENDENCYPART_ARC
(15,13),-0.951683 # DEPENDENCYPART_ARC
(15,14),1.4619 # DEPENDENCYPART_ARC
(15,16),1.47866 # DEPENDENCYPART_ARC
(15,17),1.64761 # DEPENDENCYPART_ARC
(15,18),0.177744 # DEPENDENCYPART_ARC
(16,1),-1.42015 # DEPENDENCYPART_ARC
(16,2),-1.75887 # DEPENDENCYPART_ARC
(16,3),-1.64822 # DEPENDENCYPART_ARC
(16,4),-1.95991 # DEPENDENCYPART_ARC
(16,5),-2.53226 # DEPENDENCYPART_ARC
(16,6),-1.95055 # DEPENDENCYPART_ARC
(16,7),-1.47533 # DEPENDENCYPART_ARC
(16,8),-2.35576 # DEPENDENCYPART_ARC
(16,9),-1.79842 # DEPENDENCYPART_ARC
(16,10),-1.18843 # DEPENDENCYPART_ARC
(16,11),-1.11553 # DEPENDENCYPART_ARC
(16,12),-1.90325 # DEPENDENCYPART_ARC
(16,13),-1.18509 # DEPENDENCYPART_ARC
(16,14),-0.571459 # DEPENDENCYPART_ARC
(16,15),-0.349356 # DEPENDENCYPART_ARC
(16,17),0.932479 # DEPENDENCYPART_ARC
(16,18),0.64239 # DEPENDENCYPART_ARC
(17,1),-0.563785 # DEPENDENCYPART_ARC
(17,2),-0.988244 # DEPENDENCYPART_ARC
(17,3),-1.08505 # DEPENDENCYPART_ARC
(17,4),-1.23826 # DEPENDENCYPART_ARC
(17,5),-1.77254 # DEPENDENCYPART_ARC
(17,6),-1.32678 # DEPENDENCYPART_ARC
(17,7),-0.812926 # DEPENDENCYPART_ARC
(17,8),-1.68146 # DEPENDENCYPART_ARC
(17,9),-1.19428 # DEPENDENCYPART_ARC
(17,10),-0.372733 # DEPENDENCYPART_ARC
(17,11),-0.587275 # DEPENDENCYPART_ARC
(17,12),-1.33193 # DEPENDENCYPART_ARC
(17,13),-0.827838 # DEPENDENCYPART_ARC
(17,14),0.0131964 # DEPENDENCYPART_ARC
(17,15),-0.460861 # DEPENDENCYPART_ARC
(17,16),1.78669 # DEPENDENCYPART_ARC
(17,18),2.65487 # DEPENDENCYPART_ARC
(18,1),-2.62556 # DEPENDENCYPART_ARC
(18,2),-2.64855 # DEPENDENCYPART_ARC
(18,3),-2.27379 # DEPENDENCYPART_ARC
(18,4),-2.72109 # DEPENDENCYPART_ARC
(18,5),-2.63809 # DEPENDENCYPART_ARC
(18,6),-2.59511 # DEPENDENCYPART_ARC
(18,7),-2.23261 # DEPENDENCYPART_ARC
(18,8),-2.64947 # DEPENDENCYPART_ARC
(18,9),-2.28477 # DEPENDENCYPART_ARC
(18,10),-2.11877 # DEPENDENCYPART_ARC
(18,11),-1.94767 # DEPENDENCYPART_ARC
(18,12),-2.48295 # DEPENDENCYPART_ARC
(18,13),-2.06936 # DEPENDENCYPART_ARC
(18,14),-1.90755 # DEPENDENCYPART_ARC
(18,15),-2.19703 # DEPENDENCYPART_ARC
(18,16),-1.3945 # DEPENDENCYPART_ARC
(18,17),-0.610091 # DEPENDENCYPART_ARC
