# _root_ Non ci rendiamo conto del lavoro psicologico , dei prodigi di equilibrio , di diplomazia che fanno per noi .
#goldHeads=3,3,0,3,4,5,6,5,5,9,10,11,11,11,14,17,6,17,18,19,
#predictedHeads=3,3,0,3,4,5,6,7,4,9,10,11,12,10,14,17,15,17,18,19,
(7,16),-2.05302 # DEPENDENCYPART_ARC
(7,17),-2.00479 # DEPENDENCYPART_ARC
(7,18),-1.14154 # DEPENDENCYPART_ARC
(7,19),-1.97789 # DEPENDENCYPART_ARC
(7,20),-1.18241 # DEPENDENCYPART_ARC
(8,1),-2.09621 # DEPENDENCYPART_ARC
(8,2),-1.99645 # DEPENDENCYPART_ARC
(8,3),-2.50271 # DEPENDENCYPART_ARC
(8,4),-1.98743 # DEPENDENCYPART_ARC
(8,5),-1.08614 # DEPENDENCYPART_ARC
(8,6),-1.48039 # DEPENDENCYPART_ARC
(8,7),-0.460562 # DEPENDENCYPART_ARC
(8,9),-0.764382 # DEPENDENCYPART_ARC
(8,10),-0.880598 # DEPENDENCYPART_ARC
(8,11),-1.48135 # DEPENDENCYPART_ARC
(8,12),-1.47351 # DEPENDENCYPART_ARC
(8,13),-0.48107 # DEPENDENCYPART_ARC
(8,14),-1.91272 # DEPENDENCYPART_ARC
(8,15),-1.71247 # DEPENDENCYPART_ARC
(8,16),-1.79543 # DEPENDENCYPART_ARC
(8,17),-1.54022 # DEPENDENCYPART_ARC
(8,18),-2.02921 # DEPENDENCYPART_ARC
(8,19),-2.04092 # DEPENDENCYPART_ARC
(8,20),-1.12202 # DEPENDENCYPART_ARC
(9,1),-1.04779 # DEPENDENCYPART_ARC
(9,2),-1.76013 # DEPENDENCYPART_ARC
(9,3),-2.59585 # DEPENDENCYPART_ARC
(9,4),-2.29787 # DEPENDENCYPART_ARC
(9,5),-1.018 # DEPENDENCYPART_ARC
(9,6),-1.76418 # DEPENDENCYPART_ARC
(9,7),-1.27391 # DEPENDENCYPART_ARC
(9,8),0.0394322 # DEPENDENCYPART_ARC
(9,10),4.17531 # DEPENDENCYPART_ARC
(9,11),-0.234776 # DEPENDENCYPART_ARC
(9,12),0.393935 # DEPENDENCYPART_ARC
(9,13),0.305979 # DEPENDENCYPART_ARC
(9,14),-0.69146 # DEPENDENCYPART_ARC
(9,15),-1.89458 # DEPENDENCYPART_ARC
(9,16),-1.33042 # DEPENDENCYPART_ARC
(9,17),-2.2993 # DEPENDENCYPART_ARC
(9,18),-1.43274 # DEPENDENCYPART_ARC
(9,19),-0.43972 # DEPENDENCYPART_ARC
(9,20),-1.35432 # DEPENDENCYPART_ARC
(10,1),-1.83807 # DEPENDENCYPART_ARC
(10,2),-2.06355 # DEPENDENCYPART_ARC
(10,3),-3.33517 # DEPENDENCYPART_ARC
(10,4),-2.5352 # DEPENDENCYPART_ARC
(10,5),-1.16263 # DEPENDENCYPART_ARC
(10,6),-1.89073 # DEPENDENCYPART_ARC
(10,7),-1.10779 # DEPENDENCYPART_ARC
(10,8),-1.47985 # DEPENDENCYPART_ARC
(10,9),1.10056 # DEPENDENCYPART_ARC
(10,11),2.57655 # DEPENDENCYPART_ARC
(10,12),1.11977 # DEPENDENCYPART_ARC
(10,13),0.580218 # DEPENDENCYPART_ARC
(10,14),0.749022 # DEPENDENCYPART_ARC
(10,15),0.521169 # DEPENDENCYPART_ARC
(10,16),-1.41336 # DEPENDENCYPART_ARC
(10,17),0.752858 # DEPENDENCYPART_ARC
(10,18),-0.786266 # DEPENDENCYPART_ARC
(10,19),-0.57088 # DEPENDENCYPART_ARC
(10,20),-1.42529 # DEPENDENCYPART_ARC
(11,1),-1.09355 # DEPENDENCYPART_ARC
(11,2),-1.78517 # DEPENDENCYPART_ARC
(11,3),-2.29398 # DEPENDENCYPART_ARC
(11,4),-1.8734 # DEPENDENCYPART_ARC
(11,5),-1.24009 # DEPENDENCYPART_ARC
(11,6),-1.61161 # DEPENDENCYPART_ARC
(11,7),-1.67249 # DEPENDENCYPART_ARC
(11,8),-1.23788 # DEPENDENCYPART_ARC
(11,9),-0.325735 # DEPENDENCYPART_ARC
(11,10),-0.174094 # DEPENDENCYPART_ARC
(11,12),4.39278 # DEPENDENCYPART_ARC
(11,13),0.68551 # DEPENDENCYPART_ARC
(11,14),0.547514 # DEPENDENCYPART_ARC
(11,15),0.730587 # DEPENDENCYPART_ARC
(11,16),-1.42784 # DEPENDENCYPART_ARC
(11,17),-1.1453 # DEPENDENCYPART_ARC
(11,18),-1.49872 # DEPENDENCYPART_ARC
(11,19),-1.02105 # DEPENDENCYPART_ARC
(11,20),-0.998466 # DEPENDENCYPART_ARC
(12,1),-2.1 # DEPENDENCYPART_ARC
(12,2),-1.68429 # DEPENDENCYPART_ARC
(12,3),-3.0805 # DEPENDENCYPART_ARC
(12,4),-2.78231 # DEPENDENCYPART_ARC
(12,5),-1.58532 # DEPENDENCYPART_ARC
(12,6),-2.3647 # DEPENDENCYPART_ARC
(12,7),-0.875381 # DEPENDENCYPART_ARC
(12,8),-2.46943 # DEPENDENCYPART_ARC
(12,9),-0.671705 # DEPENDENCYPART_ARC
(12,10),-0.428563 # DEPENDENCYPART_ARC
(12,11),0.679486 # DEPENDENCYPART_ARC
(12,13),2.02417 # DEPENDENCYPART_ARC
(12,14),0.385547 # DEPENDENCYPART_ARC
(12,15),0.0454769 # DEPENDENCYPART_ARC
(12,16),-1.83513 # DEPENDENCYPART_ARC
(12,17),-0.520311 # DEPENDENCYPART_ARC
(12,18),-1.18281 # DEPENDENCYPART_ARC
(12,19),-1.60357 # DEPENDENCYPART_ARC
(12,20),-1.56609 # DEPENDENCYPART_ARC
(13,1),-2.4529 # DEPENDENCYPART_ARC
(13,2),-2.41252 # DEPENDENCYPART_ARC
(13,3),-2.88316 # DEPENDENCYPART_ARC
(13,4),-2.52506 # DEPENDENCYPART_ARC
(13,5),-1.92968 # DEPENDENCYPART_ARC
(13,6),-2.42199 # DEPENDENCYPART_ARC
(13,7),-2.37307 # DEPENDENCYPART_ARC
(13,8),-2.00515 # DEPENDENCYPART_ARC
(13,9),-1.56643 # DEPENDENCYPART_ARC
(13,10),-1.82048 # DEPENDENCYPART_ARC
(13,11),-1.06933 # DEPENDENCYPART_ARC
(13,12),-0.799624 # DEPENDENCYPART_ARC
(13,14),-1.08414 # DEPENDENCYPART_ARC
(13,15),-1.19448 # DEPENDENCYPART_ARC
(13,16),-1.74309 # DEPENDENCYPART_ARC
(13,17),-1.54891 # DEPENDENCYPART_ARC
(13,18),-2.18293 # DEPENDENCYPART_ARC
(13,19),-2.19284 # DEPENDENCYPART_ARC
(13,20),-1.12624 # DEPENDENCYPART_ARC
(14,1),-1.33884 # DEPENDENCYPART_ARC
(14,2),-2.00205 # DEPENDENCYPART_ARC
(14,3),-2.53833 # DEPENDENCYPART_ARC
(14,4),-2.09172 # DEPENDENCYPART_ARC
(14,5),-1.61215 # DEPENDENCYPART_ARC
(14,6),-1.96142 # DEPENDENCYPART_ARC
(14,7),-2.05516 # DEPENDENCYPART_ARC
(14,8),-1.95426 # DEPENDENCYPART_ARC
(14,9),-1.19913 # DEPENDENCYPART_ARC
(14,10),-1.65095 # DEPENDENCYPART_ARC
(14,11),-0.765241 # DEPENDENCYPART_ARC
(14,12),-1.00932 # DEPENDENCYPART_ARC
(14,13),-0.0904689 # DEPENDENCYPART_ARC
(14,15),3.7674 # DEPENDENCYPART_ARC
(14,16),0.100886 # DEPENDENCYPART_ARC
(14,17),-0.479938 # DEPENDENCYPART_ARC
(14,18),-1.10042 # DEPENDENCYPART_ARC
(14,19),-0.635734 # DEPENDENCYPART_ARC
(14,20),-0.862172 # DEPENDENCYPART_ARC
(15,1),-2.71501 # DEPENDENCYPART_ARC
(15,2),-2.07641 # DEPENDENCYPART_ARC
(15,3),-3.10826 # DEPENDENCYPART_ARC
(15,4),-3.84602 # DEPENDENCYPART_ARC
(15,5),-2.11213 # DEPENDENCYPART_ARC
(15,6),-3.41756 # DEPENDENCYPART_ARC
(15,7),-2.4527 # DEPENDENCYPART_ARC
(15,8),-3.13938 # DEPENDENCYPART_ARC
(15,9),-1.74143 # DEPENDENCYPART_ARC
(15,10),-2.40943 # DEPENDENCYPART_ARC
(15,11),-1.26275 # DEPENDENCYPART_ARC
(15,12),-2.25656 # DEPENDENCYPART_ARC
(15,13),-1.50826 # DEPENDENCYPART_ARC
(15,14),0.749719 # DEPENDENCYPART_ARC
(15,16),0.248867 # DEPENDENCYPART_ARC
(15,17),1.50142 # DEPENDENCYPART_ARC
(15,18),0.212336 # DEPENDENCYPART_ARC
(15,19),-0.597219 # DEPENDENCYPART_ARC
(15,20),-0.351221 # DEPENDENCYPART_ARC
(16,1),-2.14599 # DEPENDENCYPART_ARC
(16,2),-2.37767 # DEPENDENCYPART_ARC
(16,3),-2.8506 # DEPENDENCYPART_ARC
(16,4),-2.54263 # DEPENDENCYPART_ARC
(16,5),-2.40918 # DEPENDENCYPART_ARC
(16,6),-2.58833 # DEPENDENCYPART_ARC
(16,7),-2.45298 # DEPENDENCYPART_ARC
(16,8),-1.74286 # DEPENDENCYPART_ARC
(16,9),-2.416 # DEPENDENCYPART_ARC
(16,10),-2.68974 # DEPENDENCYPART_ARC
(16,11),-1.28208 # DEPENDENCYPART_ARC
(16,12),-2.23173 # DEPENDENCYPART_ARC
(16,13),-1.12048 # DEPENDENCYPART_ARC
(16,14),-0.600963 # DEPENDENCYPART_ARC
(16,15),-0.586827 # DEPENDENCYPART_ARC
(16,17),0.501464 # DEPENDENCYPART_ARC
(16,18),-0.935653 # DEPENDENCYPART_ARC
(16,19),-0.879244 # DEPENDENCYPART_ARC
(16,20),-0.665337 # DEPENDENCYPART_ARC
(17,1),-1.87289 # DEPENDENCYPART_ARC
(17,2),-1.39432 # DEPENDENCYPART_ARC
(17,3),-1.34449 # DEPENDENCYPART_ARC
(17,4),-1.4133 # DEPENDENCYPART_ARC
(17,5),-3.00828 # DEPENDENCYPART_ARC
(17,6),-2.2252 # DEPENDENCYPART_ARC
(17,7),-1.59212 # DEPENDENCYPART_ARC
(17,8),-2.75404 # DEPENDENCYPART_ARC
(17,9),-1.2998 # DEPENDENCYPART_ARC
(17,10),-0.253468 # DEPENDENCYPART_ARC
(17,11),-1.55391 # DEPENDENCYPART_ARC
(17,12),-1.23602 # DEPENDENCYPART_ARC
(17,13),-2.38156 # DEPENDENCYPART_ARC
(17,14),-0.294591 # DEPENDENCYPART_ARC
(17,15),-0.385091 # DEPENDENCYPART_ARC
(17,16),3.67469 # DEPENDENCYPART_ARC
(17,18),2.96398 # DEPENDENCYPART_ARC
(17,19),1.16049 # DEPENDENCYPART_ARC
(17,20),0.563071 # DEPENDENCYPART_ARC
(18,1),-2.16608 # DEPENDENCYPART_ARC
(18,2),-2.82033 # DEPENDENCYPART_ARC
(18,3),-3.41236 # DEPENDENCYPART_ARC
(18,4),-3.32098 # DEPENDENCYPART_ARC
(18,5),-2.25058 # DEPENDENCYPART_ARC
(18,6),-3.11851 # DEPENDENCYPART_ARC
(18,7),-3.11648 # DEPENDENCYPART_ARC
(18,8),-2.9462 # DEPENDENCYPART_ARC
(18,9),-2.09412 # DEPENDENCYPART_ARC
(18,10),-3.00197 # DEPENDENCYPART_ARC
(18,11),-2.0683 # DEPENDENCYPART_ARC
(18,12),-2.80556 # DEPENDENCYPART_ARC
(18,13),-2.66629 # DEPENDENCYPART_ARC
(18,14),-1.74202 # DEPENDENCYPART_ARC
(18,15),-2.1697 # DEPENDENCYPART_ARC
(18,16),-1.66233 # DEPENDENCYPART_ARC
(18,17),-1.02384 # DEPENDENCYPART_ARC
(18,19),3.12409 # DEPENDENCYPART_ARC
(18,20),-0.240212 # DEPENDENCYPART_ARC
(19,1),-2.3232 # DEPENDENCYPART_ARC
(19,2),-2.7594 # DEPENDENCYPART_ARC
(19,3),-3.98914 # DEPENDENCYPART_ARC
(19,4),-2.89187 # DEPENDENCYPART_ARC
(19,5),-2.9595 # DEPENDENCYPART_ARC
(19,6),-2.83337 # DEPENDENCYPART_ARC
(19,7),-3.14562 # DEPENDENCYPART_ARC
(19,8),-2.40797 # DEPENDENCYPART_ARC
(19,9),-2.89255 # DEPENDENCYPART_ARC
(19,10),-2.7844 # DEPENDENCYPART_ARC
(19,11),-2.02888 # DEPENDENCYPART_ARC
(19,12),-2.74982 # DEPENDENCYPART_ARC
(19,13),-2.18168 # DEPENDENCYPART_ARC
(19,14),-1.71015 # DEPENDENCYPART_ARC
(19,15),-2.36908 # DEPENDENCYPART_ARC
(19,16),-1.30799 # DEPENDENCYPART_ARC
(19,17),-2.55917 # DEPENDENCYPART_ARC
(19,18),-0.0297404 # DEPENDENCYPART_ARC
(19,20),2.71636 # DEPENDENCYPART_ARC
(20,1),-2.32243 # DEPENDENCYPART_ARC
(20,2),-2.30712 # DEPENDENCYPART_ARC
(20,3),-2.87474 # DEPENDENCYPART_ARC
(20,4),-2.59244 # DEPENDENCYPART_ARC
(20,5),-2.10828 # DEPENDENCYPART_ARC
(20,6),-2.62392 # DEPENDENCYPART_ARC
(20,7),-2.43115 # DEPENDENCYPART_ARC
(20,8),-2.19373 # DEPENDENCYPART_ARC
(20,9),-2.06709 # DEPENDENCYPART_ARC
(20,10),-2.45233 # DEPENDENCYPART_ARC
(20,11),-1.89057 # DEPENDENCYPART_ARC
(20,12),-2.43283 # DEPENDENCYPART_ARC
(20,13),-2.01084 # DEPENDENCYPART_ARC
(20,14),-1.76397 # DEPENDENCYPART_ARC
(20,15),-2.15701 # DEPENDENCYPART_ARC
(20,16),-1.80132 # DEPENDENCYPART_ARC
(20,17),-2.03855 # DEPENDENCYPART_ARC
(20,18),-0.926846 # DEPENDENCYPART_ARC
(20,19),-0.245635 # DEPENDENCYPART_ARC
