# _root_ Forse perché quando vi salutate tra voi , con quel braccio proteso in_avanti , somigliate ai soldati tedeschi del Terzo Reich ... .
#goldHeads=2,3,15,5,3,5,6,7,5,11,9,11,12,13,0,15,16,17,17,21,19,21,22,
#predictedHeads=5,5,15,5,3,5,6,7,5,11,9,11,12,13,0,15,16,17,17,21,19,21,22,
(17,16),1.01036 # DEPENDENCYPART_ARC
(17,18),3.17305 # DEPENDENCYPART_ARC
(17,19),1.76456 # DEPENDENCYPART_ARC
(17,20),0.419004 # DEPENDENCYPART_ARC
(17,21),0.212344 # DEPENDENCYPART_ARC
(17,22),-0.279038 # DEPENDENCYPART_ARC
(17,23),-0.824481 # DEPENDENCYPART_ARC
(18,1),-1.82583 # DEPENDENCYPART_ARC
(18,2),-1.09007 # DEPENDENCYPART_ARC
(18,3),-1.02558 # DEPENDENCYPART_ARC
(18,4),-1.30592 # DEPENDENCYPART_ARC
(18,5),-1.94257 # DEPENDENCYPART_ARC
(18,6),-0.669828 # DEPENDENCYPART_ARC
(18,7),-1.16489 # DEPENDENCYPART_ARC
(18,8),-1.42396 # DEPENDENCYPART_ARC
(18,9),-0.240037 # DEPENDENCYPART_ARC
(18,10),-0.820236 # DEPENDENCYPART_ARC
(18,11),-1.62827 # DEPENDENCYPART_ARC
(18,12),-2.30428 # DEPENDENCYPART_ARC
(18,13),-0.488975 # DEPENDENCYPART_ARC
(18,14),-0.948967 # DEPENDENCYPART_ARC
(18,15),-1.08814 # DEPENDENCYPART_ARC
(18,16),0.641518 # DEPENDENCYPART_ARC
(18,17),0.988954 # DEPENDENCYPART_ARC
(18,19),1.32042 # DEPENDENCYPART_ARC
(18,20),0.193475 # DEPENDENCYPART_ARC
(18,21),0.83396 # DEPENDENCYPART_ARC
(18,22),0.318801 # DEPENDENCYPART_ARC
(18,23),0.00297001 # DEPENDENCYPART_ARC
(19,1),-1.6597 # DEPENDENCYPART_ARC
(19,2),-1.78177 # DEPENDENCYPART_ARC
(19,3),-1.74238 # DEPENDENCYPART_ARC
(19,4),-2.06176 # DEPENDENCYPART_ARC
(19,5),-3.06559 # DEPENDENCYPART_ARC
(19,6),-1.62929 # DEPENDENCYPART_ARC
(19,7),-1.86331 # DEPENDENCYPART_ARC
(19,8),-2.04081 # DEPENDENCYPART_ARC
(19,9),-1.45201 # DEPENDENCYPART_ARC
(19,10),-0.775115 # DEPENDENCYPART_ARC
(19,11),-2.30636 # DEPENDENCYPART_ARC
(19,12),-2.78504 # DEPENDENCYPART_ARC
(19,13),-1.31933 # DEPENDENCYPART_ARC
(19,14),-1.67551 # DEPENDENCYPART_ARC
(19,15),-2.50177 # DEPENDENCYPART_ARC
(19,16),-0.854275 # DEPENDENCYPART_ARC
(19,17),-1.38349 # DEPENDENCYPART_ARC
(19,18),-0.193441 # DEPENDENCYPART_ARC
(19,20),1.14535 # DEPENDENCYPART_ARC
(19,21),2.96602 # DEPENDENCYPART_ARC
(19,22),0.28701 # DEPENDENCYPART_ARC
(19,23),-0.107583 # DEPENDENCYPART_ARC
(20,1),-2.54565 # DEPENDENCYPART_ARC
(20,2),-2.47042 # DEPENDENCYPART_ARC
(20,3),-2.45747 # DEPENDENCYPART_ARC
(20,4),-2.63281 # DEPENDENCYPART_ARC
(20,5),-3.79303 # DEPENDENCYPART_ARC
(20,6),-2.66397 # DEPENDENCYPART_ARC
(20,7),-2.42471 # DEPENDENCYPART_ARC
(20,8),-2.6398 # DEPENDENCYPART_ARC
(20,9),-2.61769 # DEPENDENCYPART_ARC
(20,10),-2.18113 # DEPENDENCYPART_ARC
(20,11),-3.60302 # DEPENDENCYPART_ARC
(20,12),-4.02263 # DEPENDENCYPART_ARC
(20,13),-2.17752 # DEPENDENCYPART_ARC
(20,14),-2.45152 # DEPENDENCYPART_ARC
(20,15),-3.34699 # DEPENDENCYPART_ARC
(20,16),-2.35937 # DEPENDENCYPART_ARC
(20,17),-2.60841 # DEPENDENCYPART_ARC
(20,18),-1.25285 # DEPENDENCYPART_ARC
(20,19),-0.94507 # DEPENDENCYPART_ARC
(20,21),1.88923 # DEPENDENCYPART_ARC
(20,22),0.384273 # DEPENDENCYPART_ARC
(20,23),0.205791 # DEPENDENCYPART_ARC
(21,1),-1.18343 # DEPENDENCYPART_ARC
(21,2),-1.26341 # DEPENDENCYPART_ARC
(21,3),-1.24718 # DEPENDENCYPART_ARC
(21,4),-1.55935 # DEPENDENCYPART_ARC
(21,5),-2.15279 # DEPENDENCYPART_ARC
(21,6),-0.94275 # DEPENDENCYPART_ARC
(21,7),-1.34552 # DEPENDENCYPART_ARC
(21,8),-2.36112 # DEPENDENCYPART_ARC
(21,9),-1.12079 # DEPENDENCYPART_ARC
(21,10),-0.375375 # DEPENDENCYPART_ARC
(21,11),-2.54672 # DEPENDENCYPART_ARC
(21,12),-0.727098 # DEPENDENCYPART_ARC
(21,13),-0.410203 # DEPENDENCYPART_ARC
(21,14),-2.0614 # DEPENDENCYPART_ARC
(21,15),-1.74935 # DEPENDENCYPART_ARC
(21,16),-0.429536 # DEPENDENCYPART_ARC
(21,17),-0.775246 # DEPENDENCYPART_ARC
(21,18),-0.621345 # DEPENDENCYPART_ARC
(21,19),0.667034 # DEPENDENCYPART_ARC
(21,20),2.59677 # DEPENDENCYPART_ARC
(21,22),2.08534 # DEPENDENCYPART_ARC
(21,23),-0.0936473 # DEPENDENCYPART_ARC
(22,1),-2.17572 # DEPENDENCYPART_ARC
(22,2),-1.80214 # DEPENDENCYPART_ARC
(22,3),-1.75689 # DEPENDENCYPART_ARC
(22,4),-1.99816 # DEPENDENCYPART_ARC
(22,5),-2.49292 # DEPENDENCYPART_ARC
(22,6),-1.7248 # DEPENDENCYPART_ARC
(22,7),-1.94158 # DEPENDENCYPART_ARC
(22,8),-1.96037 # DEPENDENCYPART_ARC
(22,9),-1.60077 # DEPENDENCYPART_ARC
(22,10),-1.71967 # DEPENDENCYPART_ARC
(22,11),-2.20394 # DEPENDENCYPART_ARC
(22,12),-2.4181 # DEPENDENCYPART_ARC
(22,13),-1.82283 # DEPENDENCYPART_ARC
(22,14),-1.77363 # DEPENDENCYPART_ARC
(22,15),-2.20991 # DEPENDENCYPART_ARC
(22,16),-1.3081 # DEPENDENCYPART_ARC
(22,17),-1.75411 # DEPENDENCYPART_ARC
(22,18),-1.61443 # DEPENDENCYPART_ARC
(22,19),-0.720952 # DEPENDENCYPART_ARC
(22,20),-0.719909 # DEPENDENCYPART_ARC
(22,21),-0.276802 # DEPENDENCYPART_ARC
(22,23),2.54074 # DEPENDENCYPART_ARC
(23,1),-2.85857 # DEPENDENCYPART_ARC
