# _root_ La coppia , residente a Milano anche_se di origini siciliane , stava trascorrendo un periodo di vacanza .
#goldHeads=2,13,2,2,4,5,4,4,8,9,10,13,0,15,13,15,16,17,
#predictedHeads=2,0,2,2,4,5,5,5,8,9,10,13,7,15,13,15,16,17,
(2,18),-1.96956 # DEPENDENCYPART_ARC
(3,1),-0.881149 # DEPENDENCYPART_ARC
(3,2),-0.887903 # DEPENDENCYPART_ARC
(3,4),-0.949391 # DEPENDENCYPART_ARC
(3,5),-1.97567 # DEPENDENCYPART_ARC
(3,6),-1.92455 # DEPENDENCYPART_ARC
(3,7),-2.00553 # DEPENDENCYPART_ARC
(3,8),-2.29071 # DEPENDENCYPART_ARC
(3,9),-2.30104 # DEPENDENCYPART_ARC
(3,10),-2.55054 # DEPENDENCYPART_ARC
(3,11),-1.0092 # DEPENDENCYPART_ARC
(3,12),-2.18941 # DEPENDENCYPART_ARC
(3,13),-2.32496 # DEPENDENCYPART_ARC
(3,14),-2.5775 # DEPENDENCYPART_ARC
(3,15),-2.78322 # DEPENDENCYPART_ARC
(3,16),-2.85437 # DEPENDENCYPART_ARC
(3,17),-2.75643 # DEPENDENCYPART_ARC
(3,18),-1.95972 # DEPENDENCYPART_ARC
(4,1),-0.512254 # DEPENDENCYPART_ARC
(4,2),-1.24348 # DEPENDENCYPART_ARC
(4,3),0.469853 # DEPENDENCYPART_ARC
(4,5),1.8799 # DEPENDENCYPART_ARC
(4,6),0.763296 # DEPENDENCYPART_ARC
(4,7),0.560078 # DEPENDENCYPART_ARC
(4,8),0.312829 # DEPENDENCYPART_ARC
(4,9),-0.520313 # DEPENDENCYPART_ARC
(4,10),-0.797319 # DEPENDENCYPART_ARC
(4,11),0.183224 # DEPENDENCYPART_ARC
(4,12),-1.1148 # DEPENDENCYPART_ARC
(4,13),-0.992518 # DEPENDENCYPART_ARC
(4,14),-1.05553 # DEPENDENCYPART_ARC
(4,15),-0.817762 # DEPENDENCYPART_ARC
(4,16),-0.809782 # DEPENDENCYPART_ARC
(4,17),-1.02602 # DEPENDENCYPART_ARC
(4,18),-1.30252 # DEPENDENCYPART_ARC
(5,1),-1.06778 # DEPENDENCYPART_ARC
(5,2),-1.02825 # DEPENDENCYPART_ARC
(5,3),-0.616438 # DEPENDENCYPART_ARC
(5,4),-0.117663 # DEPENDENCYPART_ARC
(5,6),4.50299 # DEPENDENCYPART_ARC
(5,7),1.90547 # DEPENDENCYPART_ARC
(5,8),1.39247 # DEPENDENCYPART_ARC
(5,9),0.873759 # DEPENDENCYPART_ARC
(5,10),0.293698 # DEPENDENCYPART_ARC
(5,11),-0.00838055 # DEPENDENCYPART_ARC
(5,12),-0.12632 # DEPENDENCYPART_ARC
(5,13),-0.650085 # DEPENDENCYPART_ARC
(5,14),-0.885858 # DEPENDENCYPART_ARC
(5,15),-3.02698 # DEPENDENCYPART_ARC
(5,16),-1.54334 # DEPENDENCYPART_ARC
(5,17),-3.47938 # DEPENDENCYPART_ARC
(5,18),-1.14324 # DEPENDENCYPART_ARC
(6,1),-0.5907 # DEPENDENCYPART_ARC
(6,2),-3.61393 # DEPENDENCYPART_ARC
(6,3),-2.57274 # DEPENDENCYPART_ARC
(6,4),-0.73477 # DEPENDENCYPART_ARC
(6,5),0.256255 # DEPENDENCYPART_ARC
(6,7),-0.0298141 # DEPENDENCYPART_ARC
(6,8),-0.00872147 # DEPENDENCYPART_ARC
(6,9),-0.0516956 # DEPENDENCYPART_ARC
(6,10),-0.337128 # DEPENDENCYPART_ARC
(6,11),-1.14352 # DEPENDENCYPART_ARC
(6,12),-1.82642 # DEPENDENCYPART_ARC
(6,13),-2.41135 # DEPENDENCYPART_ARC
(6,14),-1.51764 # DEPENDENCYPART_ARC
(6,15),-1.74681 # DEPENDENCYPART_ARC
(6,16),-1.05986 # DEPENDENCYPART_ARC
(6,17),-1.31023 # DEPENDENCYPART_ARC
(6,18),-2.83942 # DEPENDENCYPART_ARC
(7,1),-1.11352 # DEPENDENCYPART_ARC
(7,2),-1.58328 # DEPENDENCYPART_ARC
(7,3),-0.958087 # DEPENDENCYPART_ARC
(7,4),-0.97394 # DEPENDENCYPART_ARC
(7,5),-0.355047 # DEPENDENCYPART_ARC
(7,6),0.0247698 # DEPENDENCYPART_ARC
(7,8),0.729839 # DEPENDENCYPART_ARC
(7,9),0.803031 # DEPENDENCYPART_ARC
(7,10),0.682289 # DEPENDENCYPART_ARC
(7,11),0.93004 # DEPENDENCYPART_ARC
(7,12),1.43783 # DEPENDENCYPART_ARC
(7,13),1.63613 # DEPENDENCYPART_ARC
(7,14),-0.389701 # DEPENDENCYPART_ARC
(7,15),-0.314622 # DEPENDENCYPART_ARC
(7,16),-0.639648 # DEPENDENCYPART_ARC
(7,17),-0.296652 # DEPENDENCYPART_ARC
(7,18),-0.0197752 # DEPENDENCYPART_ARC
(8,1),-2.00756 # DEPENDENCYPART_ARC
(8,2),-2.17888 # DEPENDENCYPART_ARC
(8,3),-2.19763 # DEPENDENCYPART_ARC
(8,4),-2.19467 # DEPENDENCYPART_ARC
(8,5),-1.0708 # DEPENDENCYPART_ARC
(8,6),-1.44416 # DEPENDENCYPART_ARC
(8,7),0.525203 # DEPENDENCYPART_ARC
(8,9),3.44349 # DEPENDENCYPART_ARC
(8,10),0.790538 # DEPENDENCYPART_ARC
(8,11),0.0766293 # DEPENDENCYPART_ARC
(8,12),0.0109099 # DEPENDENCYPART_ARC
(8,13),-0.415365 # DEPENDENCYPART_ARC
(8,14),-1.40305 # DEPENDENCYPART_ARC
(8,15),-2.25581 # DEPENDENCYPART_ARC
(8,16),-1.11608 # DEPENDENCYPART_ARC
(8,17),-2.32427 # DEPENDENCYPART_ARC
(8,18),-1.1973 # DEPENDENCYPART_ARC
(9,1),-2.1991 # DEPENDENCYPART_ARC
(9,2),-3.22142 # DEPENDENCYPART_ARC
(9,3),-2.95943 # DEPENDENCYPART_ARC
(9,4),-1.97377 # DEPENDENCYPART_ARC
(9,5),-1.16143 # DEPENDENCYPART_ARC
(9,6),-1.49773 # DEPENDENCYPART_ARC
(9,7),-0.461101 # DEPENDENCYPART_ARC
(9,8),0.62401 # DEPENDENCYPART_ARC
(9,10),3.77282 # DEPENDENCYPART_ARC
(9,11),-0.040245 # DEPENDENCYPART_ARC
(9,12),-0.680273 # DEPENDENCYPART_ARC
(9,13),-1.43236 # DEPENDENCYPART_ARC
(9,14),-1.1992 # DEPENDENCYPART_ARC
(9,15),-1.25989 # DEPENDENCYPART_ARC
(9,16),-0.00722624 # DEPENDENCYPART_ARC
(9,17),-0.536041 # DEPENDENCYPART_ARC
(9,18),-1.36294 # DEPENDENCYPART_ARC
(10,1),-1.15193 # DEPENDENCYPART_ARC
(10,2),-1.68684 # DEPENDENCYPART_ARC
(10,3),-1.08486 # DEPENDENCYPART_ARC
(10,4),-0.8387 # DEPENDENCYPART_ARC
(10,5),-0.0178548 # DEPENDENCYPART_ARC
(10,6),-1.14141 # DEPENDENCYPART_ARC
(10,7),0.0457181 # DEPENDENCYPART_ARC
(10,8),0.538539 # DEPENDENCYPART_ARC
(10,9),0.713415 # DEPENDENCYPART_ARC
(10,11),1.97151 # DEPENDENCYPART_ARC
(10,12),-0.803602 # DEPENDENCYPART_ARC
(10,13),-0.851311 # DEPENDENCYPART_ARC
(10,14),-1.22075 # DEPENDENCYPART_ARC
(10,15),-1.33932 # DEPENDENCYPART_ARC
(10,16),-0.898134 # DEPENDENCYPART_ARC
(10,17),-1.46566 # DEPENDENCYPART_ARC
(10,18),-0.737215 # DEPENDENCYPART_ARC
(11,1),-1.96827 # DEPENDENCYPART_ARC
(11,2),-2.463 # DEPENDENCYPART_ARC
(11,3),-2.09303 # DEPENDENCYPART_ARC
(11,4),-2.31146 # DEPENDENCYPART_ARC
(11,5),-1.74413 # DEPENDENCYPART_ARC
(11,6),-2.17149 # DEPENDENCYPART_ARC
(11,7),-1.77555 # DEPENDENCYPART_ARC
(11,8),-1.15698 # DEPENDENCYPART_ARC
(11,9),-1.54759 # DEPENDENCYPART_ARC
(11,10),-0.53141 # DEPENDENCYPART_ARC
(11,12),-0.626356 # DEPENDENCYPART_ARC
(11,13),-1.57813 # DEPENDENCYPART_ARC
(11,14),-1.97451 # DEPENDENCYPART_ARC
(11,15),-2.18329 # DEPENDENCYPART_ARC
(11,16),-2.34968 # DEPENDENCYPART_ARC
(11,17),-2.38758 # DEPENDENCYPART_ARC
(11,18),-1.25058 # DEPENDENCYPART_ARC
(12,1),-1.8849 # DEPENDENCYPART_ARC
(12,2),-0.853718 # DEPENDENCYPART_ARC
(12,3),-2.58612 # DEPENDENCYPART_ARC
(12,4),-1.40224 # DEPENDENCYPART_ARC
(12,5),-1.29675 # DEPENDENCYPART_ARC
(12,6),-0.514348 # DEPENDENCYPART_ARC
(12,7),-0.766822 # DEPENDENCYPART_ARC
(12,8),-1.05923 # DEPENDENCYPART_ARC
(12,9),-1.00461 # DEPENDENCYPART_ARC
(12,10),-0.741649 # DEPENDENCYPART_ARC
(12,11),0.130017 # DEPENDENCYPART_ARC
(12,13),2.19729 # DEPENDENCYPART_ARC
(12,14),-1.34999 # DEPENDENCYPART_ARC
(12,15),0.607626 # DEPENDENCYPART_ARC
(12,16),-0.50941 # DEPENDENCYPART_ARC
(12,17),-0.236607 # DEPENDENCYPART_ARC
(12,18),-0.541427 # DEPENDENCYPART_ARC
(13,1),-0.803507 # DEPENDENCYPART_ARC
(13,2),-0.0974732 # DEPENDENCYPART_ARC
(13,3),-2.10752 # DEPENDENCYPART_ARC
(13,4),-0.375695 # DEPENDENCYPART_ARC
(13,5),-0.0592989 # DEPENDENCYPART_ARC
(13,6),-0.350522 # DEPENDENCYPART_ARC
(13,7),0.0364267 # DEPENDENCYPART_ARC
(13,8),0.335038 # DEPENDENCYPART_ARC
(13,9),0.448631 # DEPENDENCYPART_ARC
(13,10),0.4865 # DEPENDENCYPART_ARC
(13,11),-0.704493 # DEPENDENCYPART_ARC
(13,12),3.49062 # DEPENDENCYPART_ARC
(13,14),1.02229 # DEPENDENCYPART_ARC
(13,15),3.48809 # DEPENDENCYPART_ARC
(13,16),0.910374 # DEPENDENCYPART_ARC
(13,17),1.39708 # DEPENDENCYPART_ARC
(13,18),-0.0060475 # DEPENDENCYPART_ARC
(14,1),-2.29553 # DEPENDENCYPART_ARC
(14,2),-3.1847 # DEPENDENCYPART_ARC
(14,3),-2.41189 # DEPENDENCYPART_ARC
(14,4),-2.49532 # DEPENDENCYPART_ARC
(14,5),-2.29548 # DEPENDENCYPART_ARC
(14,6),-2.90331 # DEPENDENCYPART_ARC
(14,7),-2.2234 # DEPENDENCYPART_ARC
(14,8),-2.11881 # DEPENDENCYPART_ARC
(14,9),-2.89896 # DEPENDENCYPART_ARC
(14,10),-2.28704 # DEPENDENCYPART_ARC
(14,11),-1.60372 # DEPENDENCYPART_ARC
(14,12),-2.03766 # DEPENDENCYPART_ARC
(14,13),-0.758059 # DEPENDENCYPART_ARC
(14,15),1.06951 # DEPENDENCYPART_ARC
(14,16),0.17442 # DEPENDENCYPART_ARC
(14,17),-0.262718 # DEPENDENCYPART_ARC
(14,18),-0.359689 # DEPENDENCYPART_ARC
(15,1),-2.39288 # DEPENDENCYPART_ARC
(15,2),-3.29964 # DEPENDENCYPART_ARC
(15,3),-2.61862 # DEPENDENCYPART_ARC
(15,4),-1.46314 # DEPENDENCYPART_ARC
(15,5),-0.930142 # DEPENDENCYPART_ARC
(15,6),-1.74942 # DEPENDENCYPART_ARC
(15,7),-0.962948 # DEPENDENCYPART_ARC
(15,8),-0.902335 # DEPENDENCYPART_ARC
(15,9),-1.84938 # DEPENDENCYPART_ARC
(15,10),-0.628388 # DEPENDENCYPART_ARC
(15,11),-1.79459 # DEPENDENCYPART_ARC
(15,12),-0.77437 # DEPENDENCYPART_ARC
(15,13),-0.439186 # DEPENDENCYPART_ARC
(15,14),3.54086 # DEPENDENCYPART_ARC
(15,16),2.91622 # DEPENDENCYPART_ARC
(15,17),1.24186 # DEPENDENCYPART_ARC
(15,18),0.236727 # DEPENDENCYPART_ARC
(16,1),-1.8619 # DEPENDENCYPART_ARC
(16,2),-2.13636 # DEPENDENCYPART_ARC
(16,3),-2.06274 # DEPENDENCYPART_ARC
(16,4),-2.16392 # DEPENDENCYPART_ARC
(16,5),-1.62561 # DEPENDENCYPART_ARC
(16,6),-1.96783 # DEPENDENCYPART_ARC
(16,7),-0.950814 # DEPENDENCYPART_ARC
(16,8),-1.44075 # DEPENDENCYPART_ARC
(16,9),-1.78107 # DEPENDENCYPART_ARC
(16,10),-1.90679 # DEPENDENCYPART_ARC
(16,11),-1.7755 # DEPENDENCYPART_ARC
(16,12),-1.98495 # DEPENDENCYPART_ARC
(16,13),-1.59702 # DEPENDENCYPART_ARC
(16,14),-0.405474 # DEPENDENCYPART_ARC
(16,15),-0.19575 # DEPENDENCYPART_ARC
(16,17),4.38565 # DEPENDENCYPART_ARC
(16,18),-0.291336 # DEPENDENCYPART_ARC
(17,1),-3.47938 # DEPENDENCYPART_ARC
(17,2),-4.22763 # DEPENDENCYPART_ARC
(17,3),-3.75129 # DEPENDENCYPART_ARC
(17,4),-2.52689 # DEPENDENCYPART_ARC
(17,5),-2.43797 # DEPENDENCYPART_ARC
(17,6),-3.10478 # DEPENDENCYPART_ARC
(17,7),-2.18066 # DEPENDENCYPART_ARC
(17,8),-2.4582 # DEPENDENCYPART_ARC
(17,9),-2.58072 # DEPENDENCYPART_ARC
(17,10),-1.64836 # DEPENDENCYPART_ARC
(17,11),-3.16567 # DEPENDENCYPART_ARC
(17,12),-2.13509 # DEPENDENCYPART_ARC
(17,13),-2.51295 # DEPENDENCYPART_ARC
(17,14),-0.0580301 # DEPENDENCYPART_ARC
(17,15),-1.91377 # DEPENDENCYPART_ARC
(17,16),0.509107 # DEPENDENCYPART_ARC
(17,18),2.6963 # DEPENDENCYPART_ARC
(18,1),-2.27408 # DEPENDENCYPART_ARC
(18,2),-2.86236 # DEPENDENCYPART_ARC
(18,3),-2.43764 # DEPENDENCYPART_ARC
(18,4),-2.71028 # DEPENDENCYPART_ARC
(18,5),-2.13737 # DEPENDENCYPART_ARC
(18,6),-2.67882 # DEPENDENCYPART_ARC
(18,7),-2.22398 # DEPENDENCYPART_ARC
(18,8),-2.08825 # DEPENDENCYPART_ARC
(18,9),-2.60092 # DEPENDENCYPART_ARC
(18,10),-2.55479 # DEPENDENCYPART_ARC
(18,11),-2.19293 # DEPENDENCYPART_ARC
(18,12),-2.79808 # DEPENDENCYPART_ARC
(18,13),-2.67316 # DEPENDENCYPART_ARC
(18,14),-1.61725 # DEPENDENCYPART_ARC
(18,15),-1.85961 # DEPENDENCYPART_ARC
(18,16),-1.09975 # DEPENDENCYPART_ARC
(18,17),-0.818931 # DEPENDENCYPART_ARC
