# _root_ Almeno 200 milioni di lire per gli appartamenti più piccoli , rifiniti in marmo , legno pregiato e forniti di cucine importate .
#goldHeads=3,3,0,3,4,3,8,6,10,8,10,8,12,13,14,14,16,14,14,19,20,21,22,
#predictedHeads=3,3,0,3,4,3,8,6,10,8,10,8,12,13,14,14,16,12,12,19,20,21,22,
(1,13),-1.27974 # DEPENDENCYPART_ARC
(1,14),-1.46073 # DEPENDENCYPART_ARC
(1,15),-1.14136 # DEPENDENCYPART_ARC
(1,16),-1.69181 # DEPENDENCYPART_ARC
(1,17),-1.41665 # DEPENDENCYPART_ARC
(1,18),-0.782129 # DEPENDENCYPART_ARC
(1,19),-1.35869 # DEPENDENCYPART_ARC
(1,20),-1.71865 # DEPENDENCYPART_ARC
(1,21),-1.7721 # DEPENDENCYPART_ARC
(1,22),-1.69685 # DEPENDENCYPART_ARC
(1,23),-2.43439 # DEPENDENCYPART_ARC
(2,1),0.919523 # DEPENDENCYPART_ARC
(2,3),0.932215 # DEPENDENCYPART_ARC
(2,4),0.332685 # DEPENDENCYPART_ARC
(2,5),-0.27536 # DEPENDENCYPART_ARC
(2,6),-0.427699 # DEPENDENCYPART_ARC
(2,7),-0.635189 # DEPENDENCYPART_ARC
(2,8),-0.533308 # DEPENDENCYPART_ARC
(2,9),-0.589016 # DEPENDENCYPART_ARC
(2,10),-0.635742 # DEPENDENCYPART_ARC
(2,11),-0.618174 # DEPENDENCYPART_ARC
(2,12),-1.06962 # DEPENDENCYPART_ARC
(2,13),-1.1069 # DEPENDENCYPART_ARC
(2,14),-0.883069 # DEPENDENCYPART_ARC
(2,15),-1.24531 # DEPENDENCYPART_ARC
(2,16),-0.894327 # DEPENDENCYPART_ARC
(2,17),-1.19444 # DEPENDENCYPART_ARC
(2,18),-0.359577 # DEPENDENCYPART_ARC
(2,19),-1.77407 # DEPENDENCYPART_ARC
(2,20),-1.56411 # DEPENDENCYPART_ARC
(2,21),-1.30693 # DEPENDENCYPART_ARC
(2,22),-2.11064 # DEPENDENCYPART_ARC
(2,23),-1.99411 # DEPENDENCYPART_ARC
(3,1),2.04541 # DEPENDENCYPART_ARC
(3,2),2.72739 # DEPENDENCYPART_ARC
(3,4),2.66506 # DEPENDENCYPART_ARC
(3,5),1.95298 # DEPENDENCYPART_ARC
(3,6),1.12727 # DEPENDENCYPART_ARC
(3,7),0.559526 # DEPENDENCYPART_ARC
(3,8),0.888729 # DEPENDENCYPART_ARC
(3,9),-0.373164 # DEPENDENCYPART_ARC
(3,10),1.08716 # DEPENDENCYPART_ARC
(3,11),0.294471 # DEPENDENCYPART_ARC
(3,12),2.1782 # DEPENDENCYPART_ARC
(3,13),-0.0447663 # DEPENDENCYPART_ARC
(3,14),-0.620094 # DEPENDENCYPART_ARC
(3,15),0.198397 # DEPENDENCYPART_ARC
(3,16),-0.650341 # DEPENDENCYPART_ARC
(3,17),-0.825028 # DEPENDENCYPART_ARC
(3,18),0.0452154 # DEPENDENCYPART_ARC
(3,19),0.305806 # DEPENDENCYPART_ARC
(3,20),-1.42949 # DEPENDENCYPART_ARC
(3,21),-0.395768 # DEPENDENCYPART_ARC
(3,22),-1.13621 # DEPENDENCYPART_ARC
(3,23),-3.34243 # DEPENDENCYPART_ARC
(4,1),-0.413617 # DEPENDENCYPART_ARC
(4,2),-0.906915 # DEPENDENCYPART_ARC
(4,3),-0.26738 # DEPENDENCYPART_ARC
(4,5),3.78244 # DEPENDENCYPART_ARC
(4,6),-0.72272 # DEPENDENCYPART_ARC
(4,7),-1.11076 # DEPENDENCYPART_ARC
(4,8),-0.801866 # DEPENDENCYPART_ARC
(4,9),-0.997461 # DEPENDENCYPART_ARC
(4,10),-0.739765 # DEPENDENCYPART_ARC
(4,11),-0.645345 # DEPENDENCYPART_ARC
(4,12),-1.00614 # DEPENDENCYPART_ARC
(4,13),-1.72704 # DEPENDENCYPART_ARC
(4,14),-2.36706 # DEPENDENCYPART_ARC
(4,15),-0.772577 # DEPENDENCYPART_ARC
(4,16),-4.36482 # DEPENDENCYPART_ARC
(4,17),-1.60084 # DEPENDENCYPART_ARC
(4,18),-0.960392 # DEPENDENCYPART_ARC
(4,19),-2.3702 # DEPENDENCYPART_ARC
(4,20),-1.37503 # DEPENDENCYPART_ARC
(4,21),-5.092 # DEPENDENCYPART_ARC
(4,22),-3.29572 # DEPENDENCYPART_ARC
(4,23),-2.54404 # DEPENDENCYPART_ARC
(5,1),-0.325354 # DEPENDENCYPART_ARC
(5,2),-0.467155 # DEPENDENCYPART_ARC
(5,3),-0.416941 # DEPENDENCYPART_ARC
(5,4),0.861587 # DEPENDENCYPART_ARC
(5,6),0.967786 # DEPENDENCYPART_ARC
(5,7),-0.23441 # DEPENDENCYPART_ARC
(5,8),0.149053 # DEPENDENCYPART_ARC
(5,9),-1.16609 # DEPENDENCYPART_ARC
(5,10),-0.198963 # DEPENDENCYPART_ARC
(5,11),-0.270385 # DEPENDENCYPART_ARC
(5,12),1.04204 # DEPENDENCYPART_ARC
(5,13),-0.611108 # DEPENDENCYPART_ARC
(5,14),-1.18525 # DEPENDENCYPART_ARC
(5,15),-0.107598 # DEPENDENCYPART_ARC
(5,16),-1.32314 # DEPENDENCYPART_ARC
(5,17),-2.30204 # DEPENDENCYPART_ARC
(5,18),-0.704074 # DEPENDENCYPART_ARC
(5,19),-0.882845 # DEPENDENCYPART_ARC
(5,20),-1.80297 # DEPENDENCYPART_ARC
(5,21),-0.870373 # DEPENDENCYPART_ARC
(5,22),-0.501194 # DEPENDENCYPART_ARC
(5,23),-3.44574 # DEPENDENCYPART_ARC
(6,1),-0.613684 # DEPENDENCYPART_ARC
(6,2),-1.27245 # DEPENDENCYPART_ARC
(6,3),-1.14553 # DEPENDENCYPART_ARC
(6,4),-0.0959492 # DEPENDENCYPART_ARC
(6,5),0.0233583 # DEPENDENCYPART_ARC
(6,7),0.742168 # DEPENDENCYPART_ARC
(6,8),3.06051 # DEPENDENCYPART_ARC
(6,9),-0.168461 # DEPENDENCYPART_ARC
(6,10),0.470432 # DEPENDENCYPART_ARC
(6,11),-0.100105 # DEPENDENCYPART_ARC
(6,12),0.0482192 # DEPENDENCYPART_ARC
(6,13),-0.894086 # DEPENDENCYPART_ARC
(6,14),-0.483899 # DEPENDENCYPART_ARC
(6,15),-0.112458 # DEPENDENCYPART_ARC
(6,16),-1.80265 # DEPENDENCYPART_ARC
(6,17),-0.659373 # DEPENDENCYPART_ARC
(6,18),-0.33487 # DEPENDENCYPART_ARC
(6,19),-1.09883 # DEPENDENCYPART_ARC
(6,20),-1.16751 # DEPENDENCYPART_ARC
(6,21),-2.89511 # DEPENDENCYPART_ARC
(6,22),-1.7197 # DEPENDENCYPART_ARC
(6,23),-1.44504 # DEPENDENCYPART_ARC
(7,1),-2.68455 # DEPENDENCYPART_ARC
(7,2),-2.45963 # DEPENDENCYPART_ARC
(7,3),-2.51593 # DEPENDENCYPART_ARC
(7,4),-1.96168 # DEPENDENCYPART_ARC
(7,5),-2.38345 # DEPENDENCYPART_ARC
(7,6),-0.776538 # DEPENDENCYPART_ARC
(7,8),0.965279 # DEPENDENCYPART_ARC
(7,9),-0.612085 # DEPENDENCYPART_ARC
(7,10),-0.938759 # DEPENDENCYPART_ARC
(7,11),-0.507295 # DEPENDENCYPART_ARC
(7,12),-0.494406 # DEPENDENCYPART_ARC
(7,13),-0.978701 # DEPENDENCYPART_ARC
(7,14),-1.34099 # DEPENDENCYPART_ARC
(7,15),-0.88009 # DEPENDENCYPART_ARC
(7,16),-1.52548 # DEPENDENCYPART_ARC
(7,17),-2.37305 # DEPENDENCYPART_ARC
(7,18),-0.897085 # DEPENDENCYPART_ARC
(7,19),-1.08478 # DEPENDENCYPART_ARC
(7,20),-1.30796 # DEPENDENCYPART_ARC
(7,21),-1.37308 # DEPENDENCYPART_ARC
(7,22),-1.68279 # DEPENDENCYPART_ARC
(7,23),-1.32166 # DEPENDENCYPART_ARC
(8,1),-0.0234099 # DEPENDENCYPART_ARC
(8,2),-0.799744 # DEPENDENCYPART_ARC
(8,3),-0.0777219 # DEPENDENCYPART_ARC
(8,4),-0.147586 # DEPENDENCYPART_ARC
(8,5),0.0171215 # DEPENDENCYPART_ARC
(8,6),0.724003 # DEPENDENCYPART_ARC
(8,7),4.13945 # DEPENDENCYPART_ARC
(8,9),0.748477 # DEPENDENCYPART_ARC
(8,10),2.94726 # DEPENDENCYPART_ARC
(8,11),0.465787 # DEPENDENCYPART_ARC
(8,12),2.82322 # DEPENDENCYPART_ARC
(8,13),0.435426 # DEPENDENCYPART_ARC
(8,14),-0.177402 # DEPENDENCYPART_ARC
(8,15),0.501286 # DEPENDENCYPART_ARC
(8,16),-0.132272 # DEPENDENCYPART_ARC
(8,17),-0.126842 # DEPENDENCYPART_ARC
(8,18),0.260106 # DEPENDENCYPART_ARC
(8,19),0.561994 # DEPENDENCYPART_ARC
(8,20),-0.593714 # DEPENDENCYPART_ARC
(8,21),-0.190834 # DEPENDENCYPART_ARC
(8,22),-0.592102 # DEPENDENCYPART_ARC
(8,23),-2.34518 # DEPENDENCYPART_ARC
(9,1),-1.26387 # DEPENDENCYPART_ARC
(9,2),-1.50671 # DEPENDENCYPART_ARC
(9,3),-2.19572 # DEPENDENCYPART_ARC
(9,4),-0.956082 # DEPENDENCYPART_ARC
(9,5),-1.87583 # DEPENDENCYPART_ARC
(9,6),-0.418744 # DEPENDENCYPART_ARC
(9,7),0.0625116 # DEPENDENCYPART_ARC
(9,8),-0.552075 # DEPENDENCYPART_ARC
(9,10),0.637913 # DEPENDENCYPART_ARC
(9,11),0.435094 # DEPENDENCYPART_ARC
(9,12),-0.0926785 # DEPENDENCYPART_ARC
(9,13),-0.482191 # DEPENDENCYPART_ARC
(9,14),-0.677642 # DEPENDENCYPART_ARC
(9,15),-0.508618 # DEPENDENCYPART_ARC
(9,16),-1.23059 # DEPENDENCYPART_ARC
(9,17),-1.25022 # DEPENDENCYPART_ARC
(9,18),-0.335573 # DEPENDENCYPART_ARC
(9,19),-0.890216 # DEPENDENCYPART_ARC
(9,20),-0.884466 # DEPENDENCYPART_ARC
(9,21),-1.41925 # DEPENDENCYPART_ARC
(9,22),-1.41428 # DEPENDENCYPART_ARC
(9,23),-1.73858 # DEPENDENCYPART_ARC
(10,1),0.0226236 # DEPENDENCYPART_ARC
(10,2),-0.142318 # DEPENDENCYPART_ARC
(10,3),-0.673853 # DEPENDENCYPART_ARC
(10,4),0.114029 # DEPENDENCYPART_ARC
(10,5),-0.856813 # DEPENDENCYPART_ARC
(10,6),0.609625 # DEPENDENCYPART_ARC
(10,7),0.803818 # DEPENDENCYPART_ARC
(10,8),0.41172 # DEPENDENCYPART_ARC
(10,9),3.72367 # DEPENDENCYPART_ARC
(10,11),2.28163 # DEPENDENCYPART_ARC
(10,12),1.37381 # DEPENDENCYPART_ARC
(10,13),0.227409 # DEPENDENCYPART_ARC
(10,14),-0.273166 # DEPENDENCYPART_ARC
(10,15),0.10081 # DEPENDENCYPART_ARC
(10,16),-0.556352 # DEPENDENCYPART_ARC
(10,17),-0.539571 # DEPENDENCYPART_ARC
(10,18),0.325604 # DEPENDENCYPART_ARC
(10,19),0.360028 # DEPENDENCYPART_ARC
(10,20),-0.502016 # DEPENDENCYPART_ARC
(10,21),-0.714567 # DEPENDENCYPART_ARC
(10,22),-0.538384 # DEPENDENCYPART_ARC
(10,23),-0.943734 # DEPENDENCYPART_ARC
(11,1),-2.26105 # DEPENDENCYPART_ARC
(11,2),-2.13103 # DEPENDENCYPART_ARC
(11,3),-2.42103 # DEPENDENCYPART_ARC
(11,4),-1.76885 # DEPENDENCYPART_ARC
(11,5),-2.30682 # DEPENDENCYPART_ARC
(11,6),-1.617 # DEPENDENCYPART_ARC
(11,7),-1.56296 # DEPENDENCYPART_ARC
(11,8),-1.73258 # DEPENDENCYPART_ARC
(11,9),-1.24976 # DEPENDENCYPART_ARC
(11,10),-0.527815 # DEPENDENCYPART_ARC
(11,12),-0.75624 # DEPENDENCYPART_ARC
(11,13),-2.10272 # DEPENDENCYPART_ARC
(11,14),-2.0355 # DEPENDENCYPART_ARC
(11,15),-1.24273 # DEPENDENCYPART_ARC
(11,16),-2.32332 # DEPENDENCYPART_ARC
(11,17),-2.55065 # DEPENDENCYPART_ARC
(11,18),-2.21251 # DEPENDENCYPART_ARC
(11,19),-2.26447 # DEPENDENCYPART_ARC
(11,20),-2.66068 # DEPENDENCYPART_ARC
(11,21),-2.5801 # DEPENDENCYPART_ARC
(11,22),-2.51342 # DEPENDENCYPART_ARC
(11,23),-1.76103 # DEPENDENCYPART_ARC
(12,1),0.096479 # DEPENDENCYPART_ARC
(12,2),-0.624879 # DEPENDENCYPART_ARC
(12,3),-0.555174 # DEPENDENCYPART_ARC
(12,4),-1.13226 # DEPENDENCYPART_ARC
(12,5),-1.01418 # DEPENDENCYPART_ARC
(12,6),-0.0775788 # DEPENDENCYPART_ARC
(12,7),0.319325 # DEPENDENCYPART_ARC
(12,8),0.384284 # DEPENDENCYPART_ARC
(12,9),0.351766 # DEPENDENCYPART_ARC
(12,10),0.350016 # DEPENDENCYPART_ARC
(12,11),0.0798776 # DEPENDENCYPART_ARC
(12,13),3.17097 # DEPENDENCYPART_ARC
(12,14),1.12297 # DEPENDENCYPART_ARC
(12,15),0.680634 # DEPENDENCYPART_ARC
(12,16),0.167151 # DEPENDENCYPART_ARC
(12,17),-0.159853 # DEPENDENCYPART_ARC
(12,18),1.42251 # DEPENDENCYPART_ARC
(12,19),1.60128 # DEPENDENCYPART_ARC
(12,20),-0.532452 # DEPENDENCYPART_ARC
(12,21),-1.6884 # DEPENDENCYPART_ARC
(12,22),0.703334 # DEPENDENCYPART_ARC
(12,23),-0.780874 # DEPENDENCYPART_ARC
(13,1),-1.32522 # DEPENDENCYPART_ARC
(13,2),-2.07461 # DEPENDENCYPART_ARC
(13,3),-2.19916 # DEPENDENCYPART_ARC
(13,4),-1.64609 # DEPENDENCYPART_ARC
(13,5),-2.12813 # DEPENDENCYPART_ARC
(13,6),-1.55618 # DEPENDENCYPART_ARC
(13,7),-1.66484 # DEPENDENCYPART_ARC
(13,8),-1.79056 # DEPENDENCYPART_ARC
(13,9),-1.01744 # DEPENDENCYPART_ARC
(13,10),-1.4371 # DEPENDENCYPART_ARC
(13,11),-0.975994 # DEPENDENCYPART_ARC
(13,12),-0.227112 # DEPENDENCYPART_ARC
(13,14),4.69219 # DEPENDENCYPART_ARC
(13,15),0.688487 # DEPENDENCYPART_ARC
(13,16),0.376423 # DEPENDENCYPART_ARC
(13,17),-0.0319246 # DEPENDENCYPART_ARC
(13,18),0.195591 # DEPENDENCYPART_ARC
(13,19),-0.916789 # DEPENDENCYPART_ARC
(13,20),-0.743436 # DEPENDENCYPART_ARC
(13,21),-1.47924 # DEPENDENCYPART_ARC
(13,22),-1.58173 # DEPENDENCYPART_ARC
(13,23),-1.04758 # DEPENDENCYPART_ARC
(14,1),-1.72209 # DEPENDENCYPART_ARC
(14,2),-2.64941 # DEPENDENCYPART_ARC
(14,3),-2.87154 # DEPENDENCYPART_ARC
(14,4),-2.42926 # DEPENDENCYPART_ARC
(14,5),-2.89782 # DEPENDENCYPART_ARC
(14,6),-1.84893 # DEPENDENCYPART_ARC
(14,7),-1.27081 # DEPENDENCYPART_ARC
(14,8),-2.36962 # DEPENDENCYPART_ARC
(14,9),-1.26337 # DEPENDENCYPART_ARC
(14,10),-1.17926 # DEPENDENCYPART_ARC
(14,11),-2.35851 # DEPENDENCYPART_ARC
(14,12),-0.0310199 # DEPENDENCYPART_ARC
(14,13),0.607968 # DEPENDENCYPART_ARC
(14,15),2.2806 # DEPENDENCYPART_ARC
(14,16),1.3506 # DEPENDENCYPART_ARC
(14,17),1.69673 # DEPENDENCYPART_ARC
(14,18),0.516685 # DEPENDENCYPART_ARC
(14,19),0.154737 # DEPENDENCYPART_ARC
(14,20),0.056861 # DEPENDENCYPART_ARC
(14,21),-0.714973 # DEPENDENCYPART_ARC
(14,22),-1.25983 # DEPENDENCYPART_ARC
(14,23),-1.30847 # DEPENDENCYPART_ARC
(15,1),-2.7888 # DEPENDENCYPART_ARC
(15,2),-2.52488 # DEPENDENCYPART_ARC
(15,3),-2.88129 # DEPENDENCYPART_ARC
(15,4),-2.42229 # DEPENDENCYPART_ARC
(15,5),-2.84462 # DEPENDENCYPART_ARC
(15,6),-2.24577 # DEPENDENCYPART_ARC
(15,7),-2.33901 # DEPENDENCYPART_ARC
(15,8),-2.71456 # DEPENDENCYPART_ARC
(15,9),-2.41627 # DEPENDENCYPART_ARC
(15,10),-2.54855 # DEPENDENCYPART_ARC
(15,11),-2.19386 # DEPENDENCYPART_ARC
(15,12),-2.39858 # DEPENDENCYPART_ARC
(15,13),-1.28204 # DEPENDENCYPART_ARC
(15,14),-1.00484 # DEPENDENCYPART_ARC
(15,16),-0.827315 # DEPENDENCYPART_ARC
(15,17),-1.63025 # DEPENDENCYPART_ARC
(15,18),-1.93584 # DEPENDENCYPART_ARC
(15,19),-1.8613 # DEPENDENCYPART_ARC
(15,20),-2.46771 # DEPENDENCYPART_ARC
(15,21),-2.52286 # DEPENDENCYPART_ARC
(15,22),-2.27541 # DEPENDENCYPART_ARC
(15,23),-1.51649 # DEPENDENCYPART_ARC
(16,1),-1.81634 # DEPENDENCYPART_ARC
(16,2),-2.31738 # DEPENDENCYPART_ARC
(16,3),-2.70949 # DEPENDENCYPART_ARC
(16,4),-2.39579 # DEPENDENCYPART_ARC
(16,5),-3.08965 # DEPENDENCYPART_ARC
(16,6),-1.57874 # DEPENDENCYPART_ARC
(16,7),-1.22045 # DEPENDENCYPART_ARC
(16,8),-2.38367 # DEPENDENCYPART_ARC
(16,9),-1.38843 # DEPENDENCYPART_ARC
(16,10),-1.29348 # DEPENDENCYPART_ARC
(16,11),-2.29585 # DEPENDENCYPART_ARC
(16,12),-0.613001 # DEPENDENCYPART_ARC
(16,13),-0.399689 # DEPENDENCYPART_ARC
(16,14),-1.13554 # DEPENDENCYPART_ARC
(16,15),0.510138 # DEPENDENCYPART_ARC
(16,17),2.73535 # DEPENDENCYPART_ARC
(16,18),0.453408 # DEPENDENCYPART_ARC
(16,19),0.324612 # DEPENDENCYPART_ARC
(16,20),0.338279 # DEPENDENCYPART_ARC
(16,21),-0.607013 # DEPENDENCYPART_ARC
(16,22),-1.55819 # DEPENDENCYPART_ARC
(16,23),-1.00127 # DEPENDENCYPART_ARC
(17,1),-1.89067 # DEPENDENCYPART_ARC
(17,2),-1.27912 # DEPENDENCYPART_ARC
(17,3),-2.37426 # DEPENDENCYPART_ARC
(17,4),-1.3728 # DEPENDENCYPART_ARC
(17,5),-2.65652 # DEPENDENCYPART_ARC
(17,6),-1.23591 # DEPENDENCYPART_ARC
(17,7),-1.02797 # DEPENDENCYPART_ARC
(17,8),-2.03637 # DEPENDENCYPART_ARC
(17,9),-0.676881 # DEPENDENCYPART_ARC
(17,10),-1.52907 # DEPENDENCYPART_ARC
(17,11),-1.57336 # DEPENDENCYPART_ARC
(17,12),-2.23435 # DEPENDENCYPART_ARC
(17,13),-0.116501 # DEPENDENCYPART_ARC
(17,14),-0.898078 # DEPENDENCYPART_ARC
(17,15),-0.162731 # DEPENDENCYPART_ARC
(17,16),0.560222 # DEPENDENCYPART_ARC
(17,18),1.16659 # DEPENDENCYPART_ARC
(17,19),0.556778 # DEPENDENCYPART_ARC
(17,20),0.29947 # DEPENDENCYPART_ARC
(17,21),-0.473725 # DEPENDENCYPART_ARC
(17,22),-0.803107 # DEPENDENCYPART_ARC
(17,23),-0.25989 # DEPENDENCYPART_ARC
(18,1),-1.95913 # DEPENDENCYPART_ARC
(18,2),-2.06885 # DEPENDENCYPART_ARC
(18,3),-3.11482 # DEPENDENCYPART_ARC
(18,4),-2.12913 # DEPENDENCYPART_ARC
(18,5),-2.85312 # DEPENDENCYPART_ARC
(18,6),-1.9751 # DEPENDENCYPART_ARC
(18,7),-1.95973 # DEPENDENCYPART_ARC
(18,8),-2.7128 # DEPENDENCYPART_ARC
(18,9),-1.79045 # DEPENDENCYPART_ARC
(18,10),-2.33639 # DEPENDENCYPART_ARC
(18,11),-1.90251 # DEPENDENCYPART_ARC
(18,12),-2.42553 # DEPENDENCYPART_ARC
(18,13),-1.48628 # DEPENDENCYPART_ARC
(18,14),-1.98126 # DEPENDENCYPART_ARC
(18,15),-1.24504 # DEPENDENCYPART_ARC
(18,16),-1.35097 # DEPENDENCYPART_ARC
(18,17),-0.323828 # DEPENDENCYPART_ARC
(18,19),0.251404 # DEPENDENCYPART_ARC
(18,20),-1.60628 # DEPENDENCYPART_ARC
(18,21),-1.31485 # DEPENDENCYPART_ARC
(18,22),-1.07873 # DEPENDENCYPART_ARC
(18,23),-1.34072 # DEPENDENCYPART_ARC
(19,1),-1.10302 # DEPENDENCYPART_ARC
(19,2),-1.73943 # DEPENDENCYPART_ARC
(19,3),-1.94253 # DEPENDENCYPART_ARC
(19,4),-2.99584 # DEPENDENCYPART_ARC
(19,5),-2.36049 # DEPENDENCYPART_ARC
(19,6),-1.71198 # DEPENDENCYPART_ARC
(19,7),-1.28804 # DEPENDENCYPART_ARC
(19,8),-1.12683 # DEPENDENCYPART_ARC
(19,9),-1.6975 # DEPENDENCYPART_ARC
(19,10),-1.66094 # DEPENDENCYPART_ARC
(19,11),-3.19623 # DEPENDENCYPART_ARC
(19,12),-0.887514 # DEPENDENCYPART_ARC
(19,13),-1.09673 # DEPENDENCYPART_ARC
(19,14),-2.63821 # DEPENDENCYPART_ARC
(19,15),-2.69119 # DEPENDENCYPART_ARC
(19,16),-1.72257 # DEPENDENCYPART_ARC
(19,17),-1.4957 # DEPENDENCYPART_ARC
(19,18),0.259318 # DEPENDENCYPART_ARC
(19,20),2.10818 # DEPENDENCYPART_ARC
(19,21),1.64624 # DEPENDENCYPART_ARC
(19,22),1.30002 # DEPENDENCYPART_ARC
(19,23),0.177426 # DEPENDENCYPART_ARC
(20,1),-1.6523 # DEPENDENCYPART_ARC
(20,2),-2.15847 # DEPENDENCYPART_ARC
(20,3),-2.30858 # DEPENDENCYPART_ARC
(20,4),-2.04466 # DEPENDENCYPART_ARC
(20,5),-2.30775 # DEPENDENCYPART_ARC
(20,6),-2.16326 # DEPENDENCYPART_ARC
(20,7),-1.89862 # DEPENDENCYPART_ARC
(20,8),-2.12603 # DEPENDENCYPART_ARC
(20,9),-2.09062 # DEPENDENCYPART_ARC
(20,10),-2.23029 # DEPENDENCYPART_ARC
(20,11),-2.1858 # DEPENDENCYPART_ARC
(20,12),-2.54493 # DEPENDENCYPART_ARC
(20,13),-1.68091 # DEPENDENCYPART_ARC
(20,14),-1.89099 # DEPENDENCYPART_ARC
(20,15),-1.94231 # DEPENDENCYPART_ARC
(20,16),-1.68833 # DEPENDENCYPART_ARC
(20,17),-1.49079 # DEPENDENCYPART_ARC
(20,18),-0.488626 # DEPENDENCYPART_ARC
(20,19),-0.315847 # DEPENDENCYPART_ARC
(20,21),4.37043 # DEPENDENCYPART_ARC
(20,22),0.902789 # DEPENDENCYPART_ARC
(20,23),-0.409518 # DEPENDENCYPART_ARC
(21,1),-2.21114 # DEPENDENCYPART_ARC
(21,2),-2.55761 # DEPENDENCYPART_ARC
(21,3),-2.68947 # DEPENDENCYPART_ARC
(21,4),-2.74496 # DEPENDENCYPART_ARC
(21,5),-2.13025 # DEPENDENCYPART_ARC
(21,6),-1.98501 # DEPENDENCYPART_ARC
(21,7),-2.55488 # DEPENDENCYPART_ARC
(21,8),-2.30044 # DEPENDENCYPART_ARC
(21,9),-1.96346 # DEPENDENCYPART_ARC
(21,10),-2.06519 # DEPENDENCYPART_ARC
(21,11),-3.24639 # DEPENDENCYPART_ARC
(21,12),-1.19778 # DEPENDENCYPART_ARC
(21,13),-1.95593 # DEPENDENCYPART_ARC
(21,14),-3.32036 # DEPENDENCYPART_ARC
(21,15),-2.78614 # DEPENDENCYPART_ARC
(21,16),-2.80478 # DEPENDENCYPART_ARC
(21,17),-2.03484 # DEPENDENCYPART_ARC
(21,18),-1.09513 # DEPENDENCYPART_ARC
(21,19),0.327508 # DEPENDENCYPART_ARC
(21,20),0.962194 # DEPENDENCYPART_ARC
(21,22),3.17372 # DEPENDENCYPART_ARC
(21,23),-0.176944 # DEPENDENCYPART_ARC
(22,1),-0.203035 # DEPENDENCYPART_ARC
(22,2),-0.611654 # DEPENDENCYPART_ARC
(22,3),-1.37247 # DEPENDENCYPART_ARC
(22,4),-2.20507 # DEPENDENCYPART_ARC
(22,5),-0.921127 # DEPENDENCYPART_ARC
(22,6),-1.04334 # DEPENDENCYPART_ARC
(22,7),-1.08583 # DEPENDENCYPART_ARC
(22,8),-0.658262 # DEPENDENCYPART_ARC
(22,9),-0.741734 # DEPENDENCYPART_ARC
(22,10),-1.18319 # DEPENDENCYPART_ARC
(22,11),-1.95316 # DEPENDENCYPART_ARC
(22,12),-1.17031 # DEPENDENCYPART_ARC
(22,13),-0.28657 # DEPENDENCYPART_ARC
(22,14),-2.01118 # DEPENDENCYPART_ARC
(22,15),-1.61611 # DEPENDENCYPART_ARC
(22,16),-1.23088 # DEPENDENCYPART_ARC
(22,17),-1.40779 # DEPENDENCYPART_ARC
(22,18),0.294368 # DEPENDENCYPART_ARC
(22,19),0.891527 # DEPENDENCYPART_ARC
(22,20),0.639372 # DEPENDENCYPART_ARC
(22,21),0.7628 # DEPENDENCYPART_ARC
(22,23),2.12108 # DEPENDENCYPART_ARC
(23,1),-2.818 # DEPENDENCYPART_ARC
(23,2),-2.68818 # DEPENDENCYPART_ARC
