# _root_ Non accadeva , in gare internazionali , da ben 15 anni .
#goldHeads=2,0,2,2,4,5,6,2,11,11,8,11,
#predictedHeads=2,0,2,2,4,5,6,5,11,11,8,11,
(4,11),-0.654494 # DEPENDENCYPART_ARC
(4,12),-0.99123 # DEPENDENCYPART_ARC
(5,1),-1.46521 # DEPENDENCYPART_ARC
(5,2),-3.067 # DEPENDENCYPART_ARC
(5,3),-1.53385 # DEPENDENCYPART_ARC
(5,4),0.841855 # DEPENDENCYPART_ARC
(5,6),3.04408 # DEPENDENCYPART_ARC
(5,7),0.0410556 # DEPENDENCYPART_ARC
(5,8),0.122376 # DEPENDENCYPART_ARC
(5,9),-0.678785 # DEPENDENCYPART_ARC
(5,10),-0.567734 # DEPENDENCYPART_ARC
(5,11),-0.102404 # DEPENDENCYPART_ARC
(5,12),-0.618402 # DEPENDENCYPART_ARC
(6,1),-0.626242 # DEPENDENCYPART_ARC
(6,2),-3.09562 # DEPENDENCYPART_ARC
(6,3),-0.502579 # DEPENDENCYPART_ARC
(6,4),0.789591 # DEPENDENCYPART_ARC
(6,5),0.13565 # DEPENDENCYPART_ARC
(6,7),1.8803 # DEPENDENCYPART_ARC
(6,8),-0.463749 # DEPENDENCYPART_ARC
(6,9),-0.837989 # DEPENDENCYPART_ARC
(6,10),-0.764231 # DEPENDENCYPART_ARC
(6,11),-0.315692 # DEPENDENCYPART_ARC
(6,12),-0.261644 # DEPENDENCYPART_ARC
(7,3),-1.38704 # DEPENDENCYPART_ARC
(7,12),-0.728265 # DEPENDENCYPART_ARC
(8,1),-1.35666 # DEPENDENCYPART_ARC
(8,2),-2.53015 # DEPENDENCYPART_ARC
(8,3),-1.55715 # DEPENDENCYPART_ARC
(8,4),-1.14216 # DEPENDENCYPART_ARC
(8,5),-1.3766 # DEPENDENCYPART_ARC
(8,6),-1.22614 # DEPENDENCYPART_ARC
(8,7),0.151205 # DEPENDENCYPART_ARC
(8,9),1.32602 # DEPENDENCYPART_ARC
(8,10),0.665588 # DEPENDENCYPART_ARC
(8,11),1.56905 # DEPENDENCYPART_ARC
(8,12),-0.255024 # DEPENDENCYPART_ARC
(9,1),-2.1778 # DEPENDENCYPART_ARC
(9,2),-3.40802 # DEPENDENCYPART_ARC
(9,3),-2.47382 # DEPENDENCYPART_ARC
(9,4),-1.89621 # DEPENDENCYPART_ARC
(9,5),-2.7611 # DEPENDENCYPART_ARC
(9,6),-2.11704 # DEPENDENCYPART_ARC
(9,7),-1.45497 # DEPENDENCYPART_ARC
(9,8),-0.350267 # DEPENDENCYPART_ARC
(9,10),0.171192 # DEPENDENCYPART_ARC
(9,11),-0.0170393 # DEPENDENCYPART_ARC
(9,12),-0.0748228 # DEPENDENCYPART_ARC
(10,1),-1.15422 # DEPENDENCYPART_ARC
(10,2),-1.9676 # DEPENDENCYPART_ARC
(10,3),-1.15179 # DEPENDENCYPART_ARC
(10,4),-1.05532 # DEPENDENCYPART_ARC
(10,5),-1.42217 # DEPENDENCYPART_ARC
(10,6),-0.766263 # DEPENDENCYPART_ARC
(10,7),-0.550616 # DEPENDENCYPART_ARC
(10,8),0.0579052 # DEPENDENCYPART_ARC
(10,9),0.935023 # DEPENDENCYPART_ARC
(10,11),0.571383 # DEPENDENCYPART_ARC
(10,12),-0.207216 # DEPENDENCYPART_ARC
(11,1),-0.956996 # DEPENDENCYPART_ARC
(11,2),-3.07587 # DEPENDENCYPART_ARC
(11,3),-2.28294 # DEPENDENCYPART_ARC
(11,4),-0.722347 # DEPENDENCYPART_ARC
(11,5),-0.241379 # DEPENDENCYPART_ARC
(11,6),0.166966 # DEPENDENCYPART_ARC
(11,7),-1.52821 # DEPENDENCYPART_ARC
(11,8),0.506383 # DEPENDENCYPART_ARC
(11,9),1.64697 # DEPENDENCYPART_ARC
(11,10),2.38099 # DEPENDENCYPART_ARC
(11,12),2.53798 # DEPENDENCYPART_ARC
(12,3),-1.72812 # DEPENDENCYPART_ARC
(12,7),-1.5343 # DEPENDENCYPART_ARC
