# _root_ Come_se la lontananza da quel giorno , la presenza sulla stessa pista di Mike Marsh e Yuji Nakamura , rammentasse solo un brutto sogno dell' umanità .
#goldHeads=20,3,1,3,6,4,6,9,3,9,12,10,9,13,14,14,14,17,18,0,24,24,24,20,24,25,26,
#predictedHeads=20,3,1,3,6,4,6,9,3,9,12,10,12,13,14,15,18,15,18,0,24,24,24,20,24,25,26,
(2,13),-0.533998 # DEPENDENCYPART_ARC
(2,14),-0.633644 # DEPENDENCYPART_ARC
(2,15),-0.64933 # DEPENDENCYPART_ARC
(2,16),-0.61186 # DEPENDENCYPART_ARC
(2,17),-0.758734 # DEPENDENCYPART_ARC
(2,18),-0.636671 # DEPENDENCYPART_ARC
(2,19),-0.838513 # DEPENDENCYPART_ARC
(2,20),-1.12378 # DEPENDENCYPART_ARC
(2,21),-1.53124 # DEPENDENCYPART_ARC
(2,22),-2.01151 # DEPENDENCYPART_ARC
(2,23),-2.68592 # DEPENDENCYPART_ARC
(2,24),-1.50292 # DEPENDENCYPART_ARC
(2,25),-1.22448 # DEPENDENCYPART_ARC
(2,26),-0.785912 # DEPENDENCYPART_ARC
(2,27),-1.58897 # DEPENDENCYPART_ARC
(3,1),0.354395 # DEPENDENCYPART_ARC
(3,2),3.23459 # DEPENDENCYPART_ARC
(3,4),1.31865 # DEPENDENCYPART_ARC
(3,5),0.388179 # DEPENDENCYPART_ARC
(3,6),0.373371 # DEPENDENCYPART_ARC
(3,7),0.599936 # DEPENDENCYPART_ARC
(3,8),-0.183877 # DEPENDENCYPART_ARC
(3,9),0.619504 # DEPENDENCYPART_ARC
(3,10),0.59514 # DEPENDENCYPART_ARC
(3,11),-0.113704 # DEPENDENCYPART_ARC
(3,12),-0.110681 # DEPENDENCYPART_ARC
(3,13),-0.182634 # DEPENDENCYPART_ARC
(3,14),-0.471859 # DEPENDENCYPART_ARC
(3,15),-0.113065 # DEPENDENCYPART_ARC
(3,16),0.296002 # DEPENDENCYPART_ARC
(3,17),-0.223117 # DEPENDENCYPART_ARC
(3,18),-0.0193022 # DEPENDENCYPART_ARC
(3,19),-0.572835 # DEPENDENCYPART_ARC
(3,20),-1.42858 # DEPENDENCYPART_ARC
(3,21),-2.2054 # DEPENDENCYPART_ARC
(3,22),-1.49718 # DEPENDENCYPART_ARC
(3,23),-2.24615 # DEPENDENCYPART_ARC
(3,24),-1.23906 # DEPENDENCYPART_ARC
(3,25),-1.19471 # DEPENDENCYPART_ARC
(3,26),-1.10445 # DEPENDENCYPART_ARC
(3,27),-4.89434 # DEPENDENCYPART_ARC
(4,1),-0.671862 # DEPENDENCYPART_ARC
(4,2),-0.359852 # DEPENDENCYPART_ARC
(4,3),-0.144577 # DEPENDENCYPART_ARC
(4,5),1.2698 # DEPENDENCYPART_ARC
(4,6),3.22509 # DEPENDENCYPART_ARC
(4,7),-0.0836945 # DEPENDENCYPART_ARC
(4,8),-0.576478 # DEPENDENCYPART_ARC
(4,9),0.155788 # DEPENDENCYPART_ARC
(4,10),-0.889051 # DEPENDENCYPART_ARC
(4,11),-0.277518 # DEPENDENCYPART_ARC
(4,12),-0.995765 # DEPENDENCYPART_ARC
(4,13),-0.922035 # DEPENDENCYPART_ARC
(4,14),-1.84881 # DEPENDENCYPART_ARC
(4,15),-3.16993 # DEPENDENCYPART_ARC
(4,16),-0.369325 # DEPENDENCYPART_ARC
(4,17),-4.28932 # DEPENDENCYPART_ARC
(4,18),-4.75631 # DEPENDENCYPART_ARC
(4,19),-1.60634 # DEPENDENCYPART_ARC
(4,20),-2.10523 # DEPENDENCYPART_ARC
(4,21),-1.09408 # DEPENDENCYPART_ARC
(4,22),-1.53499 # DEPENDENCYPART_ARC
(4,23),-1.30126 # DEPENDENCYPART_ARC
(4,24),-7.4543 # DEPENDENCYPART_ARC
(4,25),-2.46927 # DEPENDENCYPART_ARC
(4,26),-8.18869 # DEPENDENCYPART_ARC
(4,27),-2.98897 # DEPENDENCYPART_ARC
(5,1),-1.93887 # DEPENDENCYPART_ARC
(5,2),-1.51315 # DEPENDENCYPART_ARC
(5,3),-2.26965 # DEPENDENCYPART_ARC
(5,4),-0.417688 # DEPENDENCYPART_ARC
(5,6),1.04053 # DEPENDENCYPART_ARC
(5,7),-0.0844933 # DEPENDENCYPART_ARC
(5,8),-0.669887 # DEPENDENCYPART_ARC
(5,9),-0.601791 # DEPENDENCYPART_ARC
(5,10),-0.217029 # DEPENDENCYPART_ARC
(5,11),-0.719025 # DEPENDENCYPART_ARC
(5,12),-0.811916 # DEPENDENCYPART_ARC
(5,13),-0.410423 # DEPENDENCYPART_ARC
(5,14),-0.260957 # DEPENDENCYPART_ARC
(5,15),-0.272768 # DEPENDENCYPART_ARC
(5,16),-0.480216 # DEPENDENCYPART_ARC
(5,17),-0.320347 # DEPENDENCYPART_ARC
(5,18),-0.314741 # DEPENDENCYPART_ARC
(5,19),-0.878989 # DEPENDENCYPART_ARC
(5,20),-1.57178 # DEPENDENCYPART_ARC
(5,21),-1.23928 # DEPENDENCYPART_ARC
(5,22),-1.36604 # DEPENDENCYPART_ARC
(5,23),-1.0135 # DEPENDENCYPART_ARC
(5,24),-1.38692 # DEPENDENCYPART_ARC
(5,25),-0.802569 # DEPENDENCYPART_ARC
(5,26),-1.54158 # DEPENDENCYPART_ARC
(5,27),-1.50198 # DEPENDENCYPART_ARC
(6,1),-0.855807 # DEPENDENCYPART_ARC
(6,2),0.0358964 # DEPENDENCYPART_ARC
(6,3),-1.82411 # DEPENDENCYPART_ARC
(6,4),0.220026 # DEPENDENCYPART_ARC
(6,5),3.09691 # DEPENDENCYPART_ARC
(6,7),2.18592 # DEPENDENCYPART_ARC
(6,8),-0.272095 # DEPENDENCYPART_ARC
(6,9),0.275972 # DEPENDENCYPART_ARC
(6,10),0.152763 # DEPENDENCYPART_ARC
(6,11),-0.395843 # DEPENDENCYPART_ARC
(6,12),-0.190877 # DEPENDENCYPART_ARC
(6,13),-0.272477 # DEPENDENCYPART_ARC
(6,14),-0.245954 # DEPENDENCYPART_ARC
(6,15),-0.162644 # DEPENDENCYPART_ARC
(6,16),0.745742 # DEPENDENCYPART_ARC
(6,17),-0.0307554 # DEPENDENCYPART_ARC
(6,18),-0.0429361 # DEPENDENCYPART_ARC
(6,19),0.38104 # DEPENDENCYPART_ARC
(6,20),-2.0085 # DEPENDENCYPART_ARC
(6,21),-1.76054 # DEPENDENCYPART_ARC
(6,22),-1.06705 # DEPENDENCYPART_ARC
(6,23),-1.23913 # DEPENDENCYPART_ARC
(6,24),-1.05872 # DEPENDENCYPART_ARC
(6,25),-1.41396 # DEPENDENCYPART_ARC
(6,26),-1.30478 # DEPENDENCYPART_ARC
(6,27),-3.56502 # DEPENDENCYPART_ARC
(7,1),-2.00678 # DEPENDENCYPART_ARC
(7,2),-1.78259 # DEPENDENCYPART_ARC
(7,3),-2.23849 # DEPENDENCYPART_ARC
(7,4),-1.29239 # DEPENDENCYPART_ARC
(7,5),-1.12198 # DEPENDENCYPART_ARC
(7,6),-0.85588 # DEPENDENCYPART_ARC
(7,8),-0.797999 # DEPENDENCYPART_ARC
(7,9),-1.38017 # DEPENDENCYPART_ARC
(7,10),-1.80749 # DEPENDENCYPART_ARC
(7,11),-1.95089 # DEPENDENCYPART_ARC
(7,12),-2.03566 # DEPENDENCYPART_ARC
(7,13),-2.16162 # DEPENDENCYPART_ARC
(7,14),-2.17719 # DEPENDENCYPART_ARC
(7,15),-2.2184 # DEPENDENCYPART_ARC
(7,16),-2.00906 # DEPENDENCYPART_ARC
(7,17),-2.23017 # DEPENDENCYPART_ARC
(7,18),-2.29071 # DEPENDENCYPART_ARC
(7,19),-1.01774 # DEPENDENCYPART_ARC
(7,20),-2.17825 # DEPENDENCYPART_ARC
(7,21),-2.54985 # DEPENDENCYPART_ARC
(7,22),-2.47128 # DEPENDENCYPART_ARC
(7,23),-2.65458 # DEPENDENCYPART_ARC
(7,24),-2.60987 # DEPENDENCYPART_ARC
(7,25),-2.65469 # DEPENDENCYPART_ARC
(7,26),-2.75469 # DEPENDENCYPART_ARC
(7,27),-1.81077 # DEPENDENCYPART_ARC
(8,1),-2.17155 # DEPENDENCYPART_ARC
(8,2),-1.72675 # DEPENDENCYPART_ARC
(8,3),-2.20285 # DEPENDENCYPART_ARC
(8,4),-1.644 # DEPENDENCYPART_ARC
(8,5),-1.26693 # DEPENDENCYPART_ARC
(8,6),-1.71067 # DEPENDENCYPART_ARC
(8,7),0.257856 # DEPENDENCYPART_ARC
(8,9),1.05815 # DEPENDENCYPART_ARC
(8,10),0.0316554 # DEPENDENCYPART_ARC
(8,11),-0.939377 # DEPENDENCYPART_ARC
(8,12),-0.412021 # DEPENDENCYPART_ARC
(8,13),-0.436913 # DEPENDENCYPART_ARC
(8,14),-0.524304 # DEPENDENCYPART_ARC
(8,15),-0.557641 # DEPENDENCYPART_ARC
(8,16),-0.571751 # DEPENDENCYPART_ARC
(8,17),-0.680527 # DEPENDENCYPART_ARC
(8,18),-0.595136 # DEPENDENCYPART_ARC
(8,19),-0.735582 # DEPENDENCYPART_ARC
(8,20),-1.13599 # DEPENDENCYPART_ARC
(8,21),-1.42743 # DEPENDENCYPART_ARC
(8,22),-1.91571 # DEPENDENCYPART_ARC
(8,23),-2.63041 # DEPENDENCYPART_ARC
(8,24),-1.35685 # DEPENDENCYPART_ARC
(8,25),-1.21643 # DEPENDENCYPART_ARC
(8,26),-0.550694 # DEPENDENCYPART_ARC
(8,27),-1.39914 # DEPENDENCYPART_ARC
(9,1),-0.708966 # DEPENDENCYPART_ARC
(9,2),-0.296494 # DEPENDENCYPART_ARC
(9,3),-2.17393 # DEPENDENCYPART_ARC
(9,4),-0.209455 # DEPENDENCYPART_ARC
(9,5),1.00785 # DEPENDENCYPART_ARC
(9,6),-1.55241 # DEPENDENCYPART_ARC
(9,7),-0.813978 # DEPENDENCYPART_ARC
(9,8),3.63066 # DEPENDENCYPART_ARC
(9,10),1.96245 # DEPENDENCYPART_ARC
(9,11),1.08214 # DEPENDENCYPART_ARC
(9,12),0.504058 # DEPENDENCYPART_ARC
(9,13),0.635778 # DEPENDENCYPART_ARC
(9,14),-0.0336989 # DEPENDENCYPART_ARC
(9,15),0.229911 # DEPENDENCYPART_ARC
(9,16),0.428544 # DEPENDENCYPART_ARC
(9,17),0.0155592 # DEPENDENCYPART_ARC
(9,18),0.288123 # DEPENDENCYPART_ARC
(9,19),-0.28296 # DEPENDENCYPART_ARC
(9,20),-1.45971 # DEPENDENCYPART_ARC
(9,21),-1.8787 # DEPENDENCYPART_ARC
(9,22),-1.40603 # DEPENDENCYPART_ARC
(9,23),-1.89368 # DEPENDENCYPART_ARC
(9,24),-1.04917 # DEPENDENCYPART_ARC
(9,25),-0.373831 # DEPENDENCYPART_ARC
(9,26),-0.945126 # DEPENDENCYPART_ARC
(9,27),-3.53377 # DEPENDENCYPART_ARC
(10,1),-1.16136 # DEPENDENCYPART_ARC
(10,2),-1.53856 # DEPENDENCYPART_ARC
(10,3),-2.2123 # DEPENDENCYPART_ARC
(10,4),-1.00225 # DEPENDENCYPART_ARC
(10,5),-0.790292 # DEPENDENCYPART_ARC
(10,6),-1.90973 # DEPENDENCYPART_ARC
(10,7),-1.09843 # DEPENDENCYPART_ARC
(10,8),-0.31924 # DEPENDENCYPART_ARC
(10,9),-0.494901 # DEPENDENCYPART_ARC
(10,11),1.31981 # DEPENDENCYPART_ARC
(10,12),3.1845 # DEPENDENCYPART_ARC
(10,13),-0.164958 # DEPENDENCYPART_ARC
(10,14),0.167554 # DEPENDENCYPART_ARC
(10,15),-0.875478 # DEPENDENCYPART_ARC
(10,16),0.475233 # DEPENDENCYPART_ARC
(10,17),-2.35615 # DEPENDENCYPART_ARC
(10,18),-2.66698 # DEPENDENCYPART_ARC
(10,19),-0.492971 # DEPENDENCYPART_ARC
(10,20),-2.34609 # DEPENDENCYPART_ARC
(10,21),-0.981562 # DEPENDENCYPART_ARC
(10,22),-1.88632 # DEPENDENCYPART_ARC
(10,23),-2.14671 # DEPENDENCYPART_ARC
(10,24),-5.33812 # DEPENDENCYPART_ARC
(10,25),-1.1838 # DEPENDENCYPART_ARC
(10,26),-5.10724 # DEPENDENCYPART_ARC
(10,27),-1.82084 # DEPENDENCYPART_ARC
(11,1),-2.1049 # DEPENDENCYPART_ARC
(11,2),-1.93288 # DEPENDENCYPART_ARC
(11,3),-2.5612 # DEPENDENCYPART_ARC
(11,4),-1.80076 # DEPENDENCYPART_ARC
(11,5),-1.82739 # DEPENDENCYPART_ARC
(11,6),-2.16815 # DEPENDENCYPART_ARC
(11,7),-1.99793 # DEPENDENCYPART_ARC
(11,8),-1.06833 # DEPENDENCYPART_ARC
(11,9),-1.32114 # DEPENDENCYPART_ARC
(11,10),-0.145501 # DEPENDENCYPART_ARC
(11,12),0.833025 # DEPENDENCYPART_ARC
(11,13),-0.17157 # DEPENDENCYPART_ARC
(11,14),-0.279821 # DEPENDENCYPART_ARC
(11,15),-0.240171 # DEPENDENCYPART_ARC
(11,16),-0.455259 # DEPENDENCYPART_ARC
(11,17),-0.707985 # DEPENDENCYPART_ARC
(11,18),-0.547442 # DEPENDENCYPART_ARC
(11,19),-1.22924 # DEPENDENCYPART_ARC
(11,20),-1.54437 # DEPENDENCYPART_ARC
(11,21),-1.4566 # DEPENDENCYPART_ARC
(11,22),-1.61993 # DEPENDENCYPART_ARC
(11,23),-1.77148 # DEPENDENCYPART_ARC
(11,24),-1.49843 # DEPENDENCYPART_ARC
(11,25),-1.70187 # DEPENDENCYPART_ARC
(11,26),-1.21841 # DEPENDENCYPART_ARC
(11,27),-2.19965 # DEPENDENCYPART_ARC
(12,1),-0.596605 # DEPENDENCYPART_ARC
(12,2),-0.743675 # DEPENDENCYPART_ARC
(12,3),-2.20006 # DEPENDENCYPART_ARC
(12,4),-0.885753 # DEPENDENCYPART_ARC
(12,5),0.653182 # DEPENDENCYPART_ARC
(12,6),-2.27616 # DEPENDENCYPART_ARC
(12,7),-1.75445 # DEPENDENCYPART_ARC
(12,8),1.21135 # DEPENDENCYPART_ARC
(12,9),-0.973909 # DEPENDENCYPART_ARC
(12,10),0.616702 # DEPENDENCYPART_ARC
(12,11),4.11866 # DEPENDENCYPART_ARC
(12,13),2.28117 # DEPENDENCYPART_ARC
(12,14),0.721925 # DEPENDENCYPART_ARC
(12,15),0.690715 # DEPENDENCYPART_ARC
(12,16),0.8956 # DEPENDENCYPART_ARC
(12,17),0.565065 # DEPENDENCYPART_ARC
(12,18),0.593689 # DEPENDENCYPART_ARC
(12,19),0.142676 # DEPENDENCYPART_ARC
(12,20),-1.22692 # DEPENDENCYPART_ARC
(12,21),-1.46053 # DEPENDENCYPART_ARC
(12,22),-1.13513 # DEPENDENCYPART_ARC
(12,23),-1.72343 # DEPENDENCYPART_ARC
(12,24),-0.463424 # DEPENDENCYPART_ARC
(12,25),-0.197565 # DEPENDENCYPART_ARC
(12,26),-0.489592 # DEPENDENCYPART_ARC
(12,27),-2.72623 # DEPENDENCYPART_ARC
(13,1),-1.45719 # DEPENDENCYPART_ARC
(13,2),-2.14739 # DEPENDENCYPART_ARC
(13,3),-2.41005 # DEPENDENCYPART_ARC
(13,4),-1.54428 # DEPENDENCYPART_ARC
(13,5),-1.75532 # DEPENDENCYPART_ARC
(13,6),-2.03259 # DEPENDENCYPART_ARC
(13,7),-2.16639 # DEPENDENCYPART_ARC
(13,8),-1.6607 # DEPENDENCYPART_ARC
(13,9),-1.97541 # DEPENDENCYPART_ARC
(13,10),-0.943292 # DEPENDENCYPART_ARC
(13,11),-1.31223 # DEPENDENCYPART_ARC
(13,12),-0.618816 # DEPENDENCYPART_ARC
(13,14),3.64447 # DEPENDENCYPART_ARC
(13,15),1.75479 # DEPENDENCYPART_ARC
(13,16),0.413419 # DEPENDENCYPART_ARC
(13,17),-0.713994 # DEPENDENCYPART_ARC
(13,18),-1.00269 # DEPENDENCYPART_ARC
(13,19),-0.512844 # DEPENDENCYPART_ARC
(13,20),-1.3031 # DEPENDENCYPART_ARC
(13,21),-1.19078 # DEPENDENCYPART_ARC
(13,22),-1.57625 # DEPENDENCYPART_ARC
(13,23),-1.16183 # DEPENDENCYPART_ARC
(13,24),-4.55696 # DEPENDENCYPART_ARC
(13,25),-1.79836 # DEPENDENCYPART_ARC
(13,26),-4.65191 # DEPENDENCYPART_ARC
(13,27),-1.98969 # DEPENDENCYPART_ARC
(14,1),-2.1368 # DEPENDENCYPART_ARC
(14,2),-2.69621 # DEPENDENCYPART_ARC
(14,3),-4.64132 # DEPENDENCYPART_ARC
(14,4),-2.45052 # DEPENDENCYPART_ARC
(14,5),-1.18518 # DEPENDENCYPART_ARC
(14,6),-4.52073 # DEPENDENCYPART_ARC
(14,7),-3.33646 # DEPENDENCYPART_ARC
(14,8),-1.30608 # DEPENDENCYPART_ARC
(14,9),-3.72576 # DEPENDENCYPART_ARC
(14,10),-1.16395 # DEPENDENCYPART_ARC
(14,11),-0.673563 # DEPENDENCYPART_ARC
(14,12),-2.5852 # DEPENDENCYPART_ARC
(14,13),0.270712 # DEPENDENCYPART_ARC
(14,15),2.24437 # DEPENDENCYPART_ARC
(14,16),0.873026 # DEPENDENCYPART_ARC
(14,17),0.711837 # DEPENDENCYPART_ARC
(14,18),1.16908 # DEPENDENCYPART_ARC
(14,19),-0.348351 # DEPENDENCYPART_ARC
(14,20),-1.21057 # DEPENDENCYPART_ARC
(14,21),-1.53446 # DEPENDENCYPART_ARC
(14,22),-1.0655 # DEPENDENCYPART_ARC
(14,23),-1.15712 # DEPENDENCYPART_ARC
(14,24),-0.732334 # DEPENDENCYPART_ARC
(14,25),-0.457748 # DEPENDENCYPART_ARC
(14,26),-0.891082 # DEPENDENCYPART_ARC
(14,27),-2.66692 # DEPENDENCYPART_ARC
(15,1),-0.915913 # DEPENDENCYPART_ARC
(15,2),-1.77925 # DEPENDENCYPART_ARC
(15,3),-2.96821 # DEPENDENCYPART_ARC
(15,4),-1.05604 # DEPENDENCYPART_ARC
(15,5),0.255081 # DEPENDENCYPART_ARC
(15,6),-2.85944 # DEPENDENCYPART_ARC
(15,7),-2.16465 # DEPENDENCYPART_ARC
(15,8),-0.407113 # DEPENDENCYPART_ARC
(15,9),-2.46398 # DEPENDENCYPART_ARC
(15,10),0.147409 # DEPENDENCYPART_ARC
(15,11),0.919694 # DEPENDENCYPART_ARC
(15,12),-1.32112 # DEPENDENCYPART_ARC
(15,13),0.949943 # DEPENDENCYPART_ARC
(15,14),3.71734 # DEPENDENCYPART_ARC
(15,16),2.11979 # DEPENDENCYPART_ARC
(15,17),1.75892 # DEPENDENCYPART_ARC
(15,18),1.82555 # DEPENDENCYPART_ARC
(15,19),0.362265 # DEPENDENCYPART_ARC
(15,20),-0.846916 # DEPENDENCYPART_ARC
(15,21),-0.857075 # DEPENDENCYPART_ARC
(15,22),-0.522103 # DEPENDENCYPART_ARC
(15,23),-0.835322 # DEPENDENCYPART_ARC
(15,24),0.264815 # DEPENDENCYPART_ARC
(15,25),-0.188825 # DEPENDENCYPART_ARC
(15,26),-0.146016 # DEPENDENCYPART_ARC
(15,27),-1.70673 # DEPENDENCYPART_ARC
(16,1),-1.64045 # DEPENDENCYPART_ARC
(16,2),-1.95925 # DEPENDENCYPART_ARC
(16,3),-3.03 # DEPENDENCYPART_ARC
(16,4),-1.96315 # DEPENDENCYPART_ARC
(16,5),-1.93053 # DEPENDENCYPART_ARC
(16,6),-2.85949 # DEPENDENCYPART_ARC
(16,7),-1.94621 # DEPENDENCYPART_ARC
(16,8),-1.75068 # DEPENDENCYPART_ARC
(16,9),-2.58741 # DEPENDENCYPART_ARC
(16,10),-1.65858 # DEPENDENCYPART_ARC
(16,11),-1.97751 # DEPENDENCYPART_ARC
(16,12),-2.11939 # DEPENDENCYPART_ARC
(16,13),-1.04451 # DEPENDENCYPART_ARC
(16,14),-1.47721 # DEPENDENCYPART_ARC
(16,15),-0.529553 # DEPENDENCYPART_ARC
(16,17),0.324566 # DEPENDENCYPART_ARC
(16,18),-0.431272 # DEPENDENCYPART_ARC
(16,19),-0.234665 # DEPENDENCYPART_ARC
(16,20),-0.70948 # DEPENDENCYPART_ARC
(16,21),-1.90343 # DEPENDENCYPART_ARC
(16,22),-1.70984 # DEPENDENCYPART_ARC
(16,23),-1.56888 # DEPENDENCYPART_ARC
(16,24),-1.51774 # DEPENDENCYPART_ARC
(16,25),-1.84602 # DEPENDENCYPART_ARC
(16,26),-1.46956 # DEPENDENCYPART_ARC
(16,27),-1.46735 # DEPENDENCYPART_ARC
(17,1),-2.59424 # DEPENDENCYPART_ARC
(17,2),-3.86714 # DEPENDENCYPART_ARC
(17,3),-5.11365 # DEPENDENCYPART_ARC
(17,4),-2.91273 # DEPENDENCYPART_ARC
(17,5),-1.58435 # DEPENDENCYPART_ARC
(17,6),-5.09605 # DEPENDENCYPART_ARC
(17,7),-3.80354 # DEPENDENCYPART_ARC
(17,8),-2.48172 # DEPENDENCYPART_ARC
(17,9),-4.5933 # DEPENDENCYPART_ARC
(17,10),-2.06454 # DEPENDENCYPART_ARC
(17,11),-1.55337 # DEPENDENCYPART_ARC
(17,12),-3.96157 # DEPENDENCYPART_ARC
(17,13),-1.6638 # DEPENDENCYPART_ARC
(17,14),-0.556121 # DEPENDENCYPART_ARC
(17,15),-0.649364 # DEPENDENCYPART_ARC
(17,16),-0.36597 # DEPENDENCYPART_ARC
(17,18),2.15686 # DEPENDENCYPART_ARC
(17,19),0.11826 # DEPENDENCYPART_ARC
(17,20),-0.747371 # DEPENDENCYPART_ARC
(17,21),-1.21745 # DEPENDENCYPART_ARC
(17,22),-1.00434 # DEPENDENCYPART_ARC
(17,23),-1.03518 # DEPENDENCYPART_ARC
(17,24),-0.64284 # DEPENDENCYPART_ARC
(17,25),0.0387093 # DEPENDENCYPART_ARC
(17,26),-0.909789 # DEPENDENCYPART_ARC
(17,27),-1.80941 # DEPENDENCYPART_ARC
(18,1),-1.13904 # DEPENDENCYPART_ARC
(18,2),-2.96013 # DEPENDENCYPART_ARC
(18,3),-3.34494 # DEPENDENCYPART_ARC
(18,4),-1.55267 # DEPENDENCYPART_ARC
(18,5),-0.117926 # DEPENDENCYPART_ARC
(18,6),-3.34694 # DEPENDENCYPART_ARC
(18,7),-2.49686 # DEPENDENCYPART_ARC
(18,8),-1.59173 # DEPENDENCYPART_ARC
(18,9),-2.85894 # DEPENDENCYPART_ARC
(18,10),-0.79709 # DEPENDENCYPART_ARC
(18,11),0.67039 # DEPENDENCYPART_ARC
(18,12),-2.38012 # DEPENDENCYPART_ARC
(18,13),-0.275483 # DEPENDENCYPART_ARC
(18,14),1.90521 # DEPENDENCYPART_ARC
(18,15),0.481436 # DEPENDENCYPART_ARC
(18,16),0.322442 # DEPENDENCYPART_ARC
(18,17),3.60438 # DEPENDENCYPART_ARC
(18,19),2.24833 # DEPENDENCYPART_ARC
(18,20),-0.443234 # DEPENDENCYPART_ARC
(18,21),-0.732855 # DEPENDENCYPART_ARC
(18,22),-0.57133 # DEPENDENCYPART_ARC
(18,23),-0.74796 # DEPENDENCYPART_ARC
(18,24),-0.106637 # DEPENDENCYPART_ARC
(18,25),-0.12037 # DEPENDENCYPART_ARC
(18,26),-0.498194 # DEPENDENCYPART_ARC
(18,27),-0.621948 # DEPENDENCYPART_ARC
(19,1),-2.00328 # DEPENDENCYPART_ARC
(19,2),-1.96142 # DEPENDENCYPART_ARC
(19,3),-2.52 # DEPENDENCYPART_ARC
(19,4),-1.95515 # DEPENDENCYPART_ARC
(19,5),-2.07587 # DEPENDENCYPART_ARC
(19,6),-2.43284 # DEPENDENCYPART_ARC
(19,7),-2.02213 # DEPENDENCYPART_ARC
(19,8),-1.93529 # DEPENDENCYPART_ARC
(19,9),-2.37722 # DEPENDENCYPART_ARC
(19,10),-1.73744 # DEPENDENCYPART_ARC
(19,11),-2.2566 # DEPENDENCYPART_ARC
