# _root_ Si preferisce disporre i mobili lungo le pareti e , scoperto il valore degli angoli , ci si ingegna a trovare il modo di riempir- li utilmente .
#goldHeads=2,0,2,5,3,3,8,6,2,9,19,13,11,13,14,15,19,19,2,19,20,23,21,23,24,25,25,27,
#predictedHeads=2,3,0,5,3,3,8,6,3,9,5,13,11,13,14,15,19,19,13,19,20,23,21,23,24,25,25,27,
(5,17),-0.771951 # DEPENDENCYPART_ARC
(5,18),-2.3276 # DEPENDENCYPART_ARC
(5,19),-0.856029 # DEPENDENCYPART_ARC
(5,20),-1.80307 # DEPENDENCYPART_ARC
(5,21),-0.894815 # DEPENDENCYPART_ARC
(5,22),-1.34791 # DEPENDENCYPART_ARC
(5,23),-1.32721 # DEPENDENCYPART_ARC
(5,24),-2.10826 # DEPENDENCYPART_ARC
(5,25),-1.84432 # DEPENDENCYPART_ARC
(5,26),-0.845426 # DEPENDENCYPART_ARC
(5,27),-1.64492 # DEPENDENCYPART_ARC
(5,28),-3.67977 # DEPENDENCYPART_ARC
(6,1),-1.71681 # DEPENDENCYPART_ARC
(6,2),-2.16545 # DEPENDENCYPART_ARC
(6,3),-1.77452 # DEPENDENCYPART_ARC
(6,4),-0.551608 # DEPENDENCYPART_ARC
(6,5),-0.161563 # DEPENDENCYPART_ARC
(6,7),0.5956 # DEPENDENCYPART_ARC
(6,8),2.99919 # DEPENDENCYPART_ARC
(6,9),0.533202 # DEPENDENCYPART_ARC
(6,10),-0.150372 # DEPENDENCYPART_ARC
(6,11),-0.0700013 # DEPENDENCYPART_ARC
(6,12),-1.01122 # DEPENDENCYPART_ARC
(6,13),-0.956076 # DEPENDENCYPART_ARC
(6,14),-0.99263 # DEPENDENCYPART_ARC
(6,15),-1.56995 # DEPENDENCYPART_ARC
(6,16),-0.308159 # DEPENDENCYPART_ARC
(6,17),-1.42721 # DEPENDENCYPART_ARC
(6,18),-1.34658 # DEPENDENCYPART_ARC
(6,19),-2.06622 # DEPENDENCYPART_ARC
(6,20),-0.916464 # DEPENDENCYPART_ARC
(6,21),-2.26749 # DEPENDENCYPART_ARC
(6,22),-1.55279 # DEPENDENCYPART_ARC
(6,23),-4.49297 # DEPENDENCYPART_ARC
(6,24),-1.88184 # DEPENDENCYPART_ARC
(6,25),-2.44956 # DEPENDENCYPART_ARC
(6,26),-2.11935 # DEPENDENCYPART_ARC
(6,27),-1.77149 # DEPENDENCYPART_ARC
(6,28),-2.04884 # DEPENDENCYPART_ARC
(7,2),-3.68833 # DEPENDENCYPART_ARC
(7,3),-2.7253 # DEPENDENCYPART_ARC
(7,5),-1.74931 # DEPENDENCYPART_ARC
(7,6),-0.258887 # DEPENDENCYPART_ARC
(7,8),1.14465 # DEPENDENCYPART_ARC
(7,10),-0.266158 # DEPENDENCYPART_ARC
(7,11),-1.04493 # DEPENDENCYPART_ARC
(7,13),-1.48893 # DEPENDENCYPART_ARC
(7,14),-0.844017 # DEPENDENCYPART_ARC
(7,15),-1.23969 # DEPENDENCYPART_ARC
(7,16),-0.9172 # DEPENDENCYPART_ARC
(7,19),-1.23859 # DEPENDENCYPART_ARC
(7,20),-1.45968 # DEPENDENCYPART_ARC
(7,21),-1.21766 # DEPENDENCYPART_ARC
(7,23),-1.92845 # DEPENDENCYPART_ARC
(7,24),-1.60001 # DEPENDENCYPART_ARC
(7,25),-1.53275 # DEPENDENCYPART_ARC
(7,28),-1.62489 # DEPENDENCYPART_ARC
(8,1),-1.56005 # DEPENDENCYPART_ARC
(8,2),-2.79974 # DEPENDENCYPART_ARC
(8,3),-2.24533 # DEPENDENCYPART_ARC
(8,4),0.66007 # DEPENDENCYPART_ARC
(8,5),-0.539666 # DEPENDENCYPART_ARC
(8,6),0.637167 # DEPENDENCYPART_ARC
(8,7),3.5249 # DEPENDENCYPART_ARC
(8,9),0.840712 # DEPENDENCYPART_ARC
(8,10),0.212239 # DEPENDENCYPART_ARC
(8,11),0.21363 # DEPENDENCYPART_ARC
(8,12),-0.946529 # DEPENDENCYPART_ARC
(8,13),0.21732 # DEPENDENCYPART_ARC
(8,14),0.388049 # DEPENDENCYPART_ARC
(8,15),0.29776 # DEPENDENCYPART_ARC
(8,16),-0.123798 # DEPENDENCYPART_ARC
(8,17),-0.559418 # DEPENDENCYPART_ARC
(8,18),-1.95145 # DEPENDENCYPART_ARC
(8,19),-1.01139 # DEPENDENCYPART_ARC
(8,20),-1.52963 # DEPENDENCYPART_ARC
(8,21),-0.867437 # DEPENDENCYPART_ARC
(8,22),-1.46861 # DEPENDENCYPART_ARC
(8,23),-1.15858 # DEPENDENCYPART_ARC
(8,24),-1.52816 # DEPENDENCYPART_ARC
(8,25),-1.808 # DEPENDENCYPART_ARC
(8,26),-0.977561 # DEPENDENCYPART_ARC
(8,27),-1.42839 # DEPENDENCYPART_ARC
(8,28),-3.12554 # DEPENDENCYPART_ARC
(9,1),-1.47566 # DEPENDENCYPART_ARC
(9,2),-2.60542 # DEPENDENCYPART_ARC
(9,3),-2.5354 # DEPENDENCYPART_ARC
(9,5),-2.05256 # DEPENDENCYPART_ARC
(9,6),-1.0527 # DEPENDENCYPART_ARC
(9,8),-0.545569 # DEPENDENCYPART_ARC
(9,10),1.21692 # DEPENDENCYPART_ARC
(9,11),-0.615372 # DEPENDENCYPART_ARC
(9,13),-1.3003 # DEPENDENCYPART_ARC
(9,14),-1.73108 # DEPENDENCYPART_ARC
(9,15),-1.49186 # DEPENDENCYPART_ARC
(9,16),-0.515492 # DEPENDENCYPART_ARC
(9,17),-1.87443 # DEPENDENCYPART_ARC
(9,18),-1.9428 # DEPENDENCYPART_ARC
(9,19),-2.04305 # DEPENDENCYPART_ARC
(9,20),-1.93173 # DEPENDENCYPART_ARC
(9,21),-3.23868 # DEPENDENCYPART_ARC
(9,23),-1.73964 # DEPENDENCYPART_ARC
(9,24),-2.20354 # DEPENDENCYPART_ARC
(9,25),-3.80614 # DEPENDENCYPART_ARC
(9,26),-2.19247 # DEPENDENCYPART_ARC
(9,27),-2.39093 # DEPENDENCYPART_ARC
(9,28),-1.7074 # DEPENDENCYPART_ARC
(10,4),-2.3593 # DEPENDENCYPART_ARC
(10,7),-1.80589 # DEPENDENCYPART_ARC
(10,12),-1.20511 # DEPENDENCYPART_ARC
(10,16),-1.24271 # DEPENDENCYPART_ARC
(10,22),-1.97018 # DEPENDENCYPART_ARC
(10,28),-1.96826 # DEPENDENCYPART_ARC
(11,1),0.252293 # DEPENDENCYPART_ARC
(11,2),-0.299592 # DEPENDENCYPART_ARC
(11,3),0.0429863 # DEPENDENCYPART_ARC
(11,4),-0.405023 # DEPENDENCYPART_ARC
(11,5),-0.668837 # DEPENDENCYPART_ARC
(11,6),-0.747423 # DEPENDENCYPART_ARC
(11,7),-0.684716 # DEPENDENCYPART_ARC
(11,8),-0.261826 # DEPENDENCYPART_ARC
(11,9),0.0577665 # DEPENDENCYPART_ARC
(11,10),-0.13613 # DEPENDENCYPART_ARC
(11,12),-0.977584 # DEPENDENCYPART_ARC
(11,13),1.90959 # DEPENDENCYPART_ARC
(11,14),1.05786 # DEPENDENCYPART_ARC
(11,15),0.0127833 # DEPENDENCYPART_ARC
(11,16),0.29297 # DEPENDENCYPART_ARC
(11,17),-2.09015 # DEPENDENCYPART_ARC
(11,18),-1.76204 # DEPENDENCYPART_ARC
(11,19),-0.609721 # DEPENDENCYPART_ARC
(11,20),0.181668 # DEPENDENCYPART_ARC
(11,21),-0.900021 # DEPENDENCYPART_ARC
(11,22),-2.86044 # DEPENDENCYPART_ARC
(11,23),-1.07607 # DEPENDENCYPART_ARC
(11,24),-1.06865 # DEPENDENCYPART_ARC
(11,25),-1.25702 # DEPENDENCYPART_ARC
(11,26),-1.8147 # DEPENDENCYPART_ARC
(11,27),-0.813912 # DEPENDENCYPART_ARC
(11,28),-2.2045 # DEPENDENCYPART_ARC
(12,2),-3.47636 # DEPENDENCYPART_ARC
(12,3),-2.85935 # DEPENDENCYPART_ARC
(12,5),-2.60439 # DEPENDENCYPART_ARC
(12,6),-2.168 # DEPENDENCYPART_ARC
(12,8),-2.83334 # DEPENDENCYPART_ARC
(12,10),-0.958919 # DEPENDENCYPART_ARC
(12,11),-1.23318 # DEPENDENCYPART_ARC
(12,13),0.992714 # DEPENDENCYPART_ARC
(12,14),-0.290843 # DEPENDENCYPART_ARC
(12,15),-0.528259 # DEPENDENCYPART_ARC
(12,16),-0.749393 # DEPENDENCYPART_ARC
(12,19),-1.05429 # DEPENDENCYPART_ARC
(12,20),-1.10363 # DEPENDENCYPART_ARC
(12,21),-1.45073 # DEPENDENCYPART_ARC
(12,23),-1.39688 # DEPENDENCYPART_ARC
(12,24),-0.931078 # DEPENDENCYPART_ARC
(12,25),-1.7144 # DEPENDENCYPART_ARC
(12,28),-1.47628 # DEPENDENCYPART_ARC
(13,1),-1.44278 # DEPENDENCYPART_ARC
(13,2),-2.56651 # DEPENDENCYPART_ARC
(13,3),-2.59233 # DEPENDENCYPART_ARC
(13,4),-1.38796 # DEPENDENCYPART_ARC
(13,5),-2.35768 # DEPENDENCYPART_ARC
(13,6),-0.829579 # DEPENDENCYPART_ARC
(13,7),-1.30313 # DEPENDENCYPART_ARC
(13,8),-2.38426 # DEPENDENCYPART_ARC
(13,9),-0.86053 # DEPENDENCYPART_ARC
(13,10),-1.65092 # DEPENDENCYPART_ARC
(13,11),0.512041 # DEPENDENCYPART_ARC
(13,12),3.1669 # DEPENDENCYPART_ARC
(13,14),2.45698 # DEPENDENCYPART_ARC
(13,15),1.1152 # DEPENDENCYPART_ARC
(13,16),0.737737 # DEPENDENCYPART_ARC
(13,17),-0.212787 # DEPENDENCYPART_ARC
(13,18),-1.53464 # DEPENDENCYPART_ARC
(13,19),1.74331 # DEPENDENCYPART_ARC
(13,20),-0.649889 # DEPENDENCYPART_ARC
(13,21),0.521365 # DEPENDENCYPART_ARC
(13,22),-0.643842 # DEPENDENCYPART_ARC
(13,23),-0.185238 # DEPENDENCYPART_ARC
(13,24),-0.618786 # DEPENDENCYPART_ARC
(13,25),-0.392345 # DEPENDENCYPART_ARC
(13,26),-0.994602 # DEPENDENCYPART_ARC
(13,27),-0.810321 # DEPENDENCYPART_ARC
(13,28),-2.02831 # DEPENDENCYPART_ARC
(14,1),-2.71522 # DEPENDENCYPART_ARC
(14,2),-3.54486 # DEPENDENCYPART_ARC
(14,3),-3.02704 # DEPENDENCYPART_ARC
(14,4),-1.30986 # DEPENDENCYPART_ARC
(14,5),-2.2969 # DEPENDENCYPART_ARC
(14,6),-1.60483 # DEPENDENCYPART_ARC
(14,7),-1.55873 # DEPENDENCYPART_ARC
(14,8),-2.48238 # DEPENDENCYPART_ARC
(14,9),-1.05637 # DEPENDENCYPART_ARC
(14,10),-1.49578 # DEPENDENCYPART_ARC
(14,11),-2.68631 # DEPENDENCYPART_ARC
(14,12),-0.563099 # DEPENDENCYPART_ARC
(14,13),-1.06491 # DEPENDENCYPART_ARC
(14,15),4.66176 # DEPENDENCYPART_ARC
(14,16),0.192873 # DEPENDENCYPART_ARC
(14,17),0.177105 # DEPENDENCYPART_ARC
(14,18),-0.477591 # DEPENDENCYPART_ARC
(14,19),-1.84497 # DEPENDENCYPART_ARC
(14,20),-0.852708 # DEPENDENCYPART_ARC
(14,21),-1.25777 # DEPENDENCYPART_ARC
(14,22),-2.0581 # DEPENDENCYPART_ARC
(14,23),-3.48536 # DEPENDENCYPART_ARC
(14,24),-1.62346 # DEPENDENCYPART_ARC
(14,25),-1.93425 # DEPENDENCYPART_ARC
(14,26),-1.62319 # DEPENDENCYPART_ARC
(14,27),-1.85336 # DEPENDENCYPART_ARC
(14,28),-1.59945 # DEPENDENCYPART_ARC
(15,1),-2.77247 # DEPENDENCYPART_ARC
(15,2),-4.06252 # DEPENDENCYPART_ARC
(15,3),-3.36885 # DEPENDENCYPART_ARC
(15,4),-1.79292 # DEPENDENCYPART_ARC
(15,5),-2.02867 # DEPENDENCYPART_ARC
(15,6),-1.81858 # DEPENDENCYPART_ARC
(15,7),-1.92784 # DEPENDENCYPART_ARC
(15,8),-2.43412 # DEPENDENCYPART_ARC
(15,9),-1.82741 # DEPENDENCYPART_ARC
(15,10),-2.69742 # DEPENDENCYPART_ARC
(15,11),-1.82631 # DEPENDENCYPART_ARC
(15,12),-0.08879 # DEPENDENCYPART_ARC
(15,13),-1.2754 # DEPENDENCYPART_ARC
(15,14),1.00818 # DEPENDENCYPART_ARC
(15,16),2.18323 # DEPENDENCYPART_ARC
(15,17),-0.176068 # DEPENDENCYPART_ARC
(15,18),-1.74181 # DEPENDENCYPART_ARC
(15,19),0.354168 # DEPENDENCYPART_ARC
(15,20),-1.38622 # DEPENDENCYPART_ARC
(15,21),0.185154 # DEPENDENCYPART_ARC
(15,22),-1.13686 # DEPENDENCYPART_ARC
(15,23),-1.68798 # DEPENDENCYPART_ARC
(15,24),-1.24096 # DEPENDENCYPART_ARC
(15,25),-0.643134 # DEPENDENCYPART_ARC
(15,26),-0.862535 # DEPENDENCYPART_ARC
(15,27),-1.33498 # DEPENDENCYPART_ARC
(15,28),-1.94375 # DEPENDENCYPART_ARC
(16,4),-1.67118 # DEPENDENCYPART_ARC
(16,7),-1.66214 # DEPENDENCYPART_ARC
(16,10),-1.74307 # DEPENDENCYPART_ARC
(16,12),-1.03559 # DEPENDENCYPART_ARC
(16,22),-1.72937 # DEPENDENCYPART_ARC
(16,28),-1.68482 # DEPENDENCYPART_ARC
(17,1),-1.90058 # DEPENDENCYPART_ARC
(17,2),-4.527 # DEPENDENCYPART_ARC
(17,3),-3.28944 # DEPENDENCYPART_ARC
(17,5),-2.74777 # DEPENDENCYPART_ARC
(17,6),-2.16075 # DEPENDENCYPART_ARC
(17,8),-2.94422 # DEPENDENCYPART_ARC
(17,9),-1.79891 # DEPENDENCYPART_ARC
(17,10),-1.98828 # DEPENDENCYPART_ARC
(17,11),-3.60083 # DEPENDENCYPART_ARC
(17,13),-2.41681 # DEPENDENCYPART_ARC
(17,14),-1.48813 # DEPENDENCYPART_ARC
(17,15),-1.79716 # DEPENDENCYPART_ARC
(17,16),0.0536587 # DEPENDENCYPART_ARC
(17,18),-0.398671 # DEPENDENCYPART_ARC
(17,19),-0.49682 # DEPENDENCYPART_ARC
(17,20),-1.38146 # DEPENDENCYPART_ARC
(17,21),-0.617807 # DEPENDENCYPART_ARC
(17,23),-1.66863 # DEPENDENCYPART_ARC
(17,24),-1.81104 # DEPENDENCYPART_ARC
(17,25),-1.42327 # DEPENDENCYPART_ARC
(17,26),-1.07361 # DEPENDENCYPART_ARC
(17,27),-2.33337 # DEPENDENCYPART_ARC
(17,28),-1.99306 # DEPENDENCYPART_ARC
(18,1),-0.884199 # DEPENDENCYPART_ARC
(18,2),-3.78504 # DEPENDENCYPART_ARC
(18,3),-2.84742 # DEPENDENCYPART_ARC
(18,5),-3.11016 # DEPENDENCYPART_ARC
(18,6),-1.76588 # DEPENDENCYPART_ARC
(18,8),-3.2011 # DEPENDENCYPART_ARC
(18,9),-1.55118 # DEPENDENCYPART_ARC
(18,10),-1.82663 # DEPENDENCYPART_ARC
(18,11),-3.05495 # DEPENDENCYPART_ARC
(18,13),-2.54356 # DEPENDENCYPART_ARC
(18,14),-1.8045 # DEPENDENCYPART_ARC
(18,15),-2.3413 # DEPENDENCYPART_ARC
(18,16),-0.644137 # DEPENDENCYPART_ARC
(18,17),-0.163655 # DEPENDENCYPART_ARC
(18,19),-0.725242 # DEPENDENCYPART_ARC
(18,20),-1.44879 # DEPENDENCYPART_ARC
(18,21),-1.2055 # DEPENDENCYPART_ARC
(18,23),-1.8306 # DEPENDENCYPART_ARC
(18,24),-2.00666 # DEPENDENCYPART_ARC
(18,25),-2.13771 # DEPENDENCYPART_ARC
(18,26),-1.35052 # DEPENDENCYPART_ARC
(18,27),-2.38069 # DEPENDENCYPART_ARC
(18,28),-1.71132 # DEPENDENCYPART_ARC
(19,1),-0.858084 # DEPENDENCYPART_ARC
(19,2),-1.22728 # DEPENDENCYPART_ARC
(19,3),-1.72109 # DEPENDENCYPART_ARC
(19,4),-1.10738 # DEPENDENCYPART_ARC
(19,5),-1.15747 # DEPENDENCYPART_ARC
(19,6),-0.771187 # DEPENDENCYPART_ARC
(19,7),-0.92872 # DEPENDENCYPART_ARC
(19,8),-0.63648 # DEPENDENCYPART_ARC
(19,9),-0.989293 # DEPENDENCYPART_ARC
(19,10),-2.05441 # DEPENDENCYPART_ARC
(19,11),-0.437097 # DEPENDENCYPART_ARC
(19,12),-0.948896 # DEPENDENCYPART_ARC
(19,13),0.409671 # DEPENDENCYPART_ARC
(19,14),-0.516962 # DEPENDENCYPART_ARC
(19,15),-1.02057 # DEPENDENCYPART_ARC
(19,16),-1.25124 # DEPENDENCYPART_ARC
(19,17),1.2924 # DEPENDENCYPART_ARC
(19,18),4.24352 # DEPENDENCYPART_ARC
(19,20),2.92319 # DEPENDENCYPART_ARC
(19,21),1.01264 # DEPENDENCYPART_ARC
(19,22),-1.885 # DEPENDENCYPART_ARC
(19,23),0.373887 # DEPENDENCYPART_ARC
(19,24),0.0870152 # DEPENDENCYPART_ARC
(19,25),0.134556 # DEPENDENCYPART_ARC
(19,26),-0.754413 # DEPENDENCYPART_ARC
(19,27),-0.56414 # DEPENDENCYPART_ARC
(19,28),-1.08507 # DEPENDENCYPART_ARC
(20,1),-2.21265 # DEPENDENCYPART_ARC
(20,2),-2.87979 # DEPENDENCYPART_ARC
(20,3),-2.83076 # DEPENDENCYPART_ARC
(20,4),-2.11351 # DEPENDENCYPART_ARC
(20,5),-2.43942 # DEPENDENCYPART_ARC
(20,6),-2.06025 # DEPENDENCYPART_ARC
(20,7),-1.95573 # DEPENDENCYPART_ARC
(20,8),-2.28439 # DEPENDENCYPART_ARC
(20,9),-1.45482 # DEPENDENCYPART_ARC
(20,10),-1.95003 # DEPENDENCYPART_ARC
(20,11),-2.65956 # DEPENDENCYPART_ARC
(20,12),-1.87895 # DEPENDENCYPART_ARC
(20,13),-2.13625 # DEPENDENCYPART_ARC
(20,14),-1.5015 # DEPENDENCYPART_ARC
(20,15),-1.90719 # DEPENDENCYPART_ARC
(20,16),-1.65125 # DEPENDENCYPART_ARC
(20,17),-1.29867 # DEPENDENCYPART_ARC
(20,18),-0.973104 # DEPENDENCYPART_ARC
(20,19),-0.354214 # DEPENDENCYPART_ARC
(20,21),3.46601 # DEPENDENCYPART_ARC
(20,22),0.15163 # DEPENDENCYPART_ARC
(20,23),0.436443 # DEPENDENCYPART_ARC
(20,24),0.0991891 # DEPENDENCYPART_ARC
(20,25),1.03463 # DEPENDENCYPART_ARC
(20,26),-0.291044 # DEPENDENCYPART_ARC
(20,27),-0.734595 # DEPENDENCYPART_ARC
(20,28),-0.313932 # DEPENDENCYPART_ARC
(21,1),-3.10911 # DEPENDENCYPART_ARC
(21,2),-2.18328 # DEPENDENCYPART_ARC
(21,3),-2.59285 # DEPENDENCYPART_ARC
(21,4),-1.56416 # DEPENDENCYPART_ARC
(21,5),-1.89767 # DEPENDENCYPART_ARC
(21,6),-2.25892 # DEPENDENCYPART_ARC
(21,7),-1.6599 # DEPENDENCYPART_ARC
(21,8),-1.7336 # DEPENDENCYPART_ARC
(21,9),-1.80059 # DEPENDENCYPART_ARC
(21,10),-3.37741 # DEPENDENCYPART_ARC
(21,11),-2.38858 # DEPENDENCYPART_ARC
(21,12),-1.49192 # DEPENDENCYPART_ARC
(21,13),-1.05674 # DEPENDENCYPART_ARC
(21,14),-1.42674 # DEPENDENCYPART_ARC
(21,15),-1.68109 # DEPENDENCYPART_ARC
(21,16),-3.00893 # DEPENDENCYPART_ARC
(21,17),0.103042 # DEPENDENCYPART_ARC
(21,18),0.61595 # DEPENDENCYPART_ARC
(21,19),0.727873 # DEPENDENCYPART_ARC
(21,20),1.02788 # DEPENDENCYPART_ARC
(21,22),0.562041 # DEPENDENCYPART_ARC
(21,23),2.74144 # DEPENDENCYPART_ARC
(21,24),0.701259 # DEPENDENCYPART_ARC
(21,25),0.866328 # DEPENDENCYPART_ARC
(21,26),0.370699 # DEPENDENCYPART_ARC
(21,27),-0.000200659 # DEPENDENCYPART_ARC
(21,28),-0.561972 # DEPENDENCYPART_ARC
(22,2),-3.60212 # DEPENDENCYPART_ARC
