# _root_ Il secondo è la fine di una giornata di lavoro , studio , ecc. .
#goldHeads=2,3,0,5,3,5,8,6,8,9,10,10,10,10,14,
#predictedHeads=2,3,0,5,3,5,8,6,8,9,10,8,12,12,14,
(3,14),0.187299 # DEPENDENCYPART_ARC
(3,15),-1.82178 # DEPENDENCYPART_ARC
(4,2),-1.3418 # DEPENDENCYPART_ARC
(4,3),-0.240884 # DEPENDENCYPART_ARC
(4,5),1.13184 # DEPENDENCYPART_ARC
(4,6),-0.0256688 # DEPENDENCYPART_ARC
(4,8),-0.349566 # DEPENDENCYPART_ARC
(4,9),-0.484661 # DEPENDENCYPART_ARC
(4,10),-0.961933 # DEPENDENCYPART_ARC
(4,11),-0.528743 # DEPENDENCYPART_ARC
(4,12),-1.1572 # DEPENDENCYPART_ARC
(4,13),-0.675542 # DEPENDENCYPART_ARC
(4,15),-0.789516 # DEPENDENCYPART_ARC
(5,1),-0.228524 # DEPENDENCYPART_ARC
(5,2),-2.09594 # DEPENDENCYPART_ARC
(5,3),-0.488367 # DEPENDENCYPART_ARC
(5,4),3.134 # DEPENDENCYPART_ARC
(5,6),2.33436 # DEPENDENCYPART_ARC
(5,7),0.159286 # DEPENDENCYPART_ARC
(5,8),1.22499 # DEPENDENCYPART_ARC
(5,9),1.01888 # DEPENDENCYPART_ARC
(5,10),0.68304 # DEPENDENCYPART_ARC
(5,11),0.721021 # DEPENDENCYPART_ARC
(5,12),0.562901 # DEPENDENCYPART_ARC
(5,13),0.584645 # DEPENDENCYPART_ARC
(5,14),0.543597 # DEPENDENCYPART_ARC
(5,15),-1.23509 # DEPENDENCYPART_ARC
(6,1),-1.70083 # DEPENDENCYPART_ARC
(6,2),-1.87797 # DEPENDENCYPART_ARC
(6,3),-1.9713 # DEPENDENCYPART_ARC
(6,4),-0.75082 # DEPENDENCYPART_ARC
(6,5),-0.309019 # DEPENDENCYPART_ARC
(6,7),0.717703 # DEPENDENCYPART_ARC
(6,8),3.19023 # DEPENDENCYPART_ARC
(6,9),0.442208 # DEPENDENCYPART_ARC
(6,10),1.24573 # DEPENDENCYPART_ARC
(6,11),0.0504397 # DEPENDENCYPART_ARC
(6,12),-0.342601 # DEPENDENCYPART_ARC
(6,13),0.261694 # DEPENDENCYPART_ARC
(6,14),0.0320376 # DEPENDENCYPART_ARC
(6,15),-0.550462 # DEPENDENCYPART_ARC
(7,6),-0.529265 # DEPENDENCYPART_ARC
(7,9),0.103089 # DEPENDENCYPART_ARC
(7,11),-0.312933 # DEPENDENCYPART_ARC
(7,13),-0.297711 # DEPENDENCYPART_ARC
(7,15),-0.55432 # DEPENDENCYPART_ARC
(8,1),-1.40531 # DEPENDENCYPART_ARC
(8,2),-2.92804 # DEPENDENCYPART_ARC
(8,3),-1.72785 # DEPENDENCYPART_ARC
(8,4),0.557719 # DEPENDENCYPART_ARC
(8,5),-1.50752 # DEPENDENCYPART_ARC
(8,6),0.497563 # DEPENDENCYPART_ARC
(8,7),3.31972 # DEPENDENCYPART_ARC
(8,9),2.88679 # DEPENDENCYPART_ARC
(8,10),1.38624 # DEPENDENCYPART_ARC
(8,11),1.09162 # DEPENDENCYPART_ARC
(8,12),1.06692 # DEPENDENCYPART_ARC
(8,13),0.751399 # DEPENDENCYPART_ARC
(8,14),0.918606 # DEPENDENCYPART_ARC
(8,15),-0.523906 # DEPENDENCYPART_ARC
(9,1),-1.90725 # DEPENDENCYPART_ARC
(9,2),-2.18086 # DEPENDENCYPART_ARC
(9,3),-2.51628 # DEPENDENCYPART_ARC
(9,4),-1.53362 # DEPENDENCYPART_ARC
(9,5),-1.86258 # DEPENDENCYPART_ARC
(9,6),-0.790578 # DEPENDENCYPART_ARC
(9,7),-0.624045 # DEPENDENCYPART_ARC
(9,8),-0.457645 # DEPENDENCYPART_ARC
(9,10),4.51927 # DEPENDENCYPART_ARC
(9,11),0.540446 # DEPENDENCYPART_ARC
(9,12),0.703648 # DEPENDENCYPART_ARC
(9,13),0.223756 # DEPENDENCYPART_ARC
(9,14),-0.108546 # DEPENDENCYPART_ARC
(9,15),-0.506768 # DEPENDENCYPART_ARC
(10,1),-2.2847 # DEPENDENCYPART_ARC
(10,2),-3.31302 # DEPENDENCYPART_ARC
(10,3),-3.05537 # DEPENDENCYPART_ARC
(10,4),-1.66849 # DEPENDENCYPART_ARC
(10,5),-3.14063 # DEPENDENCYPART_ARC
(10,6),-1.25933 # DEPENDENCYPART_ARC
(10,7),-0.117726 # DEPENDENCYPART_ARC
(10,8),-2.02542 # DEPENDENCYPART_ARC
(10,9),0.544947 # DEPENDENCYPART_ARC
(10,11),1.73471 # DEPENDENCYPART_ARC
(10,12),0.821074 # DEPENDENCYPART_ARC
(10,13),0.869558 # DEPENDENCYPART_ARC
(10,14),0.245798 # DEPENDENCYPART_ARC
(10,15),-0.92335 # DEPENDENCYPART_ARC
(11,1),-1.72907 # DEPENDENCYPART_ARC
(11,4),-1.5119 # DEPENDENCYPART_ARC
(11,7),-1.17804 # DEPENDENCYPART_ARC
(11,13),-0.58131 # DEPENDENCYPART_ARC
(11,15),-0.861832 # DEPENDENCYPART_ARC
(12,1),-2.47682 # DEPENDENCYPART_ARC
(12,2),-3.13345 # DEPENDENCYPART_ARC
(12,3),-2.66826 # DEPENDENCYPART_ARC
(12,4),-1.84172 # DEPENDENCYPART_ARC
(12,5),-3.28364 # DEPENDENCYPART_ARC
(12,6),-1.5903 # DEPENDENCYPART_ARC
(12,7),-0.545694 # DEPENDENCYPART_ARC
(12,8),-2.61418 # DEPENDENCYPART_ARC
(12,9),-0.566198 # DEPENDENCYPART_ARC
(12,10),-0.96311 # DEPENDENCYPART_ARC
(12,11),0.647973 # DEPENDENCYPART_ARC
(12,13),2.54413 # DEPENDENCYPART_ARC
(12,14),0.985349 # DEPENDENCYPART_ARC
(12,15),0.399102 # DEPENDENCYPART_ARC
(13,1),-1.81283 # DEPENDENCYPART_ARC
(13,4),-1.65951 # DEPENDENCYPART_ARC
(13,7),-1.57642 # DEPENDENCYPART_ARC
(13,11),-0.871126 # DEPENDENCYPART_ARC
(13,15),-0.345787 # DEPENDENCYPART_ARC
(14,1),0.459466 # DEPENDENCYPART_ARC
(14,2),-1.97399 # DEPENDENCYPART_ARC
(14,4),0.837855 # DEPENDENCYPART_ARC
(14,5),-1.79999 # DEPENDENCYPART_ARC
(14,6),-1.51152 # DEPENDENCYPART_ARC
(14,8),-1.69199 # DEPENDENCYPART_ARC
(14,9),-1.21574 # DEPENDENCYPART_ARC
(14,10),-1.40062 # DEPENDENCYPART_ARC
(14,11),-0.403159 # DEPENDENCYPART_ARC
(14,12),-0.823441 # DEPENDENCYPART_ARC
(14,13),0.882894 # DEPENDENCYPART_ARC
(14,15),2.19714 # DEPENDENCYPART_ARC
(15,1),-1.91347 # DEPENDENCYPART_ARC
(15,4),-1.80087 # DEPENDENCYPART_ARC
(15,7),-1.64329 # DEPENDENCYPART_ARC
(15,11),-1.52834 # DEPENDENCYPART_ARC
(15,13),-0.823069 # DEPENDENCYPART_ARC
