# _root_ Due giovani hanno ferito a coltellate , per fortuna in maniera non grave , un anziano barbone .
#goldHeads=2,4,4,0,4,5,6,10,8,4,10,13,11,13,17,17,4,17,
#predictedHeads=2,4,4,0,4,5,6,4,8,9,10,13,11,13,17,17,13,17,
(5,2),-1.38347 # DEPENDENCYPART_ARC
(5,3),-1.24939 # DEPENDENCYPART_ARC
(5,4),-0.370825 # DEPENDENCYPART_ARC
(5,6),4.58025 # DEPENDENCYPART_ARC
(5,7),0.863576 # DEPENDENCYPART_ARC
(5,8),-0.218063 # DEPENDENCYPART_ARC
(5,9),0.311355 # DEPENDENCYPART_ARC
(5,10),-1.14306 # DEPENDENCYPART_ARC
(5,11),-1.43524 # DEPENDENCYPART_ARC
(5,12),-1.70489 # DEPENDENCYPART_ARC
(5,13),-0.819072 # DEPENDENCYPART_ARC
(5,14),-0.605317 # DEPENDENCYPART_ARC
(5,15),-1.47593 # DEPENDENCYPART_ARC
(5,16),-1.17831 # DEPENDENCYPART_ARC
(5,17),-3.72369 # DEPENDENCYPART_ARC
(5,18),-1.54832 # DEPENDENCYPART_ARC
(6,1),-1.41988 # DEPENDENCYPART_ARC
(6,2),-1.42023 # DEPENDENCYPART_ARC
(6,3),-2.81805 # DEPENDENCYPART_ARC
(6,4),-1.38322 # DEPENDENCYPART_ARC
(6,5),0.455054 # DEPENDENCYPART_ARC
(6,7),2.23448 # DEPENDENCYPART_ARC
(6,8),0.0601016 # DEPENDENCYPART_ARC
(6,9),0.308736 # DEPENDENCYPART_ARC
(6,10),0.0332976 # DEPENDENCYPART_ARC
(6,11),0.00904066 # DEPENDENCYPART_ARC
(6,12),-1.52285 # DEPENDENCYPART_ARC
(6,13),-1.06456 # DEPENDENCYPART_ARC
(6,14),-0.145389 # DEPENDENCYPART_ARC
(6,15),-1.09829 # DEPENDENCYPART_ARC
(6,16),-2.3633 # DEPENDENCYPART_ARC
(6,17),-0.89729 # DEPENDENCYPART_ARC
(6,18),-1.35795 # DEPENDENCYPART_ARC
(7,14),-0.815608 # DEPENDENCYPART_ARC
(7,15),-1.27989 # DEPENDENCYPART_ARC
(7,18),-1.07196 # DEPENDENCYPART_ARC
(8,1),-1.89696 # DEPENDENCYPART_ARC
(8,2),-2.06294 # DEPENDENCYPART_ARC
(8,3),-2.34667 # DEPENDENCYPART_ARC
(8,4),-2.2053 # DEPENDENCYPART_ARC
(8,5),-0.420839 # DEPENDENCYPART_ARC
(8,6),-1.10015 # DEPENDENCYPART_ARC
(8,7),0.0855302 # DEPENDENCYPART_ARC
(8,9),3.72547 # DEPENDENCYPART_ARC
(8,10),-0.546008 # DEPENDENCYPART_ARC
(8,11),0.506377 # DEPENDENCYPART_ARC
(8,12),-1.42025 # DEPENDENCYPART_ARC
(8,13),-0.469643 # DEPENDENCYPART_ARC
(8,14),-0.103908 # DEPENDENCYPART_ARC
(8,15),-1.38001 # DEPENDENCYPART_ARC
(8,16),-0.947662 # DEPENDENCYPART_ARC
(8,17),-1.71064 # DEPENDENCYPART_ARC
(8,18),-0.79361 # DEPENDENCYPART_ARC
(9,1),-2.48752 # DEPENDENCYPART_ARC
(9,2),-3.49466 # DEPENDENCYPART_ARC
(9,3),-3.40453 # DEPENDENCYPART_ARC
(9,4),-2.63656 # DEPENDENCYPART_ARC
(9,5),-1.61851 # DEPENDENCYPART_ARC
(9,6),-2.25703 # DEPENDENCYPART_ARC
(9,7),-1.94709 # DEPENDENCYPART_ARC
(9,8),0.453682 # DEPENDENCYPART_ARC
(9,10),1.74204 # DEPENDENCYPART_ARC
(9,11),0.839358 # DEPENDENCYPART_ARC
(9,12),-0.857834 # DEPENDENCYPART_ARC
(9,13),0.675929 # DEPENDENCYPART_ARC
(9,14),0.0832741 # DEPENDENCYPART_ARC
(9,15),-0.804834 # DEPENDENCYPART_ARC
(9,16),-1.05484 # DEPENDENCYPART_ARC
(9,17),-0.582153 # DEPENDENCYPART_ARC
(9,18),-0.949603 # DEPENDENCYPART_ARC
(10,1),-1.9792 # DEPENDENCYPART_ARC
(10,2),-2.15767 # DEPENDENCYPART_ARC
(10,3),-2.50627 # DEPENDENCYPART_ARC
(10,4),-2.46502 # DEPENDENCYPART_ARC
(10,5),-1.06193 # DEPENDENCYPART_ARC
(10,6),-1.66885 # DEPENDENCYPART_ARC
(10,7),-1.05738 # DEPENDENCYPART_ARC
(10,8),-0.394346 # DEPENDENCYPART_ARC
(10,9),-0.31316 # DEPENDENCYPART_ARC
(10,11),3.50449 # DEPENDENCYPART_ARC
(10,12),-0.712064 # DEPENDENCYPART_ARC
(10,13),-0.490735 # DEPENDENCYPART_ARC
(10,14),-0.726619 # DEPENDENCYPART_ARC
(10,15),-1.68774 # DEPENDENCYPART_ARC
(10,16),-1.11538 # DEPENDENCYPART_ARC
(10,17),-0.872911 # DEPENDENCYPART_ARC
(10,18),-1.07779 # DEPENDENCYPART_ARC
(11,1),-2.39695 # DEPENDENCYPART_ARC
(11,2),-3.27979 # DEPENDENCYPART_ARC
(11,3),-2.98372 # DEPENDENCYPART_ARC
(11,4),-2.35456 # DEPENDENCYPART_ARC
(11,5),-2.04192 # DEPENDENCYPART_ARC
(11,6),-2.44572 # DEPENDENCYPART_ARC
(11,7),-2.61406 # DEPENDENCYPART_ARC
(11,8),-0.639085 # DEPENDENCYPART_ARC
(11,9),-1.39785 # DEPENDENCYPART_ARC
(11,10),0.583546 # DEPENDENCYPART_ARC
(11,12),-0.0875021 # DEPENDENCYPART_ARC
(11,13),1.65476 # DEPENDENCYPART_ARC
(11,14),0.0406541 # DEPENDENCYPART_ARC
(11,15),-0.94158 # DEPENDENCYPART_ARC
(11,16),-0.660899 # DEPENDENCYPART_ARC
(11,17),-0.67535 # DEPENDENCYPART_ARC
(11,18),-0.530252 # DEPENDENCYPART_ARC
(12,1),-2.19698 # DEPENDENCYPART_ARC
(12,2),-2.77579 # DEPENDENCYPART_ARC
(12,3),-2.91468 # DEPENDENCYPART_ARC
(12,4),-2.87389 # DEPENDENCYPART_ARC
(12,5),-1.65348 # DEPENDENCYPART_ARC
(12,6),-2.55296 # DEPENDENCYPART_ARC
(12,7),-1.80369 # DEPENDENCYPART_ARC
(12,8),-1.13564 # DEPENDENCYPART_ARC
(12,9),-1.85503 # DEPENDENCYPART_ARC
(12,10),-0.588262 # DEPENDENCYPART_ARC
(12,11),-0.732072 # DEPENDENCYPART_ARC
(12,13),-0.474999 # DEPENDENCYPART_ARC
(12,14),-0.48501 # DEPENDENCYPART_ARC
(12,15),-1.36752 # DEPENDENCYPART_ARC
(12,16),-1.54352 # DEPENDENCYPART_ARC
(12,17),-1.4775 # DEPENDENCYPART_ARC
(12,18),-1.48161 # DEPENDENCYPART_ARC
(13,1),-0.804909 # DEPENDENCYPART_ARC
(13,2),-1.99412 # DEPENDENCYPART_ARC
(13,3),-2.92279 # DEPENDENCYPART_ARC
(13,4),-3.11111 # DEPENDENCYPART_ARC
(13,5),-0.221895 # DEPENDENCYPART_ARC
(13,6),-1.93266 # DEPENDENCYPART_ARC
(13,7),-0.842113 # DEPENDENCYPART_ARC
(13,8),0.130692 # DEPENDENCYPART_ARC
(13,9),-1.13557 # DEPENDENCYPART_ARC
(13,10),0.877511 # DEPENDENCYPART_ARC
(13,11),-0.441246 # DEPENDENCYPART_ARC
(13,12),3.07439 # DEPENDENCYPART_ARC
(13,14),1.79985 # DEPENDENCYPART_ARC
(13,15),-0.55986 # DEPENDENCYPART_ARC
(13,16),0.873621 # DEPENDENCYPART_ARC
(13,17),-0.160604 # DEPENDENCYPART_ARC
(13,18),-0.140709 # DEPENDENCYPART_ARC
(14,7),-1.52186 # DEPENDENCYPART_ARC
(14,15),0.0873299 # DEPENDENCYPART_ARC
(14,18),-0.499824 # DEPENDENCYPART_ARC
(15,5),-2.17271 # DEPENDENCYPART_ARC
(15,7),-1.80573 # DEPENDENCYPART_ARC
(15,8),-1.93409 # DEPENDENCYPART_ARC
(15,10),-1.67331 # DEPENDENCYPART_ARC
(15,14),0.381021 # DEPENDENCYPART_ARC
(15,18),0.141995 # DEPENDENCYPART_ARC
(16,1),-1.37753 # DEPENDENCYPART_ARC
(16,2),-2.35881 # DEPENDENCYPART_ARC
(16,3),-2.38564 # DEPENDENCYPART_ARC
(16,4),-3.14896 # DEPENDENCYPART_ARC
(16,5),-1.13317 # DEPENDENCYPART_ARC
(16,6),-2.44243 # DEPENDENCYPART_ARC
(16,7),-1.45642 # DEPENDENCYPART_ARC
(16,8),-0.983369 # DEPENDENCYPART_ARC
(16,9),-2.15572 # DEPENDENCYPART_ARC
(16,10),-0.600103 # DEPENDENCYPART_ARC
(16,11),-1.8652 # DEPENDENCYPART_ARC
(16,12),-0.0778861 # DEPENDENCYPART_ARC
(16,13),-0.69581 # DEPENDENCYPART_ARC
(16,14),-0.187104 # DEPENDENCYPART_ARC
(16,15),1.39571 # DEPENDENCYPART_ARC
(16,17),1.24321 # DEPENDENCYPART_ARC
(16,18),0.0920462 # DEPENDENCYPART_ARC
(17,1),-1.6949 # DEPENDENCYPART_ARC
(17,2),-2.06831 # DEPENDENCYPART_ARC
(17,3),-2.51339 # DEPENDENCYPART_ARC
(17,4),-1.6208 # DEPENDENCYPART_ARC
(17,5),-1.19647 # DEPENDENCYPART_ARC
(17,6),-2.19853 # DEPENDENCYPART_ARC
(17,7),-2.37173 # DEPENDENCYPART_ARC
(17,8),-0.493537 # DEPENDENCYPART_ARC
(17,9),-1.93807 # DEPENDENCYPART_ARC
(17,10),-0.782344 # DEPENDENCYPART_ARC
(17,11),-1.60944 # DEPENDENCYPART_ARC
(17,12),-0.115642 # DEPENDENCYPART_ARC
(17,13),0.330842 # DEPENDENCYPART_ARC
(17,14),-1.25183 # DEPENDENCYPART_ARC
(17,15),2.93824 # DEPENDENCYPART_ARC
(17,16),3.67091 # DEPENDENCYPART_ARC
(17,18),2.73846 # DEPENDENCYPART_ARC
(18,7),-1.90512 # DEPENDENCYPART_ARC
(18,14),-1.4482 # DEPENDENCYPART_ARC
(18,15),-0.853272 # DEPENDENCYPART_ARC
