# _root_ Lo volle Carlo III di Borbone per la sua Reggia di Caserta e noi , turisti casuali capitati in un giorno qualsiasi , lo ritroviamo intatto e immenso qual era : con i prati rasati di fresco e le peschiere ben pulite .
#goldHeads=2,0,2,3,3,5,2,10,10,7,10,11,2,25,14,14,16,16,18,21,19,21,22,25,2,25,26,26,30,25,30,25,34,32,34,35,36,37,40,37,42,40,42,
#predictedHeads=2,0,4,2,4,5,2,10,10,7,10,11,10,4,14,14,16,16,18,21,19,21,22,25,18,25,26,26,30,25,30,30,34,32,34,35,36,35,40,35,42,40,42,
(2,13),0.878226 # DEPENDENCYPART_ARC
(2,14),-1.21031 # DEPENDENCYPART_ARC
(2,15),-0.41785 # DEPENDENCYPART_ARC
(2,16),-1.6099 # DEPENDENCYPART_ARC
(2,17),-1.87236 # DEPENDENCYPART_ARC
(2,18),-0.739574 # DEPENDENCYPART_ARC
(2,19),-0.567886 # DEPENDENCYPART_ARC
(2,20),-2.51991 # DEPENDENCYPART_ARC
(2,21),-2.27724 # DEPENDENCYPART_ARC
(2,22),-1.36709 # DEPENDENCYPART_ARC
(2,23),-0.694833 # DEPENDENCYPART_ARC
(2,24),-1.99198 # DEPENDENCYPART_ARC
(2,25),-0.563889 # DEPENDENCYPART_ARC
(2,26),-3.00589 # DEPENDENCYPART_ARC
(2,27),-0.609836 # DEPENDENCYPART_ARC
(2,28),-3.0256 # DEPENDENCYPART_ARC
(2,29),-2.15706 # DEPENDENCYPART_ARC
(2,30),-2.14763 # DEPENDENCYPART_ARC
(2,31),-4.01885 # DEPENDENCYPART_ARC
(2,32),-2.15157 # DEPENDENCYPART_ARC
(2,33),-3.09575 # DEPENDENCYPART_ARC
(2,34),-4.53294 # DEPENDENCYPART_ARC
(2,35),-2.1135 # DEPENDENCYPART_ARC
(2,36),-4.22417 # DEPENDENCYPART_ARC
(2,37),-4.23675 # DEPENDENCYPART_ARC
(2,38),-0.801382 # DEPENDENCYPART_ARC
(2,39),-3.09301 # DEPENDENCYPART_ARC
(2,40),-4.98211 # DEPENDENCYPART_ARC
(2,41),-2.51232 # DEPENDENCYPART_ARC
(2,42),-1.74064 # DEPENDENCYPART_ARC
(2,43),-5.69245 # DEPENDENCYPART_ARC
(3,2),-0.153788 # DEPENDENCYPART_ARC
(3,4),1.75474 # DEPENDENCYPART_ARC
(3,5),0.791171 # DEPENDENCYPART_ARC
(3,6),0.605898 # DEPENDENCYPART_ARC
(3,7),0.198674 # DEPENDENCYPART_ARC
(3,8),-0.280268 # DEPENDENCYPART_ARC
(3,9),-0.787678 # DEPENDENCYPART_ARC
(3,10),-0.349044 # DEPENDENCYPART_ARC
(3,11),-0.5486 # DEPENDENCYPART_ARC
(3,12),-0.405407 # DEPENDENCYPART_ARC
(3,13),-0.0387292 # DEPENDENCYPART_ARC
(3,14),-0.308999 # DEPENDENCYPART_ARC
(3,15),-0.195685 # DEPENDENCYPART_ARC
(3,16),-0.452071 # DEPENDENCYPART_ARC
(3,17),-0.648781 # DEPENDENCYPART_ARC
(3,18),0.439897 # DEPENDENCYPART_ARC
(3,19),-1.58596 # DEPENDENCYPART_ARC
(3,20),-1.14152 # DEPENDENCYPART_ARC
(3,21),-2.15406 # DEPENDENCYPART_ARC
(3,22),-0.991052 # DEPENDENCYPART_ARC
(3,23),-1.17271 # DEPENDENCYPART_ARC
(3,25),-1.30739 # DEPENDENCYPART_ARC
(3,26),-2.40137 # DEPENDENCYPART_ARC
(3,27),-1.58212 # DEPENDENCYPART_ARC
(3,28),-2.87866 # DEPENDENCYPART_ARC
(3,30),-1.39045 # DEPENDENCYPART_ARC
(3,31),-5.83993 # DEPENDENCYPART_ARC
(3,32),-2.64757 # DEPENDENCYPART_ARC
(3,33),-1.77591 # DEPENDENCYPART_ARC
(3,34),-3.42607 # DEPENDENCYPART_ARC
(3,35),-1.82885 # DEPENDENCYPART_ARC
(3,36),-5.77212 # DEPENDENCYPART_ARC
(3,37),-3.99581 # DEPENDENCYPART_ARC
(3,38),-2.75086 # DEPENDENCYPART_ARC
(3,39),-1.95355 # DEPENDENCYPART_ARC
(3,40),-3.82922 # DEPENDENCYPART_ARC
(3,41),-3.08704 # DEPENDENCYPART_ARC
(3,42),-2.23083 # DEPENDENCYPART_ARC
(3,43),-6.785 # DEPENDENCYPART_ARC
(4,2),-0.587696 # DEPENDENCYPART_ARC
(4,3),3.3495 # DEPENDENCYPART_ARC
(4,5),1.7247 # DEPENDENCYPART_ARC
(4,6),1.45878 # DEPENDENCYPART_ARC
(4,7),0.517795 # DEPENDENCYPART_ARC
(4,8),0.157481 # DEPENDENCYPART_ARC
(4,9),-0.434427 # DEPENDENCYPART_ARC
(4,10),0.30034 # DEPENDENCYPART_ARC
(4,11),-0.0960843 # DEPENDENCYPART_ARC
(4,12),0.227461 # DEPENDENCYPART_ARC
(4,13),0.180081 # DEPENDENCYPART_ARC
(4,14),0.175077 # DEPENDENCYPART_ARC
(4,15),0.217113 # DEPENDENCYPART_ARC
(4,16),-0.128431 # DEPENDENCYPART_ARC
(4,17),-0.684473 # DEPENDENCYPART_ARC
(4,18),0.9312 # DEPENDENCYPART_ARC
(4,19),-1.05708 # DEPENDENCYPART_ARC
(4,20),-0.72109 # DEPENDENCYPART_ARC
(4,21),-1.48637 # DEPENDENCYPART_ARC
(4,22),-0.567648 # DEPENDENCYPART_ARC
(4,23),-0.784188 # DEPENDENCYPART_ARC
(4,25),-0.991346 # DEPENDENCYPART_ARC
(4,26),-2.34065 # DEPENDENCYPART_ARC
(4,27),-1.12265 # DEPENDENCYPART_ARC
(4,28),-2.77222 # DEPENDENCYPART_ARC
(4,30),-0.932028 # DEPENDENCYPART_ARC
(4,31),-5.12052 # DEPENDENCYPART_ARC
(4,32),-2.00276 # DEPENDENCYPART_ARC
(4,33),-1.41777 # DEPENDENCYPART_ARC
(4,34),-2.56155 # DEPENDENCYPART_ARC
(4,35),-1.27614 # DEPENDENCYPART_ARC
(4,36),-4.51789 # DEPENDENCYPART_ARC
(4,37),-4.0476 # DEPENDENCYPART_ARC
(4,38),-2.30244 # DEPENDENCYPART_ARC
(4,39),-1.56606 # DEPENDENCYPART_ARC
(4,40),-3.37229 # DEPENDENCYPART_ARC
(4,41),-2.68766 # DEPENDENCYPART_ARC
(4,42),-1.74848 # DEPENDENCYPART_ARC
(4,43),-6.11445 # DEPENDENCYPART_ARC
(5,1),-1.60725 # DEPENDENCYPART_ARC
(5,2),-1.74246 # DEPENDENCYPART_ARC
(5,3),-1.02683 # DEPENDENCYPART_ARC
(5,4),-0.220301 # DEPENDENCYPART_ARC
(5,6),4.04274 # DEPENDENCYPART_ARC
(5,7),-0.431315 # DEPENDENCYPART_ARC
(5,8),-0.950622 # DEPENDENCYPART_ARC
(5,9),-0.411785 # DEPENDENCYPART_ARC
(5,10),-0.44345 # DEPENDENCYPART_ARC
(5,11),-0.223864 # DEPENDENCYPART_ARC
(5,12),-1.13759 # DEPENDENCYPART_ARC
(5,13),-0.0717039 # DEPENDENCYPART_ARC
(5,14),-1.30742 # DEPENDENCYPART_ARC
(5,15),-0.525732 # DEPENDENCYPART_ARC
(5,16),-3.09987 # DEPENDENCYPART_ARC
(5,17),-0.987419 # DEPENDENCYPART_ARC
(5,18),-2.10989 # DEPENDENCYPART_ARC
(5,19),-2.45724 # DEPENDENCYPART_ARC
(5,20),-2.00216 # DEPENDENCYPART_ARC
(5,21),-5.80629 # DEPENDENCYPART_ARC
(5,22),-1.4142 # DEPENDENCYPART_ARC
(5,23),-1.58347 # DEPENDENCYPART_ARC
(5,24),-2.99574 # DEPENDENCYPART_ARC
(5,25),-3.23381 # DEPENDENCYPART_ARC
(5,26),-1.93417 # DEPENDENCYPART_ARC
(5,27),-1.3284 # DEPENDENCYPART_ARC
(5,28),-1.77266 # DEPENDENCYPART_ARC
(5,29),-3.41723 # DEPENDENCYPART_ARC
(5,30),-4.17671 # DEPENDENCYPART_ARC
(5,31),-2.6018 # DEPENDENCYPART_ARC
(5,32),-3.66831 # DEPENDENCYPART_ARC
(5,33),-2.48426 # DEPENDENCYPART_ARC
(5,34),-9.06064 # DEPENDENCYPART_ARC
(5,35),-4.92816 # DEPENDENCYPART_ARC
(5,36),-2.83066 # DEPENDENCYPART_ARC
(5,37),-2.40205 # DEPENDENCYPART_ARC
(5,38),-2.26108 # DEPENDENCYPART_ARC
(5,39),-2.49158 # DEPENDENCYPART_ARC
(5,40),-11.3943 # DEPENDENCYPART_ARC
(5,41),-3.43005 # DEPENDENCYPART_ARC
(5,42),-5.2956 # DEPENDENCYPART_ARC
(5,43),-4.25239 # DEPENDENCYPART_ARC
(6,2),-3.19729 # DEPENDENCYPART_ARC
(6,3),-0.103804 # DEPENDENCYPART_ARC
(6,4),-0.228584 # DEPENDENCYPART_ARC
(6,5),0.48966 # DEPENDENCYPART_ARC
(6,7),0.901815 # DEPENDENCYPART_ARC
(6,8),-0.228778 # DEPENDENCYPART_ARC
(6,9),-0.485376 # DEPENDENCYPART_ARC
(6,10),-0.375745 # DEPENDENCYPART_ARC
(6,11),0.234221 # DEPENDENCYPART_ARC
(6,12),-0.460075 # DEPENDENCYPART_ARC
(6,13),-0.357594 # DEPENDENCYPART_ARC
(6,14),-0.494018 # DEPENDENCYPART_ARC
(6,15),-0.206609 # DEPENDENCYPART_ARC
(6,16),-0.624274 # DEPENDENCYPART_ARC
(6,17),-0.78729 # DEPENDENCYPART_ARC
(6,18),0.419694 # DEPENDENCYPART_ARC
(6,19),-1.34412 # DEPENDENCYPART_ARC
(6,20),-1.26308 # DEPENDENCYPART_ARC
(6,21),-2.40618 # DEPENDENCYPART_ARC
(6,22),-1.01374 # DEPENDENCYPART_ARC
(6,23),-1.26204 # DEPENDENCYPART_ARC
(6,25),-1.51319 # DEPENDENCYPART_ARC
(6,26),-2.53428 # DEPENDENCYPART_ARC
(6,27),-1.66647 # DEPENDENCYPART_ARC
(6,28),-2.93137 # DEPENDENCYPART_ARC
(6,30),-1.61538 # DEPENDENCYPART_ARC
(6,31),-5.20355 # DEPENDENCYPART_ARC
(6,32),-2.42784 # DEPENDENCYPART_ARC
(6,33),-1.99589 # DEPENDENCYPART_ARC
(6,34),-3.54348 # DEPENDENCYPART_ARC
(6,35),-1.47852 # DEPENDENCYPART_ARC
(6,36),-4.29665 # DEPENDENCYPART_ARC
(6,37),-4.35192 # DEPENDENCYPART_ARC
(6,38),-2.92926 # DEPENDENCYPART_ARC
(6,39),-2.10488 # DEPENDENCYPART_ARC
(6,40),-4.24921 # DEPENDENCYPART_ARC
(6,41),-3.23813 # DEPENDENCYPART_ARC
(6,42),-2.13236 # DEPENDENCYPART_ARC
(6,43),-6.32453 # DEPENDENCYPART_ARC
(7,1),-1.56503 # DEPENDENCYPART_ARC
(7,2),-1.92746 # DEPENDENCYPART_ARC
(7,3),-1.35373 # DEPENDENCYPART_ARC
(7,4),-1.00534 # DEPENDENCYPART_ARC
(7,5),0.0172243 # DEPENDENCYPART_ARC
(7,6),0.195555 # DEPENDENCYPART_ARC
(7,8),0.744102 # DEPENDENCYPART_ARC
(7,9),1.09308 # DEPENDENCYPART_ARC
(7,10),2.29516 # DEPENDENCYPART_ARC
(7,11),-0.0176376 # DEPENDENCYPART_ARC
(7,12),1.04212 # DEPENDENCYPART_ARC
(7,13),0.704675 # DEPENDENCYPART_ARC
(7,14),0.0297383 # DEPENDENCYPART_ARC
(7,15),0.0895263 # DEPENDENCYPART_ARC
(7,16),-0.903177 # DEPENDENCYPART_ARC
(7,17),-0.0304435 # DEPENDENCYPART_ARC
(7,18),-0.87448 # DEPENDENCYPART_ARC
(7,19),-1.14159 # DEPENDENCYPART_ARC
(7,20),-1.27995 # DEPENDENCYPART_ARC
(7,21),-3.3452 # DEPENDENCYPART_ARC
(7,22),-0.774569 # DEPENDENCYPART_ARC
(7,23),-0.38241 # DEPENDENCYPART_ARC
(7,24),-1.48737 # DEPENDENCYPART_ARC
(7,25),-1.92382 # DEPENDENCYPART_ARC
(7,26),-1.011 # DEPENDENCYPART_ARC
(7,27),-0.578242 # DEPENDENCYPART_ARC
(7,28),-1.02777 # DEPENDENCYPART_ARC
(7,29),-1.87502 # DEPENDENCYPART_ARC
(7,30),-2.67464 # DEPENDENCYPART_ARC
(7,31),-1.72793 # DEPENDENCYPART_ARC
(7,32),-2.08943 # DEPENDENCYPART_ARC
(7,33),-1.76746 # DEPENDENCYPART_ARC
(7,34),-6.51315 # DEPENDENCYPART_ARC
(7,35),-3.58117 # DEPENDENCYPART_ARC
(7,36),-2.06201 # DEPENDENCYPART_ARC
(7,37),-1.26551 # DEPENDENCYPART_ARC
(7,38),-1.77368 # DEPENDENCYPART_ARC
(7,39),-1.87491 # DEPENDENCYPART_ARC
(7,40),-8.71047 # DEPENDENCYPART_ARC
(7,41),-2.41034 # DEPENDENCYPART_ARC
(7,42),-3.7782 # DEPENDENCYPART_ARC
(7,43),-2.72639 # DEPENDENCYPART_ARC
(8,2),-3.61664 # DEPENDENCYPART_ARC
(8,5),-2.07791 # DEPENDENCYPART_ARC
(8,7),-0.750357 # DEPENDENCYPART_ARC
(8,10),0.356131 # DEPENDENCYPART_ARC
(8,11),-0.159275 # DEPENDENCYPART_ARC
(8,15),-0.289578 # DEPENDENCYPART_ARC
(8,16),-1.17507 # DEPENDENCYPART_ARC
(8,18),-1.39558 # DEPENDENCYPART_ARC
(8,19),-1.1703 # DEPENDENCYPART_ARC
(8,21),-1.34117 # DEPENDENCYPART_ARC
(8,23),-0.908025 # DEPENDENCYPART_ARC
(8,25),-1.50959 # DEPENDENCYPART_ARC
(8,30),-1.18844 # DEPENDENCYPART_ARC
(8,31),-1.36683 # DEPENDENCYPART_ARC
(8,32),-2.11604 # DEPENDENCYPART_ARC
(8,34),-1.91531 # DEPENDENCYPART_ARC
(8,35),-2.17659 # DEPENDENCYPART_ARC
(8,36),-1.96726 # DEPENDENCYPART_ARC
(8,40),-1.91505 # DEPENDENCYPART_ARC
(8,42),-1.72429 # DEPENDENCYPART_ARC
(8,43),-2.01727 # DEPENDENCYPART_ARC
(9,2),-2.76309 # DEPENDENCYPART_ARC
(9,8),0.848458 # DEPENDENCYPART_ARC
(9,13),-0.141236 # DEPENDENCYPART_ARC
(9,15),-0.594693 # DEPENDENCYPART_ARC
(9,18),-1.16071 # DEPENDENCYPART_ARC
(9,23),-1.4947 # DEPENDENCYPART_ARC
(9,25),-2.22938 # DEPENDENCYPART_ARC
(9,27),-0.444808 # DEPENDENCYPART_ARC
(9,30),-2.24966 # DEPENDENCYPART_ARC
(9,31),-2.63264 # DEPENDENCYPART_ARC
(9,33),-2.2644 # DEPENDENCYPART_ARC
(9,35),-2.34404 # DEPENDENCYPART_ARC
(9,38),-1.31662 # DEPENDENCYPART_ARC
(9,39),-1.98057 # DEPENDENCYPART_ARC
(9,42),-1.84348 # DEPENDENCYPART_ARC
(9,43),-4.13435 # DEPENDENCYPART_ARC
(10,1),-1.41568 # DEPENDENCYPART_ARC
(10,2),-1.67863 # DEPENDENCYPART_ARC
(10,3),-1.37418 # DEPENDENCYPART_ARC
(10,4),-1.99607 # DEPENDENCYPART_ARC
(10,5),-0.179775 # DEPENDENCYPART_ARC
(10,6),-0.935519 # DEPENDENCYPART_ARC
(10,7),0.570502 # DEPENDENCYPART_ARC
(10,8),2.98925 # DEPENDENCYPART_ARC
(10,9),4.18193 # DEPENDENCYPART_ARC
(10,11),2.64003 # DEPENDENCYPART_ARC
(10,12),1.21144 # DEPENDENCYPART_ARC
(10,13),0.923202 # DEPENDENCYPART_ARC
(10,14),-0.354133 # DEPENDENCYPART_ARC
(10,15),0.754204 # DEPENDENCYPART_ARC
(10,16),0.406203 # DEPENDENCYPART_ARC
(10,17),0.0187422 # DEPENDENCYPART_ARC
(10,18),0.577936 # DEPENDENCYPART_ARC
(10,19),-0.432549 # DEPENDENCYPART_ARC
(10,20),-0.750713 # DEPENDENCYPART_ARC
(10,21),-0.955192 # DEPENDENCYPART_ARC
(10,22),-0.196678 # DEPENDENCYPART_ARC
(10,23),-0.261158 # DEPENDENCYPART_ARC
(10,24),-0.651006 # DEPENDENCYPART_ARC
(10,25),-1.03885 # DEPENDENCYPART_ARC
(10,26),-1.87393 # DEPENDENCYPART_ARC
(10,27),-0.260385 # DEPENDENCYPART_ARC
(10,28),-2.25084 # DEPENDENCYPART_ARC
(10,29),-0.930967 # DEPENDENCYPART_ARC
(10,30),-0.28287 # DEPENDENCYPART_ARC
(10,31),-3.56358 # DEPENDENCYPART_ARC
(10,32),-1.44402 # DEPENDENCYPART_ARC
(10,33),-1.49514 # DEPENDENCYPART_ARC
(10,34),-2.51482 # DEPENDENCYPART_ARC
(10,35),-1.63298 # DEPENDENCYPART_ARC
(10,36),-3.19181 # DEPENDENCYPART_ARC
(10,37),-3.59359 # DEPENDENCYPART_ARC
(10,38),-1.43671 # DEPENDENCYPART_ARC
(10,39),-1.34939 # DEPENDENCYPART_ARC
(10,40),-2.5762 # DEPENDENCYPART_ARC
(10,41),-2.13045 # DEPENDENCYPART_ARC
(10,42),-1.60509 # DEPENDENCYPART_ARC
(10,43),-4.85783 # DEPENDENCYPART_ARC
(11,1),-2.36153 # DEPENDENCYPART_ARC
(11,2),-2.8078 # DEPENDENCYPART_ARC
(11,3),-2.32836 # DEPENDENCYPART_ARC
(11,4),-2.32249 # DEPENDENCYPART_ARC
(11,5),-1.6732 # DEPENDENCYPART_ARC
(11,6),-2.12022 # DEPENDENCYPART_ARC
(11,7),-1.3647 # DEPENDENCYPART_ARC
(11,8),-1.23453 # DEPENDENCYPART_ARC
(11,9),-1.41227 # DEPENDENCYPART_ARC
(11,10),-0.623203 # DEPENDENCYPART_ARC
(11,12),3.85651 # DEPENDENCYPART_ARC
(11,13),0.296995 # DEPENDENCYPART_ARC
(11,14),-0.439029 # DEPENDENCYPART_ARC
(11,15),-0.262527 # DEPENDENCYPART_ARC
(11,16),-0.392296 # DEPENDENCYPART_ARC
(11,17),-0.761425 # DEPENDENCYPART_ARC
(11,18),-1.2596 # DEPENDENCYPART_ARC
(11,19),-1.89638 # DEPENDENCYPART_ARC
(11,20),-1.81911 # DEPENDENCYPART_ARC
(11,21),-3.36017 # DEPENDENCYPART_ARC
(11,22),-1.38783 # DEPENDENCYPART_ARC
(11,23),-1.20687 # DEPENDENCYPART_ARC
(11,24),-2.39147 # DEPENDENCYPART_ARC
(11,25),-2.54969 # DEPENDENCYPART_ARC
(11,26),-1.79515 # DEPENDENCYPART_ARC
(11,27),-1.14928 # DEPENDENCYPART_ARC
(11,28),-1.67197 # DEPENDENCYPART_ARC
(11,29),-2.64436 # DEPENDENCYPART_ARC
(11,30),-3.5219 # DEPENDENCYPART_ARC
(11,31),-1.89447 # DEPENDENCYPART_ARC
(11,32),-3.37659 # DEPENDENCYPART_ARC
(11,33),-2.41085 # DEPENDENCYPART_ARC
(11,34),-6.65313 # DEPENDENCYPART_ARC
(11,35),-4.47675 # DEPENDENCYPART_ARC
(11,36),-2.36561 # DEPENDENCYPART_ARC
(11,37),-2.10273 # DEPENDENCYPART_ARC
(11,38),-2.11167 # DEPENDENCYPART_ARC
(11,39),-2.36883 # DEPENDENCYPART_ARC
(11,40),-8.83379 # DEPENDENCYPART_ARC
(11,41),-3.04629 # DEPENDENCYPART_ARC
(11,42),-4.7702 # DEPENDENCYPART_ARC
(11,43),-3.92439 # DEPENDENCYPART_ARC
(12,2),-3.649 # DEPENDENCYPART_ARC
(12,3),-1.06468 # DEPENDENCYPART_ARC
(12,4),-1.72886 # DEPENDENCYPART_ARC
(12,5),-2.02106 # DEPENDENCYPART_ARC
(12,6),-1.15104 # DEPENDENCYPART_ARC
(12,7),-1.16565 # DEPENDENCYPART_ARC
(12,8),-0.198351 # DEPENDENCYPART_ARC
(12,9),-0.488893 # DEPENDENCYPART_ARC
(12,10),-2.46818 # DEPENDENCYPART_ARC
(12,11),0.476083 # DEPENDENCYPART_ARC
(12,13),0.269985 # DEPENDENCYPART_ARC
(12,14),-0.029303 # DEPENDENCYPART_ARC
(12,15),-0.191665 # DEPENDENCYPART_ARC
(12,16),-0.163872 # DEPENDENCYPART_ARC
(12,17),-0.0517239 # DEPENDENCYPART_ARC
(12,18),0.375482 # DEPENDENCYPART_ARC
(12,19),-1.28855 # DEPENDENCYPART_ARC
(12,20),-1.33749 # DEPENDENCYPART_ARC
(12,21),-1.6525 # DEPENDENCYPART_ARC
(12,22),-0.853693 # DEPENDENCYPART_ARC
(12,23),-1.16274 # DEPENDENCYPART_ARC
(12,25),-1.58814 # DEPENDENCYPART_ARC
(12,26),-2.09351 # DEPENDENCYPART_ARC
(12,27),-1.303 # DEPENDENCYPART_ARC
(12,28),-2.3863 # DEPENDENCYPART_ARC
(12,30),-1.87137 # DEPENDENCYPART_ARC
(12,31),-3.87988 # DEPENDENCYPART_ARC
(12,32),-2.23601 # DEPENDENCYPART_ARC
(12,33),-2.10085 # DEPENDENCYPART_ARC
(12,34),-2.9476 # DEPENDENCYPART_ARC
(12,35),-1.78157 # DEPENDENCYPART_ARC
(12,36),-3.86105 # DEPENDENCYPART_ARC
(12,37),-3.6987 # DEPENDENCYPART_ARC
(12,38),-2.62907 # DEPENDENCYPART_ARC
(12,39),-2.00188 # DEPENDENCYPART_ARC
(12,40),-3.70084 # DEPENDENCYPART_ARC
(12,41),-2.76198 # DEPENDENCYPART_ARC
(12,42),-2.28254 # DEPENDENCYPART_ARC
(12,43),-5.54319 # DEPENDENCYPART_ARC
(13,1),-1.67527 # DEPENDENCYPART_ARC
(13,2),-2.73847 # DEPENDENCYPART_ARC
(13,3),-2.80207 # DEPENDENCYPART_ARC
(13,4),-2.6611 # DEPENDENCYPART_ARC
(13,5),-1.8281 # DEPENDENCYPART_ARC
(13,6),-2.44868 # DEPENDENCYPART_ARC
(13,7),-1.69892 # DEPENDENCYPART_ARC
(13,10),-1.6655 # DEPENDENCYPART_ARC
(13,11),-0.862871 # DEPENDENCYPART_ARC
(13,12),-0.483112 # DEPENDENCYPART_ARC
(13,14),-0.448927 # DEPENDENCYPART_ARC
(13,15),0.0240152 # DEPENDENCYPART_ARC
(13,16),-1.04889 # DEPENDENCYPART_ARC
(13,17),-1.10106 # DEPENDENCYPART_ARC
(13,18),-0.779311 # DEPENDENCYPART_ARC
(13,19),-1.80107 # DEPENDENCYPART_ARC
(13,21),-1.65915 # DEPENDENCYPART_ARC
(13,23),-0.652427 # DEPENDENCYPART_ARC
(13,24),-2.01422 # DEPENDENCYPART_ARC
(13,25),-2.3346 # DEPENDENCYPART_ARC
(13,26),-1.8974 # DEPENDENCYPART_ARC
(13,27),-1.19534 # DEPENDENCYPART_ARC
(13,28),-1.98456 # DEPENDENCYPART_ARC
(13,29),-2.25587 # DEPENDENCYPART_ARC
