# _root_ " Purtroppo , il programma universitario di Mayo è caro : ogni studente ci costa 30 mila dollari l' anno " , spiega Eugene Mayberry .
#goldHeads=2,9,2,5,9,5,5,7,0,9,10,13,15,15,23,18,16,15,20,15,20,21,0,25,23,25,
#predictedHeads=2,9,2,5,9,5,5,7,0,9,10,13,15,15,9,18,16,15,20,15,20,21,0,25,23,25,
(9,12),0.0130252 # DEPENDENCYPART_ARC
(9,13),0.258308 # DEPENDENCYPART_ARC
(9,14),-0.337442 # DEPENDENCYPART_ARC
(9,15),0.981924 # DEPENDENCYPART_ARC
(9,16),-0.596029 # DEPENDENCYPART_ARC
(9,17),-0.383432 # DEPENDENCYPART_ARC
(9,18),-0.886817 # DEPENDENCYPART_ARC
(9,19),-1.6751 # DEPENDENCYPART_ARC
(9,20),-0.710117 # DEPENDENCYPART_ARC
(9,21),-1.85765 # DEPENDENCYPART_ARC
(9,22),-0.259116 # DEPENDENCYPART_ARC
(9,23),-0.856655 # DEPENDENCYPART_ARC
(9,24),-1.92577 # DEPENDENCYPART_ARC
(9,25),-1.91063 # DEPENDENCYPART_ARC
(9,26),-2.30382 # DEPENDENCYPART_ARC
(10,1),-0.780685 # DEPENDENCYPART_ARC
(10,2),-1.29581 # DEPENDENCYPART_ARC
(10,3),-1.21642 # DEPENDENCYPART_ARC
(10,4),-0.751634 # DEPENDENCYPART_ARC
(10,5),-1.18667 # DEPENDENCYPART_ARC
(10,6),-1.1638 # DEPENDENCYPART_ARC
(10,7),0.244177 # DEPENDENCYPART_ARC
(10,8),-0.472579 # DEPENDENCYPART_ARC
(10,9),1.01153 # DEPENDENCYPART_ARC
(10,11),1.66993 # DEPENDENCYPART_ARC
(10,12),-0.0112286 # DEPENDENCYPART_ARC
(10,13),-0.207406 # DEPENDENCYPART_ARC
(10,14),-1.81001 # DEPENDENCYPART_ARC
(10,15),-1.32924 # DEPENDENCYPART_ARC
(10,16),-0.99146 # DEPENDENCYPART_ARC
(10,17),-1.05785 # DEPENDENCYPART_ARC
(10,18),-0.913775 # DEPENDENCYPART_ARC
(10,19),-1.48215 # DEPENDENCYPART_ARC
(10,20),-0.995248 # DEPENDENCYPART_ARC
(10,21),-1.26439 # DEPENDENCYPART_ARC
(10,22),-1.12339 # DEPENDENCYPART_ARC
(10,23),-2.46293 # DEPENDENCYPART_ARC
(10,24),-1.06311 # DEPENDENCYPART_ARC
(10,25),-1.25755 # DEPENDENCYPART_ARC
(10,26),-1.89902 # DEPENDENCYPART_ARC
(11,1),-1.77105 # DEPENDENCYPART_ARC
(11,3),-1.54385 # DEPENDENCYPART_ARC
(11,4),-1.23597 # DEPENDENCYPART_ARC
(11,19),-1.42907 # DEPENDENCYPART_ARC
(11,21),-1.7872 # DEPENDENCYPART_ARC
(11,22),-1.14761 # DEPENDENCYPART_ARC
(11,26),-1.62895 # DEPENDENCYPART_ARC
(12,1),-2.64157 # DEPENDENCYPART_ARC
(12,2),-2.63166 # DEPENDENCYPART_ARC
(12,3),-2.59218 # DEPENDENCYPART_ARC
(12,4),-2.10247 # DEPENDENCYPART_ARC
(12,5),-3.3136 # DEPENDENCYPART_ARC
(12,9),-3.48254 # DEPENDENCYPART_ARC
(12,11),-0.452289 # DEPENDENCYPART_ARC
(12,13),1.14004 # DEPENDENCYPART_ARC
(12,15),0.168151 # DEPENDENCYPART_ARC
(12,16),-0.309931 # DEPENDENCYPART_ARC
(12,17),-0.205742 # DEPENDENCYPART_ARC
(12,18),-1.18411 # DEPENDENCYPART_ARC
(12,19),-0.755175 # DEPENDENCYPART_ARC
(12,20),-0.812944 # DEPENDENCYPART_ARC
(12,21),-0.422141 # DEPENDENCYPART_ARC
(12,22),-0.447426 # DEPENDENCYPART_ARC
(12,23),-0.821948 # DEPENDENCYPART_ARC
(12,26),-0.647856 # DEPENDENCYPART_ARC
(13,1),-1.74917 # DEPENDENCYPART_ARC
(13,2),-1.55833 # DEPENDENCYPART_ARC
(13,3),-2.75409 # DEPENDENCYPART_ARC
(13,4),-0.691543 # DEPENDENCYPART_ARC
(13,5),-2.45107 # DEPENDENCYPART_ARC
(13,6),-1.1417 # DEPENDENCYPART_ARC
(13,7),-1.29283 # DEPENDENCYPART_ARC
(13,8),-1.49974 # DEPENDENCYPART_ARC
(13,9),-1.90239 # DEPENDENCYPART_ARC
(13,10),0.420472 # DEPENDENCYPART_ARC
(13,11),-0.505642 # DEPENDENCYPART_ARC
(13,12),3.43027 # DEPENDENCYPART_ARC
(13,14),0.12472 # DEPENDENCYPART_ARC
(13,15),1.09559 # DEPENDENCYPART_ARC
(13,16),-0.430775 # DEPENDENCYPART_ARC
(13,17),-0.756458 # DEPENDENCYPART_ARC
(13,18),-1.16644 # DEPENDENCYPART_ARC
(13,19),-1.01964 # DEPENDENCYPART_ARC
(13,20),-1.32416 # DEPENDENCYPART_ARC
(13,21),-1.22868 # DEPENDENCYPART_ARC
(13,22),-0.71093 # DEPENDENCYPART_ARC
(13,23),-0.7774 # DEPENDENCYPART_ARC
(13,24),-1.35125 # DEPENDENCYPART_ARC
(13,25),-1.06083 # DEPENDENCYPART_ARC
(13,26),-2.20915 # DEPENDENCYPART_ARC
(14,1),-1.71623 # DEPENDENCYPART_ARC
(14,2),-1.9962 # DEPENDENCYPART_ARC
(14,3),-2.06592 # DEPENDENCYPART_ARC
(14,5),-2.75037 # DEPENDENCYPART_ARC
(14,6),-2.50028 # DEPENDENCYPART_ARC
(14,7),-1.88522 # DEPENDENCYPART_ARC
(14,8),-2.4106 # DEPENDENCYPART_ARC
(14,9),-3.92243 # DEPENDENCYPART_ARC
(14,10),-2.03986 # DEPENDENCYPART_ARC
(14,11),-0.99212 # DEPENDENCYPART_ARC
(14,13),-0.931128 # DEPENDENCYPART_ARC
(14,15),-0.174323 # DEPENDENCYPART_ARC
(14,16),-0.709192 # DEPENDENCYPART_ARC
(14,17),-0.946939 # DEPENDENCYPART_ARC
(14,18),-0.546024 # DEPENDENCYPART_ARC
(14,20),-1.36264 # DEPENDENCYPART_ARC
(14,21),-1.28621 # DEPENDENCYPART_ARC
(14,22),-1.05746 # DEPENDENCYPART_ARC
(14,23),-2.66801 # DEPENDENCYPART_ARC
(14,24),-0.628438 # DEPENDENCYPART_ARC
(14,25),-0.552925 # DEPENDENCYPART_ARC
(14,26),-1.52854 # DEPENDENCYPART_ARC
(15,1),-1.49069 # DEPENDENCYPART_ARC
(15,2),-0.171268 # DEPENDENCYPART_ARC
(15,3),-2.02958 # DEPENDENCYPART_ARC
(15,4),-1.45625 # DEPENDENCYPART_ARC
(15,5),1.00269 # DEPENDENCYPART_ARC
(15,6),-0.531393 # DEPENDENCYPART_ARC
(15,7),-0.937297 # DEPENDENCYPART_ARC
(15,8),0.737777 # DEPENDENCYPART_ARC
(15,9),-0.655096 # DEPENDENCYPART_ARC
(15,10),-0.365112 # DEPENDENCYPART_ARC
(15,11),-0.849513 # DEPENDENCYPART_ARC
(15,12),0.123207 # DEPENDENCYPART_ARC
(15,13),1.13345 # DEPENDENCYPART_ARC
(15,14),2.56545 # DEPENDENCYPART_ARC
(15,16),1.22688 # DEPENDENCYPART_ARC
(15,17),0.740713 # DEPENDENCYPART_ARC
(15,18),1.71117 # DEPENDENCYPART_ARC
(15,19),-0.902936 # DEPENDENCYPART_ARC
(15,20),1.34418 # DEPENDENCYPART_ARC
(15,21),-0.251991 # DEPENDENCYPART_ARC
(15,22),0.831352 # DEPENDENCYPART_ARC
(15,23),0.518567 # DEPENDENCYPART_ARC
(15,24),-0.417671 # DEPENDENCYPART_ARC
(15,25),-0.410542 # DEPENDENCYPART_ARC
(15,26),-0.542089 # DEPENDENCYPART_ARC
(16,1),-1.5054 # DEPENDENCYPART_ARC
(16,2),-1.47086 # DEPENDENCYPART_ARC
(16,3),-1.54208 # DEPENDENCYPART_ARC
(16,4),-0.900597 # DEPENDENCYPART_ARC
(16,5),-2.05981 # DEPENDENCYPART_ARC
(16,6),-1.44973 # DEPENDENCYPART_ARC
(16,7),-1.30414 # DEPENDENCYPART_ARC
(16,9),-2.08174 # DEPENDENCYPART_ARC
(16,10),-1.31891 # DEPENDENCYPART_ARC
(16,11),-1.15464 # DEPENDENCYPART_ARC
(16,12),-0.96998 # DEPENDENCYPART_ARC
(16,13),-1.08969 # DEPENDENCYPART_ARC
(16,15),0.174144 # DEPENDENCYPART_ARC
(16,17),2.57573 # DEPENDENCYPART_ARC
(16,18),0.424386 # DEPENDENCYPART_ARC
(16,19),-0.0755458 # DEPENDENCYPART_ARC
(16,20),-0.172685 # DEPENDENCYPART_ARC
(16,21),-0.107463 # DEPENDENCYPART_ARC
(16,22),0.386057 # DEPENDENCYPART_ARC
(16,23),-0.564189 # DEPENDENCYPART_ARC
(16,26),-0.521074 # DEPENDENCYPART_ARC
(17,1),-1.23641 # DEPENDENCYPART_ARC
(17,2),-1.19672 # DEPENDENCYPART_ARC
(17,3),-1.36053 # DEPENDENCYPART_ARC
(17,4),-0.53712 # DEPENDENCYPART_ARC
(17,5),-1.65926 # DEPENDENCYPART_ARC
(17,6),-1.21107 # DEPENDENCYPART_ARC
(17,7),-1.07476 # DEPENDENCYPART_ARC
(17,9),-1.81278 # DEPENDENCYPART_ARC
(17,10),-0.995739 # DEPENDENCYPART_ARC
(17,11),-0.992415 # DEPENDENCYPART_ARC
(17,12),-0.729013 # DEPENDENCYPART_ARC
(17,13),-1.10816 # DEPENDENCYPART_ARC
(17,15),-0.382007 # DEPENDENCYPART_ARC
(17,16),1.08178 # DEPENDENCYPART_ARC
(17,18),0.778837 # DEPENDENCYPART_ARC
(17,19),-0.289048 # DEPENDENCYPART_ARC
(17,20),-0.467892 # DEPENDENCYPART_ARC
(17,21),-0.428783 # DEPENDENCYPART_ARC
(17,22),-0.272412 # DEPENDENCYPART_ARC
(17,23),-0.996182 # DEPENDENCYPART_ARC
(17,26),-0.900274 # DEPENDENCYPART_ARC
(18,1),-1.83388 # DEPENDENCYPART_ARC
(18,2),-1.2127 # DEPENDENCYPART_ARC
(18,3),-2.77292 # DEPENDENCYPART_ARC
(18,4),-2.07114 # DEPENDENCYPART_ARC
(18,5),-2.08368 # DEPENDENCYPART_ARC
(18,6),-1.69601 # DEPENDENCYPART_ARC
(18,7),-1.54126 # DEPENDENCYPART_ARC
(18,8),-1.47348 # DEPENDENCYPART_ARC
(18,9),-3.06092 # DEPENDENCYPART_ARC
(18,10),-1.34573 # DEPENDENCYPART_ARC
(18,11),-1.97092 # DEPENDENCYPART_ARC
(18,12),0.269227 # DEPENDENCYPART_ARC
(18,13),-1.29048 # DEPENDENCYPART_ARC
(18,14),-0.586168 # DEPENDENCYPART_ARC
(18,15),-2.0758 # DEPENDENCYPART_ARC
(18,16),1.66669 # DEPENDENCYPART_ARC
(18,17),1.65873 # DEPENDENCYPART_ARC
(18,19),0.460236 # DEPENDENCYPART_ARC
(18,20),0.545668 # DEPENDENCYPART_ARC
(18,21),0.0684139 # DEPENDENCYPART_ARC
(18,22),0.171987 # DEPENDENCYPART_ARC
(18,23),-0.70674 # DEPENDENCYPART_ARC
(18,24),-0.49938 # DEPENDENCYPART_ARC
(18,25),-0.157674 # DEPENDENCYPART_ARC
(18,26),-1.05558 # DEPENDENCYPART_ARC
(19,1),-1.27965 # DEPENDENCYPART_ARC
(19,3),-1.79766 # DEPENDENCYPART_ARC
(19,5),-2.9328 # DEPENDENCYPART_ARC
(19,7),-2.19474 # DEPENDENCYPART_ARC
(19,9),-3.60534 # DEPENDENCYPART_ARC
(19,11),-1.575 # DEPENDENCYPART_ARC
(19,13),-2.61358 # DEPENDENCYPART_ARC
(19,15),-3.10635 # DEPENDENCYPART_ARC
(19,16),-1.04704 # DEPENDENCYPART_ARC
(19,17),-0.744047 # DEPENDENCYPART_ARC
(19,18),-0.795373 # DEPENDENCYPART_ARC
(19,20),0.805178 # DEPENDENCYPART_ARC
(19,21),-0.332956 # DEPENDENCYPART_ARC
(19,22),-0.361077 # DEPENDENCYPART_ARC
(19,23),-0.775449 # DEPENDENCYPART_ARC
(19,26),-0.922242 # DEPENDENCYPART_ARC
(20,1),-2.15297 # DEPENDENCYPART_ARC
(20,2),-1.14941 # DEPENDENCYPART_ARC
(20,3),-3.09724 # DEPENDENCYPART_ARC
(20,4),-2.10201 # DEPENDENCYPART_ARC
(20,5),-2.62001 # DEPENDENCYPART_ARC
(20,6),-1.55227 # DEPENDENCYPART_ARC
(20,7),-1.57631 # DEPENDENCYPART_ARC
(20,8),-1.87485 # DEPENDENCYPART_ARC
(20,9),-2.42382 # DEPENDENCYPART_ARC
(20,10),-1.01075 # DEPENDENCYPART_ARC
(20,11),-2.27527 # DEPENDENCYPART_ARC
(20,12),0.196681 # DEPENDENCYPART_ARC
(20,13),-1.96268 # DEPENDENCYPART_ARC
(20,14),-0.997419 # DEPENDENCYPART_ARC
(20,15),-1.71379 # DEPENDENCYPART_ARC
(20,16),0.185503 # DEPENDENCYPART_ARC
(20,17),-0.196776 # DEPENDENCYPART_ARC
(20,18),-0.0591364 # DEPENDENCYPART_ARC
(20,19),3.37828 # DEPENDENCYPART_ARC
(20,21),1.63219 # DEPENDENCYPART_ARC
(20,22),-0.180734 # DEPENDENCYPART_ARC
(20,23),-0.287261 # DEPENDENCYPART_ARC
(20,24),-0.392344 # DEPENDENCYPART_ARC
(20,25),0.107807 # DEPENDENCYPART_ARC
(20,26),-0.685247 # DEPENDENCYPART_ARC
(21,1),-1.53405 # DEPENDENCYPART_ARC
(21,3),-1.36564 # DEPENDENCYPART_ARC
(21,4),-1.25035 # DEPENDENCYPART_ARC
(21,11),-1.30138 # DEPENDENCYPART_ARC
(21,19),0.17644 # DEPENDENCYPART_ARC
(21,22),2.23196 # DEPENDENCYPART_ARC
(21,26),-0.163349 # DEPENDENCYPART_ARC
(22,1),-1.72447 # DEPENDENCYPART_ARC
(22,3),-1.40364 # DEPENDENCYPART_ARC
(22,4),-1.23137 # DEPENDENCYPART_ARC
(22,11),-1.50066 # DEPENDENCYPART_ARC
(22,19),-0.222058 # DEPENDENCYPART_ARC
(22,21),0.529769 # DEPENDENCYPART_ARC
(22,26),-0.733056 # DEPENDENCYPART_ARC
(23,1),-2.1435 # DEPENDENCYPART_ARC
(23,2),-0.507004 # DEPENDENCYPART_ARC
(23,3),-2.65042 # DEPENDENCYPART_ARC
(23,4),-1.83178 # DEPENDENCYPART_ARC
(23,5),0.0213864 # DEPENDENCYPART_ARC
(23,6),-1.1952 # DEPENDENCYPART_ARC
(23,7),-2.56422 # DEPENDENCYPART_ARC
(23,8),-0.331847 # DEPENDENCYPART_ARC
(23,9),-1.03605 # DEPENDENCYPART_ARC
(23,10),-0.915577 # DEPENDENCYPART_ARC
(23,11),-1.96119 # DEPENDENCYPART_ARC
(23,12),-1.16584 # DEPENDENCYPART_ARC
(23,13),0.0770276 # DEPENDENCYPART_ARC
(23,14),-0.344766 # DEPENDENCYPART_ARC
(23,15),0.165117 # DEPENDENCYPART_ARC
(23,16),-0.502357 # DEPENDENCYPART_ARC
(23,17),-0.488496 # DEPENDENCYPART_ARC
(23,18),-0.869434 # DEPENDENCYPART_ARC
(23,19),-0.659957 # DEPENDENCYPART_ARC
(23,20),0.766374 # DEPENDENCYPART_ARC
(23,21),-0.0133641 # DEPENDENCYPART_ARC
(23,22),0.336395 # DEPENDENCYPART_ARC
(23,24),2.35474 # DEPENDENCYPART_ARC
(23,25),2.08919 # DEPENDENCYPART_ARC
(23,26),0.102947 # DEPENDENCYPART_ARC
(24,1),-2.97489 # DEPENDENCYPART_ARC
(24,2),-2.46158 # DEPENDENCYPART_ARC
(24,3),-3.74084 # DEPENDENCYPART_ARC
(24,4),-3.77934 # DEPENDENCYPART_ARC
(24,5),-4.75509 # DEPENDENCYPART_ARC
(24,6),-3.46345 # DEPENDENCYPART_ARC
(24,7),-2.84635 # DEPENDENCYPART_ARC
(24,8),-1.7967 # DEPENDENCYPART_ARC
(24,9),-3.90793 # DEPENDENCYPART_ARC
(24,10),-2.99933 # DEPENDENCYPART_ARC
(24,11),-2.93149 # DEPENDENCYPART_ARC
(24,12),-0.603623 # DEPENDENCYPART_ARC
(24,13),-4.25754 # DEPENDENCYPART_ARC
(24,14),-2.11055 # DEPENDENCYPART_ARC
(24,15),-3.39281 # DEPENDENCYPART_ARC
(24,16),-1.53491 # DEPENDENCYPART_ARC
(24,17),-2.07748 # DEPENDENCYPART_ARC
(24,18),-3.46503 # DEPENDENCYPART_ARC
(24,19),-0.42937 # DEPENDENCYPART_ARC
(24,20),-3.75581 # DEPENDENCYPART_ARC
(24,21),-0.668843 # DEPENDENCYPART_ARC
(24,22),-1.28304 # DEPENDENCYPART_ARC
(24,23),-0.639173 # DEPENDENCYPART_ARC
(24,25),2.05945 # DEPENDENCYPART_ARC
(24,26),-0.155676 # DEPENDENCYPART_ARC
(25,1),-2.22777 # DEPENDENCYPART_ARC
(25,2),-1.573 # DEPENDENCYPART_ARC
(25,3),-3.08885 # DEPENDENCYPART_ARC
(25,4),-3.71706 # DEPENDENCYPART_ARC
(25,5),-3.91111 # DEPENDENCYPART_ARC
(25,6),-2.42939 # DEPENDENCYPART_ARC
(25,7),-2.1603 # DEPENDENCYPART_ARC
(25,8),-0.442311 # DEPENDENCYPART_ARC
(25,9),-3.17204 # DEPENDENCYPART_ARC
(25,10),-1.87648 # DEPENDENCYPART_ARC
