# _root_ Anche nelle organizzazioni , spesso , i collaboratori di un grande imprenditore sono convinti che saprebbero fare meglio di lui .
#goldHeads=2,13,2,3,13,5,8,13,8,12,12,9,0,13,14,15,16,17,18,19,20,
#predictedHeads=2,14,2,3,14,5,8,14,8,12,12,9,14,0,14,17,15,17,18,19,20,
(13,12),0.149041 # DEPENDENCYPART_ARC
(13,14),2.12866 # DEPENDENCYPART_ARC
(13,15),1.41344 # DEPENDENCYPART_ARC
(13,16),1.4866 # DEPENDENCYPART_ARC
(13,17),0.561267 # DEPENDENCYPART_ARC
(13,18),-0.5722 # DEPENDENCYPART_ARC
(13,19),-1.02801 # DEPENDENCYPART_ARC
(13,20),-0.723274 # DEPENDENCYPART_ARC
(13,21),-0.635066 # DEPENDENCYPART_ARC
(14,1),0.597711 # DEPENDENCYPART_ARC
(14,2),0.563339 # DEPENDENCYPART_ARC
(14,3),-0.783985 # DEPENDENCYPART_ARC
(14,4),-1.84389 # DEPENDENCYPART_ARC
(14,5),0.536837 # DEPENDENCYPART_ARC
(14,6),-1.5627 # DEPENDENCYPART_ARC
(14,7),0.453854 # DEPENDENCYPART_ARC
(14,8),1.55311 # DEPENDENCYPART_ARC
(14,9),0.0985924 # DEPENDENCYPART_ARC
(14,10),-0.185073 # DEPENDENCYPART_ARC
(14,11),-0.382269 # DEPENDENCYPART_ARC
(14,12),0.745271 # DEPENDENCYPART_ARC
(14,13),4.13751 # DEPENDENCYPART_ARC
(14,15),2.72097 # DEPENDENCYPART_ARC
(14,16),1.4749 # DEPENDENCYPART_ARC
(14,17),1.30326 # DEPENDENCYPART_ARC
(14,18),-0.0579498 # DEPENDENCYPART_ARC
(14,19),-0.54134 # DEPENDENCYPART_ARC
(14,20),-0.689164 # DEPENDENCYPART_ARC
(14,21),-0.25423 # DEPENDENCYPART_ARC
(15,1),-1.85992 # DEPENDENCYPART_ARC
(15,2),-2.13401 # DEPENDENCYPART_ARC
(15,3),-2.62407 # DEPENDENCYPART_ARC
(15,4),-2.20917 # DEPENDENCYPART_ARC
(15,5),-1.85408 # DEPENDENCYPART_ARC
(15,6),-2.05885 # DEPENDENCYPART_ARC
(15,7),-1.91725 # DEPENDENCYPART_ARC
(15,8),-2.35151 # DEPENDENCYPART_ARC
(15,9),-1.79431 # DEPENDENCYPART_ARC
(15,10),-1.62302 # DEPENDENCYPART_ARC
(15,11),-1.96732 # DEPENDENCYPART_ARC
(15,12),-1.62836 # DEPENDENCYPART_ARC
(15,13),-1.54008 # DEPENDENCYPART_ARC
(15,14),-0.641971 # DEPENDENCYPART_ARC
(15,16),2.51152 # DEPENDENCYPART_ARC
(15,17),2.45845 # DEPENDENCYPART_ARC
(15,18),-0.444478 # DEPENDENCYPART_ARC
(15,19),-0.301832 # DEPENDENCYPART_ARC
(15,20),-0.530751 # DEPENDENCYPART_ARC
(15,21),0.244883 # DEPENDENCYPART_ARC
(16,1),-1.46859 # DEPENDENCYPART_ARC
(16,2),-1.69943 # DEPENDENCYPART_ARC
(16,3),-1.54632 # DEPENDENCYPART_ARC
(16,4),-3.37573 # DEPENDENCYPART_ARC
(16,5),-1.76636 # DEPENDENCYPART_ARC
(16,6),-3.07838 # DEPENDENCYPART_ARC
(16,7),-1.80297 # DEPENDENCYPART_ARC
(16,8),-0.334588 # DEPENDENCYPART_ARC
(16,9),-2.1356 # DEPENDENCYPART_ARC
(16,10),-2.66962 # DEPENDENCYPART_ARC
(16,11),-1.96499 # DEPENDENCYPART_ARC
(16,12),-1.74373 # DEPENDENCYPART_ARC
(16,13),-1.14055 # DEPENDENCYPART_ARC
(16,14),-0.39432 # DEPENDENCYPART_ARC
(16,15),0.515733 # DEPENDENCYPART_ARC
(16,17),1.44285 # DEPENDENCYPART_ARC
(16,18),0.286338 # DEPENDENCYPART_ARC
(16,19),-0.64999 # DEPENDENCYPART_ARC
(16,20),-0.777792 # DEPENDENCYPART_ARC
(16,21),-0.834002 # DEPENDENCYPART_ARC
(17,1),-0.142252 # DEPENDENCYPART_ARC
(17,2),-0.759734 # DEPENDENCYPART_ARC
(17,3),-1.92875 # DEPENDENCYPART_ARC
(17,4),-2.7487 # DEPENDENCYPART_ARC
(17,5),-0.71491 # DEPENDENCYPART_ARC
(17,6),-2.61734 # DEPENDENCYPART_ARC
(17,7),-0.859237 # DEPENDENCYPART_ARC
(17,8),0.192422 # DEPENDENCYPART_ARC
(17,9),-1.48697 # DEPENDENCYPART_ARC
(17,10),-0.731755 # DEPENDENCYPART_ARC
(17,11),-0.261827 # DEPENDENCYPART_ARC
(17,12),-0.120208 # DEPENDENCYPART_ARC
(17,13),0.232085 # DEPENDENCYPART_ARC
(17,14),-1.45121 # DEPENDENCYPART_ARC
(17,15),0.669002 # DEPENDENCYPART_ARC
(17,16),3.92816 # DEPENDENCYPART_ARC
(17,18),1.82009 # DEPENDENCYPART_ARC
(17,19),0.67306 # DEPENDENCYPART_ARC
(17,20),1.14325 # DEPENDENCYPART_ARC
(17,21),-0.0381321 # DEPENDENCYPART_ARC
(18,1),-1.93709 # DEPENDENCYPART_ARC
(18,2),-2.23535 # DEPENDENCYPART_ARC
(18,3),-3.06993 # DEPENDENCYPART_ARC
(18,4),-2.71561 # DEPENDENCYPART_ARC
(18,5),-1.95048 # DEPENDENCYPART_ARC
(18,6),-2.51621 # DEPENDENCYPART_ARC
(18,7),-1.99177 # DEPENDENCYPART_ARC
(18,8),-2.83352 # DEPENDENCYPART_ARC
(18,9),-1.8144 # DEPENDENCYPART_ARC
(18,10),-1.84581 # DEPENDENCYPART_ARC
(18,11),-2.3048 # DEPENDENCYPART_ARC
(18,12),-2.60445 # DEPENDENCYPART_ARC
(18,13),-2.79526 # DEPENDENCYPART_ARC
(18,14),-2.59737 # DEPENDENCYPART_ARC
(18,15),-1.19031 # DEPENDENCYPART_ARC
(18,16),-1.61168 # DEPENDENCYPART_ARC
(18,17),-0.798169 # DEPENDENCYPART_ARC
(18,19),1.2944 # DEPENDENCYPART_ARC
(18,20),0.236103 # DEPENDENCYPART_ARC
(18,21),0.262821 # DEPENDENCYPART_ARC
(19,1),-1.60702 # DEPENDENCYPART_ARC
(19,2),-2.46932 # DEPENDENCYPART_ARC
(19,3),-2.59503 # DEPENDENCYPART_ARC
(19,4),-2.71952 # DEPENDENCYPART_ARC
(19,5),-2.18901 # DEPENDENCYPART_ARC
(19,6),-2.53562 # DEPENDENCYPART_ARC
(19,7),-2.29432 # DEPENDENCYPART_ARC
(19,8),-2.65985 # DEPENDENCYPART_ARC
(19,9),-2.11225 # DEPENDENCYPART_ARC
(19,10),-2.22722 # DEPENDENCYPART_ARC
(19,11),-2.56685 # DEPENDENCYPART_ARC
(19,12),-2.33799 # DEPENDENCYPART_ARC
(19,13),-2.71145 # DEPENDENCYPART_ARC
(19,14),-2.57406 # DEPENDENCYPART_ARC
(19,15),-1.454 # DEPENDENCYPART_ARC
(19,16),-2.09714 # DEPENDENCYPART_ARC
(19,17),-1.42914 # DEPENDENCYPART_ARC
(19,18),0.116351 # DEPENDENCYPART_ARC
(19,20),2.55911 # DEPENDENCYPART_ARC
(19,21),-0.293447 # DEPENDENCYPART_ARC
(20,1),-1.78263 # DEPENDENCYPART_ARC
(20,2),-2.54339 # DEPENDENCYPART_ARC
(20,3),-2.87726 # DEPENDENCYPART_ARC
(20,4),-2.37152 # DEPENDENCYPART_ARC
(20,5),-1.93157 # DEPENDENCYPART_ARC
(20,6),-2.33749 # DEPENDENCYPART_ARC
(20,7),-1.89631 # DEPENDENCYPART_ARC
(20,8),-2.55776 # DEPENDENCYPART_ARC
(20,9),-1.96983 # DEPENDENCYPART_ARC
(20,10),-1.42131 # DEPENDENCYPART_ARC
(20,11),-1.96591 # DEPENDENCYPART_ARC
(20,12),-2.0243 # DEPENDENCYPART_ARC
(20,13),-3.03359 # DEPENDENCYPART_ARC
(20,14),-3.5076 # DEPENDENCYPART_ARC
(20,15),-1.36856 # DEPENDENCYPART_ARC
(20,16),-2.70884 # DEPENDENCYPART_ARC
(20,17),-1.86905 # DEPENDENCYPART_ARC
(20,18),-0.454566 # DEPENDENCYPART_ARC
(20,19),0.186067 # DEPENDENCYPART_ARC
(20,21),2.33461 # DEPENDENCYPART_ARC
(21,1),-2.19299 # DEPENDENCYPART_ARC
(21,2),-2.10923 # DEPENDENCYPART_ARC
(21,3),-2.69094 # DEPENDENCYPART_ARC
(21,4),-2.32398 # DEPENDENCYPART_ARC
(21,5),-2.51617 # DEPENDENCYPART_ARC
(21,6),-2.36738 # DEPENDENCYPART_ARC
(21,7),-2.22179 # DEPENDENCYPART_ARC
(21,8),-2.54585 # DEPENDENCYPART_ARC
(21,9),-2.06514 # DEPENDENCYPART_ARC
(21,10),-2.22374 # DEPENDENCYPART_ARC
(21,11),-2.47881 # DEPENDENCYPART_ARC
(21,12),-2.47917 # DEPENDENCYPART_ARC
(21,13),-2.79022 # DEPENDENCYPART_ARC
(21,14),-2.63287 # DEPENDENCYPART_ARC
(21,15),-1.81237 # DEPENDENCYPART_ARC
(21,16),-2.53955 # DEPENDENCYPART_ARC
(21,17),-2.37706 # DEPENDENCYPART_ARC
(21,18),-1.39163 # DEPENDENCYPART_ARC
(21,19),-0.91784 # DEPENDENCYPART_ARC
(21,20),-0.246091 # DEPENDENCYPART_ARC
