# _root_ " La riabilitazione , lo abbiamo dimostrato , può portare un " trapiantato " a correre i 42 chilometri di una maratona .
#goldHeads=2,3,10,3,7,7,10,7,10,0,13,11,10,15,10,15,19,19,16,19,22,20,22,
#predictedHeads=2,3,7,3,7,7,0,7,10,13,10,13,7,13,13,15,19,19,16,19,22,20,22,
(2,6),-0.334893 # DEPENDENCYPART_ARC
(2,7),-0.660562 # DEPENDENCYPART_ARC
(2,8),-0.316942 # DEPENDENCYPART_ARC
(2,9),-0.293226 # DEPENDENCYPART_ARC
(2,10),-0.623714 # DEPENDENCYPART_ARC
(2,11),-1.66758 # DEPENDENCYPART_ARC
(2,12),-0.509759 # DEPENDENCYPART_ARC
(2,13),-0.88093 # DEPENDENCYPART_ARC
(2,14),-0.811593 # DEPENDENCYPART_ARC
(2,15),-1.22115 # DEPENDENCYPART_ARC
(2,16),-0.688731 # DEPENDENCYPART_ARC
(2,17),-1.80363 # DEPENDENCYPART_ARC
(2,18),-0.528179 # DEPENDENCYPART_ARC
(2,19),-0.925131 # DEPENDENCYPART_ARC
(2,20),-1.18385 # DEPENDENCYPART_ARC
(2,21),-1.64458 # DEPENDENCYPART_ARC
(2,22),-0.619458 # DEPENDENCYPART_ARC
(2,23),-1.24027 # DEPENDENCYPART_ARC
(3,1),0.190357 # DEPENDENCYPART_ARC
(3,2),3.40985 # DEPENDENCYPART_ARC
(3,4),2.18136 # DEPENDENCYPART_ARC
(3,5),0.750341 # DEPENDENCYPART_ARC
(3,6),0.486736 # DEPENDENCYPART_ARC
(3,7),0.236351 # DEPENDENCYPART_ARC
(3,8),0.082905 # DEPENDENCYPART_ARC
(3,9),-0.883209 # DEPENDENCYPART_ARC
(3,10),-0.843015 # DEPENDENCYPART_ARC
(3,11),-0.747538 # DEPENDENCYPART_ARC
(3,12),-1.06926 # DEPENDENCYPART_ARC
(3,13),-1.24638 # DEPENDENCYPART_ARC
(3,14),-1.57004 # DEPENDENCYPART_ARC
(3,15),-1.50318 # DEPENDENCYPART_ARC
(3,16),-2.28238 # DEPENDENCYPART_ARC
(3,17),-1.14676 # DEPENDENCYPART_ARC
(3,18),-0.999861 # DEPENDENCYPART_ARC
(3,19),-1.48763 # DEPENDENCYPART_ARC
(3,20),-0.678377 # DEPENDENCYPART_ARC
(3,21),-0.566254 # DEPENDENCYPART_ARC
(3,22),-1.20988 # DEPENDENCYPART_ARC
(3,23),-1.93797 # DEPENDENCYPART_ARC
(4,1),-1.76318 # DEPENDENCYPART_ARC
(4,2),-0.940504 # DEPENDENCYPART_ARC
(4,3),-0.937839 # DEPENDENCYPART_ARC
(4,5),-1.21212 # DEPENDENCYPART_ARC
(4,6),-1.6784 # DEPENDENCYPART_ARC
(4,7),-2.04797 # DEPENDENCYPART_ARC
(4,8),-1.43991 # DEPENDENCYPART_ARC
(4,9),-2.41538 # DEPENDENCYPART_ARC
(4,10),-2.55689 # DEPENDENCYPART_ARC
(4,11),-2.68503 # DEPENDENCYPART_ARC
(4,12),-2.30803 # DEPENDENCYPART_ARC
(4,13),-2.68316 # DEPENDENCYPART_ARC
(4,14),-2.57874 # DEPENDENCYPART_ARC
(4,15),-3.10132 # DEPENDENCYPART_ARC
(4,16),-2.87354 # DEPENDENCYPART_ARC
(4,17),-2.90037 # DEPENDENCYPART_ARC
(4,18),-2.75309 # DEPENDENCYPART_ARC
(4,19),-3.14334 # DEPENDENCYPART_ARC
(4,20),-3.08514 # DEPENDENCYPART_ARC
(4,21),-2.95535 # DEPENDENCYPART_ARC
(4,22),-3.17035 # DEPENDENCYPART_ARC
(4,23),-2.45793 # DEPENDENCYPART_ARC
(5,1),-1.04808 # DEPENDENCYPART_ARC
(5,2),0.181095 # DEPENDENCYPART_ARC
(5,3),-0.938679 # DEPENDENCYPART_ARC
(5,4),0.338809 # DEPENDENCYPART_ARC
(5,6),0.160741 # DEPENDENCYPART_ARC
(5,7),0.458543 # DEPENDENCYPART_ARC
(5,8),-0.625863 # DEPENDENCYPART_ARC
(5,9),-0.808031 # DEPENDENCYPART_ARC
(5,10),-1.48069 # DEPENDENCYPART_ARC
(5,11),-1.34662 # DEPENDENCYPART_ARC
(5,12),-1.2322 # DEPENDENCYPART_ARC
(5,13),-1.27358 # DEPENDENCYPART_ARC
(5,14),-1.44633 # DEPENDENCYPART_ARC
(5,15),-2.09213 # DEPENDENCYPART_ARC
(5,16),-2.86445 # DEPENDENCYPART_ARC
(5,17),-1.82575 # DEPENDENCYPART_ARC
(5,18),-1.41834 # DEPENDENCYPART_ARC
(5,19),-1.97333 # DEPENDENCYPART_ARC
(5,20),-2.08301 # DEPENDENCYPART_ARC
(5,21),-2.01595 # DEPENDENCYPART_ARC
(5,22),-1.76833 # DEPENDENCYPART_ARC
(5,23),-1.81351 # DEPENDENCYPART_ARC
(6,1),-1.36102 # DEPENDENCYPART_ARC
(6,2),-1.37893 # DEPENDENCYPART_ARC
(6,3),-1.54545 # DEPENDENCYPART_ARC
(6,4),-1.31182 # DEPENDENCYPART_ARC
(6,5),0.910005 # DEPENDENCYPART_ARC
(6,7),0.766097 # DEPENDENCYPART_ARC
(6,8),0.72855 # DEPENDENCYPART_ARC
(6,9),-0.833111 # DEPENDENCYPART_ARC
(6,10),-0.825343 # DEPENDENCYPART_ARC
(6,11),-2.71326 # DEPENDENCYPART_ARC
(6,12),-1.15364 # DEPENDENCYPART_ARC
(6,13),-1.52488 # DEPENDENCYPART_ARC
(6,14),-1.76043 # DEPENDENCYPART_ARC
(6,15),-0.803665 # DEPENDENCYPART_ARC
(6,16),-1.42097 # DEPENDENCYPART_ARC
(6,17),-2.12784 # DEPENDENCYPART_ARC
(6,18),-1.40918 # DEPENDENCYPART_ARC
(6,19),-1.63815 # DEPENDENCYPART_ARC
(6,20),-1.01716 # DEPENDENCYPART_ARC
(6,21),-3.20312 # DEPENDENCYPART_ARC
(6,22),-2.21976 # DEPENDENCYPART_ARC
(6,23),-2.33589 # DEPENDENCYPART_ARC
(7,1),-0.75629 # DEPENDENCYPART_ARC
(7,2),-0.426649 # DEPENDENCYPART_ARC
(7,3),0.669495 # DEPENDENCYPART_ARC
(7,4),-0.84981 # DEPENDENCYPART_ARC
(7,5),2.55729 # DEPENDENCYPART_ARC
(7,6),4.21368 # DEPENDENCYPART_ARC
(7,8),2.52829 # DEPENDENCYPART_ARC
(7,9),1.49143 # DEPENDENCYPART_ARC
(7,10),0.842924 # DEPENDENCYPART_ARC
(7,11),-1.69228 # DEPENDENCYPART_ARC
(7,12),-0.23222 # DEPENDENCYPART_ARC
(7,13),1.00213 # DEPENDENCYPART_ARC
(7,14),-0.392306 # DEPENDENCYPART_ARC
(7,15),0.46095 # DEPENDENCYPART_ARC
(7,16),-0.121744 # DEPENDENCYPART_ARC
(7,17),-1.76065 # DEPENDENCYPART_ARC
(7,18),-0.173728 # DEPENDENCYPART_ARC
(7,19),-0.506838 # DEPENDENCYPART_ARC
(7,20),0.0622372 # DEPENDENCYPART_ARC
(7,21),-2.05915 # DEPENDENCYPART_ARC
(7,22),-0.625709 # DEPENDENCYPART_ARC
(7,23),-1.2832 # DEPENDENCYPART_ARC
(8,1),-2.55253 # DEPENDENCYPART_ARC
(8,2),-2.22669 # DEPENDENCYPART_ARC
(8,3),-2.58344 # DEPENDENCYPART_ARC
(8,4),-2.18719 # DEPENDENCYPART_ARC
(8,5),-1.83218 # DEPENDENCYPART_ARC
(8,6),-1.94202 # DEPENDENCYPART_ARC
(8,7),-1.04554 # DEPENDENCYPART_ARC
(8,9),-0.724832 # DEPENDENCYPART_ARC
(8,10),-1.67495 # DEPENDENCYPART_ARC
(8,11),-2.08024 # DEPENDENCYPART_ARC
(8,12),-1.86074 # DEPENDENCYPART_ARC
(8,13),-2.26902 # DEPENDENCYPART_ARC
(8,14),-2.05662 # DEPENDENCYPART_ARC
(8,15),-2.67055 # DEPENDENCYPART_ARC
(8,16),-2.43391 # DEPENDENCYPART_ARC
(8,17),-2.5201 # DEPENDENCYPART_ARC
(8,18),-2.35018 # DEPENDENCYPART_ARC
(8,19),-2.67247 # DEPENDENCYPART_ARC
(8,20),-2.74933 # DEPENDENCYPART_ARC
(8,21),-2.60277 # DEPENDENCYPART_ARC
(8,22),-2.71562 # DEPENDENCYPART_ARC
(8,23),-1.90929 # DEPENDENCYPART_ARC
(9,1),-2.04285 # DEPENDENCYPART_ARC
(9,2),-1.95009 # DEPENDENCYPART_ARC
(9,3),-0.564724 # DEPENDENCYPART_ARC
(9,4),-2.65699 # DEPENDENCYPART_ARC
(9,5),-0.448213 # DEPENDENCYPART_ARC
(9,6),0.0418202 # DEPENDENCYPART_ARC
(9,7),0.279181 # DEPENDENCYPART_ARC
(9,8),0.106962 # DEPENDENCYPART_ARC
(9,10),0.87971 # DEPENDENCYPART_ARC
(9,11),-2.58715 # DEPENDENCYPART_ARC
(9,12),-1.18231 # DEPENDENCYPART_ARC
(9,13),-1.25861 # DEPENDENCYPART_ARC
(9,14),-1.92604 # DEPENDENCYPART_ARC
(9,15),-0.84986 # DEPENDENCYPART_ARC
(9,16),-1.34115 # DEPENDENCYPART_ARC
(9,17),-3.13988 # DEPENDENCYPART_ARC
(9,18),-1.9455 # DEPENDENCYPART_ARC
(9,19),-2.38208 # DEPENDENCYPART_ARC
(9,20),-1.6862 # DEPENDENCYPART_ARC
(9,21),-3.66571 # DEPENDENCYPART_ARC
(9,22),-2.20586 # DEPENDENCYPART_ARC
(9,23),-2.43174 # DEPENDENCYPART_ARC
(10,1),-1.11032 # DEPENDENCYPART_ARC
(10,2),0.00377915 # DEPENDENCYPART_ARC
(10,3),0.437003 # DEPENDENCYPART_ARC
(10,4),-1.68917 # DEPENDENCYPART_ARC
(10,5),1.34282 # DEPENDENCYPART_ARC
(10,6),1.46384 # DEPENDENCYPART_ARC
(10,7),-0.621342 # DEPENDENCYPART_ARC
(10,8),-0.26209 # DEPENDENCYPART_ARC
(10,9),3.84806 # DEPENDENCYPART_ARC
(10,11),1.49019 # DEPENDENCYPART_ARC
(10,12),1.08031 # DEPENDENCYPART_ARC
(10,13),1.61639 # DEPENDENCYPART_ARC
(10,14),0.283261 # DEPENDENCYPART_ARC
(10,15),1.7069 # DEPENDENCYPART_ARC
(10,16),1.40411 # DEPENDENCYPART_ARC
(10,17),-0.148492 # DEPENDENCYPART_ARC
(10,18),0.421382 # DEPENDENCYPART_ARC
(10,19),0.894153 # DEPENDENCYPART_ARC
(10,20),0.842012 # DEPENDENCYPART_ARC
(10,21),-0.205298 # DEPENDENCYPART_ARC
(10,22),0.781222 # DEPENDENCYPART_ARC
(10,23),-0.430143 # DEPENDENCYPART_ARC
(11,1),-1.677 # DEPENDENCYPART_ARC
(11,2),-2.07682 # DEPENDENCYPART_ARC
(11,3),-2.90745 # DEPENDENCYPART_ARC
(11,4),-2.0421 # DEPENDENCYPART_ARC
(11,5),-2.00739 # DEPENDENCYPART_ARC
(11,6),-3.1848 # DEPENDENCYPART_ARC
(11,7),-2.97634 # DEPENDENCYPART_ARC
(11,8),-1.3691 # DEPENDENCYPART_ARC
(11,9),-1.82325 # DEPENDENCYPART_ARC
(11,10),-0.523269 # DEPENDENCYPART_ARC
(11,12),1.15547 # DEPENDENCYPART_ARC
(11,13),0.00211134 # DEPENDENCYPART_ARC
(11,14),-0.0591959 # DEPENDENCYPART_ARC
(11,15),-0.392493 # DEPENDENCYPART_ARC
(11,16),-0.617038 # DEPENDENCYPART_ARC
(11,17),-1.45636 # DEPENDENCYPART_ARC
(11,18),-0.749381 # DEPENDENCYPART_ARC
(11,19),-0.98937 # DEPENDENCYPART_ARC
(11,20),-0.636789 # DEPENDENCYPART_ARC
(11,21),-1.51884 # DEPENDENCYPART_ARC
(11,22),-0.906025 # DEPENDENCYPART_ARC
(11,23),-0.659406 # DEPENDENCYPART_ARC
(12,1),-1.57839 # DEPENDENCYPART_ARC
(12,2),-1.29793 # DEPENDENCYPART_ARC
(12,3),-1.79617 # DEPENDENCYPART_ARC
(12,4),-1.33033 # DEPENDENCYPART_ARC
(12,5),-1.34843 # DEPENDENCYPART_ARC
(12,6),-1.96077 # DEPENDENCYPART_ARC
(12,7),-1.84381 # DEPENDENCYPART_ARC
(12,8),-0.954685 # DEPENDENCYPART_ARC
(12,9),-1.37254 # DEPENDENCYPART_ARC
(12,10),-0.695636 # DEPENDENCYPART_ARC
(12,11),1.23175 # DEPENDENCYPART_ARC
(12,13),-0.179955 # DEPENDENCYPART_ARC
(12,14),-0.420818 # DEPENDENCYPART_ARC
(12,15),-1.51794 # DEPENDENCYPART_ARC
(12,16),-1.38617 # DEPENDENCYPART_ARC
(12,17),-1.68116 # DEPENDENCYPART_ARC
(12,18),-1.54676 # DEPENDENCYPART_ARC
(12,19),-1.88349 # DEPENDENCYPART_ARC
(12,20),-1.96661 # DEPENDENCYPART_ARC
(12,21),-1.83827 # DEPENDENCYPART_ARC
(12,22),-1.95632 # DEPENDENCYPART_ARC
(12,23),-0.697394 # DEPENDENCYPART_ARC
(13,1),-1.62634 # DEPENDENCYPART_ARC
(13,2),-1.24908 # DEPENDENCYPART_ARC
(13,3),-1.15114 # DEPENDENCYPART_ARC
(13,4),-2.04093 # DEPENDENCYPART_ARC
(13,5),0.382134 # DEPENDENCYPART_ARC
(13,6),0.740859 # DEPENDENCYPART_ARC
(13,7),-0.731176 # DEPENDENCYPART_ARC
(13,8),-1.22051 # DEPENDENCYPART_ARC
(13,9),1.81301 # DEPENDENCYPART_ARC
(13,10),1.76993 # DEPENDENCYPART_ARC
(13,11),1.35358 # DEPENDENCYPART_ARC
(13,12),1.74841 # DEPENDENCYPART_ARC
(13,14),1.89906 # DEPENDENCYPART_ARC
(13,15),2.20309 # DEPENDENCYPART_ARC
(13,16),0.711868 # DEPENDENCYPART_ARC
(13,17),-1.31772 # DEPENDENCYPART_ARC
(13,18),0.256553 # DEPENDENCYPART_ARC
(13,19),-0.080958 # DEPENDENCYPART_ARC
(13,20),0.272645 # DEPENDENCYPART_ARC
(13,21),-1.88739 # DEPENDENCYPART_ARC
(13,22),-0.020927 # DEPENDENCYPART_ARC
(13,23),-0.339306 # DEPENDENCYPART_ARC
(14,1),-1.88936 # DEPENDENCYPART_ARC
(14,2),-1.70336 # DEPENDENCYPART_ARC
(14,3),-2.33184 # DEPENDENCYPART_ARC
(14,4),-1.79027 # DEPENDENCYPART_ARC
(14,5),-1.83908 # DEPENDENCYPART_ARC
(14,6),-2.55509 # DEPENDENCYPART_ARC
(14,7),-2.50976 # DEPENDENCYPART_ARC
(14,8),-1.69041 # DEPENDENCYPART_ARC
(14,9),-2.27838 # DEPENDENCYPART_ARC
(14,10),-2.18489 # DEPENDENCYPART_ARC
(14,11),-0.861053 # DEPENDENCYPART_ARC
(14,12),-0.79931 # DEPENDENCYPART_ARC
(14,13),-0.300356 # DEPENDENCYPART_ARC
(14,15),-0.762702 # DEPENDENCYPART_ARC
(14,16),-0.939341 # DEPENDENCYPART_ARC
(14,17),-1.47578 # DEPENDENCYPART_ARC
(14,18),-1.44777 # DEPENDENCYPART_ARC
(14,19),-1.76636 # DEPENDENCYPART_ARC
(14,20),-2.00062 # DEPENDENCYPART_ARC
(14,21),-1.81229 # DEPENDENCYPART_ARC
(14,22),-1.98275 # DEPENDENCYPART_ARC
(14,23),-0.574948 # DEPENDENCYPART_ARC
(15,1),-1.0605 # DEPENDENCYPART_ARC
(15,2),-0.890157 # DEPENDENCYPART_ARC
(15,3),-1.17115 # DEPENDENCYPART_ARC
(15,4),-1.21375 # DEPENDENCYPART_ARC
(15,5),-0.852588 # DEPENDENCYPART_ARC
(15,6),-1.51333 # DEPENDENCYPART_ARC
(15,7),-1.50184 # DEPENDENCYPART_ARC
(15,8),-0.951073 # DEPENDENCYPART_ARC
(15,9),-1.30066 # DEPENDENCYPART_ARC
(15,10),-1.23145 # DEPENDENCYPART_ARC
(15,11),-0.413687 # DEPENDENCYPART_ARC
(15,12),-0.159229 # DEPENDENCYPART_ARC
(15,13),-0.0858977 # DEPENDENCYPART_ARC
(15,14),1.22552 # DEPENDENCYPART_ARC
(15,16),3.5976 # DEPENDENCYPART_ARC
(15,17),0.232979 # DEPENDENCYPART_ARC
(15,18),0.240617 # DEPENDENCYPART_ARC
(15,19),0.490194 # DEPENDENCYPART_ARC
(15,20),-0.382037 # DEPENDENCYPART_ARC
(15,21),-0.544046 # DEPENDENCYPART_ARC
(15,22),-1.49035 # DEPENDENCYPART_ARC
(15,23),-0.508421 # DEPENDENCYPART_ARC
(16,1),-3.28643 # DEPENDENCYPART_ARC
(16,2),-1.95146 # DEPENDENCYPART_ARC
(16,3),-2.15138 # DEPENDENCYPART_ARC
(16,4),-3.76576 # DEPENDENCYPART_ARC
(16,5),-1.24631 # DEPENDENCYPART_ARC
(16,6),-0.699899 # DEPENDENCYPART_ARC
(16,7),-2.57781 # DEPENDENCYPART_ARC
(16,8),-3.227 # DEPENDENCYPART_ARC
(16,9),-0.427481 # DEPENDENCYPART_ARC
(16,10),-1.65806 # DEPENDENCYPART_ARC
(16,11),-1.06866 # DEPENDENCYPART_ARC
(16,12),-1.89292 # DEPENDENCYPART_ARC
(16,13),-1.06734 # DEPENDENCYPART_ARC
(16,14),-0.7895 # DEPENDENCYPART_ARC
(16,15),1.19761 # DEPENDENCYPART_ARC
(16,17),1.38786 # DEPENDENCYPART_ARC
(16,18),1.3924 # DEPENDENCYPART_ARC
(16,19),2.41732 # DEPENDENCYPART_ARC
(16,20),1.30717 # DEPENDENCYPART_ARC
(16,21),-0.0525543 # DEPENDENCYPART_ARC
(16,22),1.61435 # DEPENDENCYPART_ARC
(16,23),-0.0846552 # DEPENDENCYPART_ARC
(17,1),-1.79223 # DEPENDENCYPART_ARC
(17,2),-2.67941 # DEPENDENCYPART_ARC
(17,3),-3.4538 # DEPENDENCYPART_ARC
(17,4),-2.20677 # DEPENDENCYPART_ARC
(17,5),-2.62595 # DEPENDENCYPART_ARC
(17,6),-3.30264 # DEPENDENCYPART_ARC
(17,7),-3.40276 # DEPENDENCYPART_ARC
(17,8),-2.18469 # DEPENDENCYPART_ARC
(17,9),-3.64417 # DEPENDENCYPART_ARC
(17,10),-2.86444 # DEPENDENCYPART_ARC
(17,11),-1.96011 # DEPENDENCYPART_ARC
(17,12),-1.40862 # DEPENDENCYPART_ARC
(17,13),-2.97248 # DEPENDENCYPART_ARC
(17,14),-0.95649 # DEPENDENCYPART_ARC
(17,15),-1.06771 # DEPENDENCYPART_ARC
(17,16),-0.751226 # DEPENDENCYPART_ARC
(17,18),0.373138 # DEPENDENCYPART_ARC
(17,19),0.136704 # DEPENDENCYPART_ARC
(17,20),-0.0330203 # DEPENDENCYPART_ARC
(17,21),-1.25253 # DEPENDENCYPART_ARC
(17,22),-1.02692 # DEPENDENCYPART_ARC
(17,23),-0.504112 # DEPENDENCYPART_ARC
(18,1),-1.41867 # DEPENDENCYPART_ARC
(18,2),-0.861747 # DEPENDENCYPART_ARC
(18,3),-2.21475 # DEPENDENCYPART_ARC
(18,4),-1.58519 # DEPENDENCYPART_ARC
(18,5),-1.32251 # DEPENDENCYPART_ARC
(18,6),-1.95917 # DEPENDENCYPART_ARC
(18,7),-2.09052 # DEPENDENCYPART_ARC
(18,8),-1.47802 # DEPENDENCYPART_ARC
(18,9),-1.95005 # DEPENDENCYPART_ARC
(18,10),-1.88833 # DEPENDENCYPART_ARC
(18,11),-0.364698 # DEPENDENCYPART_ARC
(18,12),-1.06074 # DEPENDENCYPART_ARC
(18,13),-1.65359 # DEPENDENCYPART_ARC
(18,14),-0.80263 # DEPENDENCYPART_ARC
(18,15),-0.294314 # DEPENDENCYPART_ARC
(18,16),-0.452986 # DEPENDENCYPART_ARC
(18,17),2.15931 # DEPENDENCYPART_ARC
(18,19),1.37926 # DEPENDENCYPART_ARC
(18,20),0.452856 # DEPENDENCYPART_ARC
(18,21),-0.124515 # DEPENDENCYPART_ARC
(18,22),-0.051794 # DEPENDENCYPART_ARC
(18,23),-0.163767 # DEPENDENCYPART_ARC
(19,1),-1.52976 # DEPENDENCYPART_ARC
(19,2),-2.77092 # DEPENDENCYPART_ARC
(19,3),-2.79603 # DEPENDENCYPART_ARC
(19,4),-2.23929 # DEPENDENCYPART_ARC
(19,5),-1.31517 # DEPENDENCYPART_ARC
(19,6),-1.94394 # DEPENDENCYPART_ARC
(19,7),-1.47622 # DEPENDENCYPART_ARC
(19,8),-2.20903 # DEPENDENCYPART_ARC
(19,9),-2.20308 # DEPENDENCYPART_ARC
(19,10),-1.79393 # DEPENDENCYPART_ARC
(19,11),-0.399183 # DEPENDENCYPART_ARC
(19,12),-0.501013 # DEPENDENCYPART_ARC
(19,13),-0.579336 # DEPENDENCYPART_ARC
(19,14),-0.173033 # DEPENDENCYPART_ARC
(19,15),0.786375 # DEPENDENCYPART_ARC
(19,16),-0.514709 # DEPENDENCYPART_ARC
(19,17),3.92762 # DEPENDENCYPART_ARC
(19,18),2.73745 # DEPENDENCYPART_ARC
(19,20),2.18596 # DEPENDENCYPART_ARC
(19,21),0.134213 # DEPENDENCYPART_ARC
(19,22),0.626857 # DEPENDENCYPART_ARC
(19,23),0.133181 # DEPENDENCYPART_ARC
(20,1),-2.34217 # DEPENDENCYPART_ARC
(20,2),-2.07754 # DEPENDENCYPART_ARC
(20,3),-2.20421 # DEPENDENCYPART_ARC
(20,4),-2.4009 # DEPENDENCYPART_ARC
(20,5),-2.12816 # DEPENDENCYPART_ARC
(20,6),-2.6504 # DEPENDENCYPART_ARC
(20,7),-2.56804 # DEPENDENCYPART_ARC
(20,8),-2.31955 # DEPENDENCYPART_ARC
(20,9),-2.63325 # DEPENDENCYPART_ARC
(20,10),-2.48961 # DEPENDENCYPART_ARC
(20,11),-1.887 # DEPENDENCYPART_ARC
(20,12),-2.1629 # DEPENDENCYPART_ARC
(20,13),-2.34604 # DEPENDENCYPART_ARC
(20,14),-2.11952 # DEPENDENCYPART_ARC
(20,15),-1.17388 # DEPENDENCYPART_ARC
(20,16),-2.05375 # DEPENDENCYPART_ARC
(20,17),-1.06029 # DEPENDENCYPART_ARC
(20,18),-0.91447 # DEPENDENCYPART_ARC
(20,19),-0.105939 # DEPENDENCYPART_ARC
(20,21),0.659224 # DEPENDENCYPART_ARC
(20,22),3.28737 # DEPENDENCYPART_ARC
(20,23),-0.258789 # DEPENDENCYPART_ARC
(21,1),-2.01878 # DEPENDENCYPART_ARC
(21,2),-2.45745 # DEPENDENCYPART_ARC
(21,3),-3.08 # DEPENDENCYPART_ARC
(21,4),-2.6772 # DEPENDENCYPART_ARC
(21,5),-2.76464 # DEPENDENCYPART_ARC
(21,6),-3.97857 # DEPENDENCYPART_ARC
(21,7),-4.09243 # DEPENDENCYPART_ARC
(21,8),-2.57403 # DEPENDENCYPART_ARC
(21,9),-3.44758 # DEPENDENCYPART_ARC
(21,10),-3.3408 # DEPENDENCYPART_ARC
(21,11),-2.53984 # DEPENDENCYPART_ARC
(21,12),-1.95041 # DEPENDENCYPART_ARC
(21,13),-3.84301 # DEPENDENCYPART_ARC
(21,14),-1.8539 # DEPENDENCYPART_ARC
(21,15),-2.32996 # DEPENDENCYPART_ARC
(21,16),-2.98623 # DEPENDENCYPART_ARC
(21,17),-2.30819 # DEPENDENCYPART_ARC
(21,18),-1.72726 # DEPENDENCYPART_ARC
(21,19),-2.31578 # DEPENDENCYPART_ARC
(21,20),-0.515655 # DEPENDENCYPART_ARC
(21,22),1.20679 # DEPENDENCYPART_ARC
(21,23),-0.183646 # DEPENDENCYPART_ARC
(22,1),-2.69618 # DEPENDENCYPART_ARC
(22,2),-3.05491 # DEPENDENCYPART_ARC
(22,3),-3.54759 # DEPENDENCYPART_ARC
(22,4),-3.16032 # DEPENDENCYPART_ARC
(22,5),-1.60128 # DEPENDENCYPART_ARC
(22,6),-2.44687 # DEPENDENCYPART_ARC
(22,7),-2.05652 # DEPENDENCYPART_ARC
(22,8),-3.19389 # DEPENDENCYPART_ARC
(22,9),-1.58612 # DEPENDENCYPART_ARC
(22,10),-2.35981 # DEPENDENCYPART_ARC
(22,11),-1.864 # DEPENDENCYPART_ARC
(22,12),-1.71095 # DEPENDENCYPART_ARC
(22,13),-1.06431 # DEPENDENCYPART_ARC
(22,14),-1.5595 # DEPENDENCYPART_ARC
(22,15),-0.441647 # DEPENDENCYPART_ARC
(22,16),-1.67151 # DEPENDENCYPART_ARC
(22,17),-0.339772 # DEPENDENCYPART_ARC
(22,18),-0.420691 # DEPENDENCYPART_ARC
(22,19),-1.00065 # DEPENDENCYPART_ARC
(22,20),0.411587 # DEPENDENCYPART_ARC
(22,21),3.44101 # DEPENDENCYPART_ARC
(22,23),2.6845 # DEPENDENCYPART_ARC
(23,1),-2.70987 # DEPENDENCYPART_ARC
(23,2),-2.4414 # DEPENDENCYPART_ARC
