# _root_ La vita di Dian Fossey , che per i suoi studi aveva abbandonato una comoda esistenza , è tuttora avvolta da molti aspetti misteriosi .
#goldHeads=2,20,2,5,3,5,13,13,11,11,8,13,5,16,16,13,16,20,20,0,20,23,21,23,24,
#predictedHeads=2,13,2,5,3,5,13,13,11,11,8,13,0,16,16,13,16,20,20,16,20,23,21,23,24,
(1,22),-1.83445 # DEPENDENCYPART_ARC
(1,23),-1.51045 # DEPENDENCYPART_ARC
(1,24),-2.91911 # DEPENDENCYPART_ARC
(1,25),-1.69792 # DEPENDENCYPART_ARC
(2,1),3.63809 # DEPENDENCYPART_ARC
(2,3),2.88242 # DEPENDENCYPART_ARC
(2,4),1.30433 # DEPENDENCYPART_ARC
(2,5),1.44005 # DEPENDENCYPART_ARC
(2,6),0.565506 # DEPENDENCYPART_ARC
(2,7),-0.781997 # DEPENDENCYPART_ARC
(2,8),-0.00469505 # DEPENDENCYPART_ARC
(2,9),-0.55468 # DEPENDENCYPART_ARC
(2,10),-1.32178 # DEPENDENCYPART_ARC
(2,11),-0.138917 # DEPENDENCYPART_ARC
(2,12),0.819333 # DEPENDENCYPART_ARC
(2,13),0.148416 # DEPENDENCYPART_ARC
(2,14),-0.472514 # DEPENDENCYPART_ARC
(2,15),-0.687736 # DEPENDENCYPART_ARC
(2,16),-0.836983 # DEPENDENCYPART_ARC
(2,17),-0.224375 # DEPENDENCYPART_ARC
(2,18),-0.0479343 # DEPENDENCYPART_ARC
(2,19),-1.24354 # DEPENDENCYPART_ARC
(2,20),0.305036 # DEPENDENCYPART_ARC
(2,21),-1.24395 # DEPENDENCYPART_ARC
(2,22),-1.18624 # DEPENDENCYPART_ARC
(2,23),-2.00093 # DEPENDENCYPART_ARC
(2,24),-2.67937 # DEPENDENCYPART_ARC
(2,25),-3.54923 # DEPENDENCYPART_ARC
(3,1),-0.872 # DEPENDENCYPART_ARC
(3,2),-0.681139 # DEPENDENCYPART_ARC
(3,4),3.61342 # DEPENDENCYPART_ARC
(3,5),2.34303 # DEPENDENCYPART_ARC
(3,6),0.125843 # DEPENDENCYPART_ARC
(3,7),-1.24034 # DEPENDENCYPART_ARC
(3,8),-0.862562 # DEPENDENCYPART_ARC
(3,9),-1.25653 # DEPENDENCYPART_ARC
(3,10),-0.704629 # DEPENDENCYPART_ARC
(3,11),-1.67534 # DEPENDENCYPART_ARC
(3,12),-1.61385 # DEPENDENCYPART_ARC
(3,13),-1.70532 # DEPENDENCYPART_ARC
(3,14),-1.69095 # DEPENDENCYPART_ARC
(3,15),-1.31993 # DEPENDENCYPART_ARC
(3,16),-4.14244 # DEPENDENCYPART_ARC
(3,17),-1.19164 # DEPENDENCYPART_ARC
(3,18),-3.4787 # DEPENDENCYPART_ARC
(3,19),-1.8685 # DEPENDENCYPART_ARC
(3,20),-3.20992 # DEPENDENCYPART_ARC
(3,21),-2.97115 # DEPENDENCYPART_ARC
(3,22),-1.43014 # DEPENDENCYPART_ARC
(3,23),-6.52591 # DEPENDENCYPART_ARC
(3,24),-1.77272 # DEPENDENCYPART_ARC
(3,25),-2.68754 # DEPENDENCYPART_ARC
(4,1),0.155337 # DEPENDENCYPART_ARC
(4,2),-2.69877 # DEPENDENCYPART_ARC
(4,3),0.265515 # DEPENDENCYPART_ARC
(4,5),2.16766 # DEPENDENCYPART_ARC
(4,6),-0.356216 # DEPENDENCYPART_ARC
(4,7),-1.53477 # DEPENDENCYPART_ARC
(4,8),-0.945191 # DEPENDENCYPART_ARC
(4,9),-1.33757 # DEPENDENCYPART_ARC
(4,10),-1.35165 # DEPENDENCYPART_ARC
(4,11),-1.14409 # DEPENDENCYPART_ARC
(4,12),-1.00313 # DEPENDENCYPART_ARC
(4,13),-0.31033 # DEPENDENCYPART_ARC
(4,14),-1.43562 # DEPENDENCYPART_ARC
(4,15),-2.27507 # DEPENDENCYPART_ARC
(4,16),-1.91169 # DEPENDENCYPART_ARC
(4,17),-1.32059 # DEPENDENCYPART_ARC
(4,18),-1.7187 # DEPENDENCYPART_ARC
(4,19),-2.38408 # DEPENDENCYPART_ARC
(4,20),-1.36255 # DEPENDENCYPART_ARC
(4,21),-2.08549 # DEPENDENCYPART_ARC
(4,22),-2.07437 # DEPENDENCYPART_ARC
(4,23),-3.1157 # DEPENDENCYPART_ARC
(4,24),-2.5052 # DEPENDENCYPART_ARC
(4,25),-4.47833 # DEPENDENCYPART_ARC
(5,1),0.928568 # DEPENDENCYPART_ARC
(5,2),-1.15109 # DEPENDENCYPART_ARC
(5,3),1.13633 # DEPENDENCYPART_ARC
(5,4),4.98162 # DEPENDENCYPART_ARC
(5,6),2.75052 # DEPENDENCYPART_ARC
(5,7),-0.183774 # DEPENDENCYPART_ARC
(5,8),0.0720869 # DEPENDENCYPART_ARC
(5,9),-0.151192 # DEPENDENCYPART_ARC
(5,10),-0.343012 # DEPENDENCYPART_ARC
(5,11),0.237949 # DEPENDENCYPART_ARC
(5,12),0.00502487 # DEPENDENCYPART_ARC
(5,13),0.565052 # DEPENDENCYPART_ARC
(5,14),-0.380879 # DEPENDENCYPART_ARC
(5,15),-1.39246 # DEPENDENCYPART_ARC
(5,16),-0.347834 # DEPENDENCYPART_ARC
(5,17),0.386611 # DEPENDENCYPART_ARC
(5,18),-0.720718 # DEPENDENCYPART_ARC
(5,19),-1.14877 # DEPENDENCYPART_ARC
(5,20),-0.240061 # DEPENDENCYPART_ARC
(5,21),-1.11246 # DEPENDENCYPART_ARC
(5,22),-0.892521 # DEPENDENCYPART_ARC
(5,23),-1.38898 # DEPENDENCYPART_ARC
(5,24),-2.01226 # DEPENDENCYPART_ARC
(5,25),-2.54253 # DEPENDENCYPART_ARC
(6,1),-1.36447 # DEPENDENCYPART_ARC
(6,2),-1.8271 # DEPENDENCYPART_ARC
(6,3),-0.882038 # DEPENDENCYPART_ARC
(6,4),-1.30131 # DEPENDENCYPART_ARC
(6,5),-0.435572 # DEPENDENCYPART_ARC
(6,7),-0.101393 # DEPENDENCYPART_ARC
(6,8),-0.990323 # DEPENDENCYPART_ARC
(6,9),-0.898024 # DEPENDENCYPART_ARC
(6,10),-1.16228 # DEPENDENCYPART_ARC
(6,11),-1.21735 # DEPENDENCYPART_ARC
(6,12),-1.04354 # DEPENDENCYPART_ARC
(6,13),-1.29866 # DEPENDENCYPART_ARC
(6,14),-1.55352 # DEPENDENCYPART_ARC
(6,15),-1.85292 # DEPENDENCYPART_ARC
(6,16),-1.73178 # DEPENDENCYPART_ARC
(6,17),-0.546974 # DEPENDENCYPART_ARC
(6,18),-1.6273 # DEPENDENCYPART_ARC
(6,19),-1.96549 # DEPENDENCYPART_ARC
(6,20),-1.66411 # DEPENDENCYPART_ARC
(6,21),-1.96135 # DEPENDENCYPART_ARC
(6,22),-1.53359 # DEPENDENCYPART_ARC
(6,23),-1.90485 # DEPENDENCYPART_ARC
(6,24),-2.06868 # DEPENDENCYPART_ARC
(6,25),-1.15162 # DEPENDENCYPART_ARC
(7,1),-0.336218 # DEPENDENCYPART_ARC
(7,2),-1.86589 # DEPENDENCYPART_ARC
(7,3),-0.982492 # DEPENDENCYPART_ARC
(7,4),-0.979438 # DEPENDENCYPART_ARC
(7,5),-0.839776 # DEPENDENCYPART_ARC
(7,6),0.453912 # DEPENDENCYPART_ARC
(7,8),0.834079 # DEPENDENCYPART_ARC
(7,9),-0.0598255 # DEPENDENCYPART_ARC
(7,10),0.887412 # DEPENDENCYPART_ARC
(7,11),-0.137839 # DEPENDENCYPART_ARC
(7,12),-0.313659 # DEPENDENCYPART_ARC
(7,13),-0.486359 # DEPENDENCYPART_ARC
(7,14),-1.24663 # DEPENDENCYPART_ARC
(7,15),-0.377498 # DEPENDENCYPART_ARC
(7,16),-1.16306 # DEPENDENCYPART_ARC
(7,17),-0.145448 # DEPENDENCYPART_ARC
(7,18),-1.78117 # DEPENDENCYPART_ARC
(7,19),-1.33233 # DEPENDENCYPART_ARC
(7,20),-2.02641 # DEPENDENCYPART_ARC
(7,21),-1.83462 # DEPENDENCYPART_ARC
(7,22),-0.857432 # DEPENDENCYPART_ARC
(7,23),-1.38057 # DEPENDENCYPART_ARC
(7,24),-0.453278 # DEPENDENCYPART_ARC
(7,25),-1.50294 # DEPENDENCYPART_ARC
(8,1),-2.60907 # DEPENDENCYPART_ARC
(8,2),-2.90861 # DEPENDENCYPART_ARC
(8,3),-1.90917 # DEPENDENCYPART_ARC
(8,4),-2.59057 # DEPENDENCYPART_ARC
(8,5),-2.22055 # DEPENDENCYPART_ARC
(8,6),-1.94351 # DEPENDENCYPART_ARC
(8,7),-0.904991 # DEPENDENCYPART_ARC
(8,9),0.981389 # DEPENDENCYPART_ARC
(8,10),1.6239 # DEPENDENCYPART_ARC
(8,11),2.62701 # DEPENDENCYPART_ARC
(8,12),0.789451 # DEPENDENCYPART_ARC
(8,13),0.447105 # DEPENDENCYPART_ARC
(8,14),-0.553102 # DEPENDENCYPART_ARC
(8,15),0.0478891 # DEPENDENCYPART_ARC
(8,16),-0.429394 # DEPENDENCYPART_ARC
(8,17),0.195666 # DEPENDENCYPART_ARC
(8,18),-1.01866 # DEPENDENCYPART_ARC
(8,19),-0.856004 # DEPENDENCYPART_ARC
(8,20),-1.06712 # DEPENDENCYPART_ARC
(8,21),-1.29354 # DEPENDENCYPART_ARC
(8,22),-0.414764 # DEPENDENCYPART_ARC
(8,23),-2.53399 # DEPENDENCYPART_ARC
(8,24),-0.308594 # DEPENDENCYPART_ARC
(8,25),-0.832932 # DEPENDENCYPART_ARC
(9,1),-3.1513 # DEPENDENCYPART_ARC
(9,2),-3.79432 # DEPENDENCYPART_ARC
(9,3),-2.6985 # DEPENDENCYPART_ARC
(9,4),-3.35623 # DEPENDENCYPART_ARC
(9,5),-3.24563 # DEPENDENCYPART_ARC
(9,6),-1.98661 # DEPENDENCYPART_ARC
(9,7),-2.00593 # DEPENDENCYPART_ARC
(9,8),-0.861245 # DEPENDENCYPART_ARC
(9,10),0.190691 # DEPENDENCYPART_ARC
(9,11),0.0269372 # DEPENDENCYPART_ARC
(9,12),-0.802081 # DEPENDENCYPART_ARC
(9,13),-1.14998 # DEPENDENCYPART_ARC
(9,14),-1.77103 # DEPENDENCYPART_ARC
(9,15),-2.62622 # DEPENDENCYPART_ARC
(9,16),-1.54789 # DEPENDENCYPART_ARC
(9,17),-0.895976 # DEPENDENCYPART_ARC
(9,18),-1.42224 # DEPENDENCYPART_ARC
(9,19),-1.57198 # DEPENDENCYPART_ARC
(9,20),-2.15803 # DEPENDENCYPART_ARC
(9,21),-1.33088 # DEPENDENCYPART_ARC
(9,22),-1.35488 # DEPENDENCYPART_ARC
(9,23),-1.19739 # DEPENDENCYPART_ARC
(9,24),-2.00616 # DEPENDENCYPART_ARC
(9,25),-1.22241 # DEPENDENCYPART_ARC
(10,1),-1.6238 # DEPENDENCYPART_ARC
(10,2),-2.69756 # DEPENDENCYPART_ARC
(10,3),-1.08862 # DEPENDENCYPART_ARC
(10,4),-1.95289 # DEPENDENCYPART_ARC
(10,5),-1.7166 # DEPENDENCYPART_ARC
(10,6),-1.22408 # DEPENDENCYPART_ARC
(10,7),-0.135416 # DEPENDENCYPART_ARC
(10,8),0.140359 # DEPENDENCYPART_ARC
(10,9),1.4609 # DEPENDENCYPART_ARC
(10,11),1.0529 # DEPENDENCYPART_ARC
(10,12),-1.22841 # DEPENDENCYPART_ARC
(10,13),-0.433429 # DEPENDENCYPART_ARC
(10,14),-1.45915 # DEPENDENCYPART_ARC
(10,15),-0.98271 # DEPENDENCYPART_ARC
(10,16),-1.62211 # DEPENDENCYPART_ARC
(10,17),-1.09798 # DEPENDENCYPART_ARC
(10,18),-2.33071 # DEPENDENCYPART_ARC
(10,19),-1.64846 # DEPENDENCYPART_ARC
(10,20),-1.56968 # DEPENDENCYPART_ARC
(10,21),-1.57293 # DEPENDENCYPART_ARC
(10,22),-0.531297 # DEPENDENCYPART_ARC
(10,23),-1.20226 # DEPENDENCYPART_ARC
(10,24),-1.27496 # DEPENDENCYPART_ARC
(10,25),-1.72554 # DEPENDENCYPART_ARC
(11,1),-1.62029 # DEPENDENCYPART_ARC
(11,2),-2.18103 # DEPENDENCYPART_ARC
(11,3),-0.351072 # DEPENDENCYPART_ARC
(11,4),-0.377933 # DEPENDENCYPART_ARC
(11,5),-1.08822 # DEPENDENCYPART_ARC
(11,6),-1.31202 # DEPENDENCYPART_ARC
(11,7),-0.201763 # DEPENDENCYPART_ARC
(11,8),0.997263 # DEPENDENCYPART_ARC
(11,9),4.17857 # DEPENDENCYPART_ARC
(11,10),4.41392 # DEPENDENCYPART_ARC
(11,12),0.149212 # DEPENDENCYPART_ARC
(11,13),-0.414699 # DEPENDENCYPART_ARC
(11,14),-0.688316 # DEPENDENCYPART_ARC
(11,15),-1.64293 # DEPENDENCYPART_ARC
(11,16),-0.401657 # DEPENDENCYPART_ARC
(11,17),0.0971122 # DEPENDENCYPART_ARC
(11,18),-1.97255 # DEPENDENCYPART_ARC
(11,19),-1.1539 # DEPENDENCYPART_ARC
(11,20),-2.04919 # DEPENDENCYPART_ARC
(11,21),-0.686739 # DEPENDENCYPART_ARC
(11,22),-0.172639 # DEPENDENCYPART_ARC
(11,23),-0.945524 # DEPENDENCYPART_ARC
(11,24),-0.608477 # DEPENDENCYPART_ARC
(11,25),-1.93355 # DEPENDENCYPART_ARC
(12,1),-2.15419 # DEPENDENCYPART_ARC
(12,2),-0.935688 # DEPENDENCYPART_ARC
(12,3),-2.31934 # DEPENDENCYPART_ARC
(12,4),-0.780649 # DEPENDENCYPART_ARC
(12,5),-0.961495 # DEPENDENCYPART_ARC
(12,6),-2.70283 # DEPENDENCYPART_ARC
(12,7),-0.0277434 # DEPENDENCYPART_ARC
(12,8),-0.00752809 # DEPENDENCYPART_ARC
(12,9),-0.937584 # DEPENDENCYPART_ARC
(12,10),-0.931389 # DEPENDENCYPART_ARC
(12,11),-0.441861 # DEPENDENCYPART_ARC
(12,13),1.02192 # DEPENDENCYPART_ARC
(12,14),-1.962 # DEPENDENCYPART_ARC
(12,15),-0.469298 # DEPENDENCYPART_ARC
(12,16),0.0967093 # DEPENDENCYPART_ARC
(12,17),0.197752 # DEPENDENCYPART_ARC
(12,18),-0.42604 # DEPENDENCYPART_ARC
(12,19),-1.33 # DEPENDENCYPART_ARC
(12,20),-0.9634 # DEPENDENCYPART_ARC
(12,21),-1.0826 # DEPENDENCYPART_ARC
(12,22),-1.14137 # DEPENDENCYPART_ARC
(12,23),-1.37931 # DEPENDENCYPART_ARC
(12,24),-1.59112 # DEPENDENCYPART_ARC
(12,25),-1.94207 # DEPENDENCYPART_ARC
(13,1),-0.879382 # DEPENDENCYPART_ARC
(13,2),0.139571 # DEPENDENCYPART_ARC
(13,3),-0.796389 # DEPENDENCYPART_ARC
(13,4),0.66538 # DEPENDENCYPART_ARC
(13,5),0.360005 # DEPENDENCYPART_ARC
(13,6),-1.66746 # DEPENDENCYPART_ARC
(13,7),2.25751 # DEPENDENCYPART_ARC
(13,8),1.69319 # DEPENDENCYPART_ARC
(13,9),0.543901 # DEPENDENCYPART_ARC
(13,10),0.722895 # DEPENDENCYPART_ARC
(13,11),1.67262 # DEPENDENCYPART_ARC
(13,12),4.35946 # DEPENDENCYPART_ARC
(13,14),-0.141403 # DEPENDENCYPART_ARC
(13,15),0.916333 # DEPENDENCYPART_ARC
(13,16),2.13235 # DEPENDENCYPART_ARC
(13,17),1.42169 # DEPENDENCYPART_ARC
(13,18),1.05401 # DEPENDENCYPART_ARC
(13,19),0.202519 # DEPENDENCYPART_ARC
(13,20),0.786153 # DEPENDENCYPART_ARC
(13,21),0.724684 # DEPENDENCYPART_ARC
(13,22),-0.653941 # DEPENDENCYPART_ARC
(13,23),0.314379 # DEPENDENCYPART_ARC
(13,24),-1.37095 # DEPENDENCYPART_ARC
(13,25),-0.379681 # DEPENDENCYPART_ARC
(14,1),-1.67526 # DEPENDENCYPART_ARC
(14,2),-2.17785 # DEPENDENCYPART_ARC
(14,3),-2.08582 # DEPENDENCYPART_ARC
(14,4),-2.44055 # DEPENDENCYPART_ARC
(14,5),-2.43047 # DEPENDENCYPART_ARC
(14,6),-1.76475 # DEPENDENCYPART_ARC
(14,7),-1.72595 # DEPENDENCYPART_ARC
(14,8),-1.62264 # DEPENDENCYPART_ARC
(14,9),-1.83466 # DEPENDENCYPART_ARC
(14,10),-1.93496 # DEPENDENCYPART_ARC
(14,11),-1.92588 # DEPENDENCYPART_ARC
(14,12),-1.51469 # DEPENDENCYPART_ARC
(14,13),-0.975501 # DEPENDENCYPART_ARC
(14,15),0.328382 # DEPENDENCYPART_ARC
(14,16),0.296345 # DEPENDENCYPART_ARC
(14,17),-0.0896396 # DEPENDENCYPART_ARC
(14,18),-0.331257 # DEPENDENCYPART_ARC
(14,19),-0.995564 # DEPENDENCYPART_ARC
(14,20),-0.484911 # DEPENDENCYPART_ARC
(14,21),-0.739075 # DEPENDENCYPART_ARC
(14,22),-1.27811 # DEPENDENCYPART_ARC
(14,23),-1.27128 # DEPENDENCYPART_ARC
(14,24),-2.29855 # DEPENDENCYPART_ARC
(14,25),-0.858072 # DEPENDENCYPART_ARC
(15,1),-1.01414 # DEPENDENCYPART_ARC
(15,2),-1.78013 # DEPENDENCYPART_ARC
(15,3),-1.3562 # DEPENDENCYPART_ARC
(15,4),-1.91397 # DEPENDENCYPART_ARC
(15,5),-1.73758 # DEPENDENCYPART_ARC
(15,6),-1.55317 # DEPENDENCYPART_ARC
(15,7),-0.330493 # DEPENDENCYPART_ARC
(15,8),-0.703096 # DEPENDENCYPART_ARC
(15,9),-1.3072 # DEPENDENCYPART_ARC
(15,10),-1.31375 # DEPENDENCYPART_ARC
(15,11),-1.40657 # DEPENDENCYPART_ARC
(15,12),-1.402 # DEPENDENCYPART_ARC
(15,13),-1.3755 # DEPENDENCYPART_ARC
(15,14),1.44582 # DEPENDENCYPART_ARC
(15,16),1.08574 # DEPENDENCYPART_ARC
(15,17),0.326968 # DEPENDENCYPART_ARC
(15,18),-0.605184 # DEPENDENCYPART_ARC
(15,19),-0.674748 # DEPENDENCYPART_ARC
(15,20),0.316537 # DEPENDENCYPART_ARC
(15,21),-0.6691 # DEPENDENCYPART_ARC
(15,22),-0.364788 # DEPENDENCYPART_ARC
(15,23),-0.816209 # DEPENDENCYPART_ARC
(15,24),-1.74396 # DEPENDENCYPART_ARC
(15,25),-0.671516 # DEPENDENCYPART_ARC
(16,1),-2.10561 # DEPENDENCYPART_ARC
(16,2),-2.52423 # DEPENDENCYPART_ARC
(16,3),-1.55733 # DEPENDENCYPART_ARC
(16,4),-1.05714 # DEPENDENCYPART_ARC
(16,5),-2.51707 # DEPENDENCYPART_ARC
(16,6),-2.33667 # DEPENDENCYPART_ARC
(16,7),-0.890713 # DEPENDENCYPART_ARC
(16,8),-0.731772 # DEPENDENCYPART_ARC
(16,9),-0.602443 # DEPENDENCYPART_ARC
(16,10),0.372087 # DEPENDENCYPART_ARC
(16,11),-1.36082 # DEPENDENCYPART_ARC
(16,12),-1.19082 # DEPENDENCYPART_ARC
(16,13),-0.730161 # DEPENDENCYPART_ARC
(16,14),3.19497 # DEPENDENCYPART_ARC
(16,15),4.10539 # DEPENDENCYPART_ARC
(16,17),2.45422 # DEPENDENCYPART_ARC
(16,18),0.441855 # DEPENDENCYPART_ARC
(16,19),-0.0563413 # DEPENDENCYPART_ARC
(16,20),1.19978 # DEPENDENCYPART_ARC
(16,21),-0.222278 # DEPENDENCYPART_ARC
(16,22),-0.352451 # DEPENDENCYPART_ARC
(16,23),-0.609338 # DEPENDENCYPART_ARC
(16,24),-1.3973 # DEPENDENCYPART_ARC
(16,25),-0.634542 # DEPENDENCYPART_ARC
(17,1),-2.43524 # DEPENDENCYPART_ARC
(17,2),-2.95534 # DEPENDENCYPART_ARC
(17,3),-2.43498 # DEPENDENCYPART_ARC
(17,4),-2.80955 # DEPENDENCYPART_ARC
(17,5),-2.87856 # DEPENDENCYPART_ARC
(17,6),-2.55571 # DEPENDENCYPART_ARC
(17,7),-2.46122 # DEPENDENCYPART_ARC
(17,8),-2.19414 # DEPENDENCYPART_ARC
(17,9),-2.29513 # DEPENDENCYPART_ARC
(17,10),-2.58912 # DEPENDENCYPART_ARC
(17,11),-2.62832 # DEPENDENCYPART_ARC
(17,12),-2.88028 # DEPENDENCYPART_ARC
(17,13),-2.71336 # DEPENDENCYPART_ARC
(17,14),-1.31251 # DEPENDENCYPART_ARC
(17,15),-1.59263 # DEPENDENCYPART_ARC
(17,16),-0.968366 # DEPENDENCYPART_ARC
(17,18),-1.37548 # DEPENDENCYPART_ARC
(17,19),-2.62486 # DEPENDENCYPART_ARC
(17,20),-2.48064 # DEPENDENCYPART_ARC
(17,21),-2.9916 # DEPENDENCYPART_ARC
(17,22),-2.81959 # DEPENDENCYPART_ARC
(17,23),-3.13476 # DEPENDENCYPART_ARC
(17,24),-3.33525 # DEPENDENCYPART_ARC
(17,25),-2.06328 # DEPENDENCYPART_ARC
(18,1),-2.36414 # DEPENDENCYPART_ARC
(18,2),-0.511648 # DEPENDENCYPART_ARC
(18,3),-2.47213 # DEPENDENCYPART_ARC
(18,4),-0.910533 # DEPENDENCYPART_ARC
(18,5),-0.830998 # DEPENDENCYPART_ARC
(18,6),-3.2014 # DEPENDENCYPART_ARC
(18,7),-0.127905 # DEPENDENCYPART_ARC
(18,8),0.308966 # DEPENDENCYPART_ARC
(18,9),-1.93279 # DEPENDENCYPART_ARC
(18,10),-1.75636 # DEPENDENCYPART_ARC
(18,11),-1.28244 # DEPENDENCYPART_ARC
(18,12),-1.83638 # DEPENDENCYPART_ARC
(18,13),-1.22319 # DEPENDENCYPART_ARC
(18,14),-1.43154 # DEPENDENCYPART_ARC
(18,15),-0.423928 # DEPENDENCYPART_ARC
(18,16),0.226833 # DEPENDENCYPART_ARC
(18,17),-0.586305 # DEPENDENCYPART_ARC
(18,19),1.20333 # DEPENDENCYPART_ARC
(18,20),0.962836 # DEPENDENCYPART_ARC
(18,21),0.753633 # DEPENDENCYPART_ARC
(18,22),-0.104233 # DEPENDENCYPART_ARC
(18,23),0.38933 # DEPENDENCYPART_ARC
(18,24),0.0241466 # DEPENDENCYPART_ARC
(18,25),-0.685853 # DEPENDENCYPART_ARC
(19,1),-1.08502 # DEPENDENCYPART_ARC
(19,2),-2.14867 # DEPENDENCYPART_ARC
(19,3),-1.2201 # DEPENDENCYPART_ARC
(19,4),-2.10697 # DEPENDENCYPART_ARC
(19,5),-2.11102 # DEPENDENCYPART_ARC
(19,6),-1.4719 # DEPENDENCYPART_ARC
(19,7),-1.49634 # DEPENDENCYPART_ARC
(19,8),-1.15328 # DEPENDENCYPART_ARC
(19,9),-0.899854 # DEPENDENCYPART_ARC
(19,10),-1.46723 # DEPENDENCYPART_ARC
(19,11),-1.81825 # DEPENDENCYPART_ARC
(19,12),-1.90279 # DEPENDENCYPART_ARC
(19,13),-1.90124 # DEPENDENCYPART_ARC
(19,14),-0.583624 # DEPENDENCYPART_ARC
(19,15),-1.02568 # DEPENDENCYPART_ARC
(19,16),-1.03253 # DEPENDENCYPART_ARC
(19,17),-0.264927 # DEPENDENCYPART_ARC
(19,18),0.15479 # DEPENDENCYPART_ARC
(19,20),0.499222 # DEPENDENCYPART_ARC
(19,21),-0.524638 # DEPENDENCYPART_ARC
(19,22),-0.65502 # DEPENDENCYPART_ARC
(19,23),-0.777766 # DEPENDENCYPART_ARC
(19,24),-0.926045 # DEPENDENCYPART_ARC
(19,25),-0.831479 # DEPENDENCYPART_ARC
(20,1),-1.11797 # DEPENDENCYPART_ARC
(20,2),-0.36532 # DEPENDENCYPART_ARC
(20,3),-1.58344 # DEPENDENCYPART_ARC
(20,4),-0.364306 # DEPENDENCYPART_ARC
(20,5),-0.233006 # DEPENDENCYPART_ARC
(20,6),-2.34795 # DEPENDENCYPART_ARC
(20,7),0.855117 # DEPENDENCYPART_ARC
(20,8),1.11885 # DEPENDENCYPART_ARC
(20,9),-1.1438 # DEPENDENCYPART_ARC
(20,10),-0.761986 # DEPENDENCYPART_ARC
(20,11),-0.44048 # DEPENDENCYPART_ARC
(20,12),0.256606 # DEPENDENCYPART_ARC
(20,13),-1.21948 # DEPENDENCYPART_ARC
(20,14),-0.527226 # DEPENDENCYPART_ARC
(20,15),0.211944 # DEPENDENCYPART_ARC
(20,16),1.00127 # DEPENDENCYPART_ARC
(20,17),-1.02342 # DEPENDENCYPART_ARC
(20,18),3.44061 # DEPENDENCYPART_ARC
(20,19),2.74482 # DEPENDENCYPART_ARC
(20,21),2.40079 # DEPENDENCYPART_ARC
(20,22),0.145336 # DEPENDENCYPART_ARC
(20,23),0.418365 # DEPENDENCYPART_ARC
(20,24),-0.838864 # DEPENDENCYPART_ARC
(20,25),-0.337055 # DEPENDENCYPART_ARC
(21,1),-2.15208 # DEPENDENCYPART_ARC
(21,2),-2.45734 # DEPENDENCYPART_ARC
(21,3),-2.03508 # DEPENDENCYPART_ARC
