# _root_ E Pietro Pastorini ieri lacrimava la sua gioia con pudore , asciugando- si gli occhi come ci si asciuga il sudore , " perché oggi a me sembra di volare .
#goldHeads=5,3,5,5,0,8,8,5,5,9,10,5,12,15,12,12,19,19,16,21,19,21,24,5,28,28,26,24,28,29,30,
#predictedHeads=5,3,5,5,0,8,8,5,8,9,10,19,12,15,12,5,19,19,16,21,19,21,24,19,28,28,26,24,28,29,30,
(3,27),-0.688673 # DEPENDENCYPART_ARC
(3,28),-0.372947 # DEPENDENCYPART_ARC
(3,29),-2.83767 # DEPENDENCYPART_ARC
(3,30),-0.66193 # DEPENDENCYPART_ARC
(3,31),-3.26018 # DEPENDENCYPART_ARC
(4,1),-0.45448 # DEPENDENCYPART_ARC
(4,2),-0.96167 # DEPENDENCYPART_ARC
(4,3),-0.0367712 # DEPENDENCYPART_ARC
(4,5),0.761971 # DEPENDENCYPART_ARC
(4,6),-0.328638 # DEPENDENCYPART_ARC
(4,7),-0.530624 # DEPENDENCYPART_ARC
(4,8),-0.558264 # DEPENDENCYPART_ARC
(4,9),-0.874344 # DEPENDENCYPART_ARC
(4,10),-0.883686 # DEPENDENCYPART_ARC
(4,11),-0.538543 # DEPENDENCYPART_ARC
(4,12),-1.02871 # DEPENDENCYPART_ARC
(4,13),-1.27566 # DEPENDENCYPART_ARC
(4,14),-0.897218 # DEPENDENCYPART_ARC
(4,15),-1.49109 # DEPENDENCYPART_ARC
(4,16),-0.810194 # DEPENDENCYPART_ARC
(4,17),-1.38892 # DEPENDENCYPART_ARC
(4,18),-1.38107 # DEPENDENCYPART_ARC
(4,19),-1.4521 # DEPENDENCYPART_ARC
(4,20),-0.855683 # DEPENDENCYPART_ARC
(4,21),-1.90936 # DEPENDENCYPART_ARC
(4,22),-1.22041 # DEPENDENCYPART_ARC
(4,23),-2.33977 # DEPENDENCYPART_ARC
(4,24),-1.07166 # DEPENDENCYPART_ARC
(4,25),-1.27485 # DEPENDENCYPART_ARC
(4,26),-1.82134 # DEPENDENCYPART_ARC
(4,27),-1.68688 # DEPENDENCYPART_ARC
(4,28),-1.75532 # DEPENDENCYPART_ARC
(4,29),-1.84143 # DEPENDENCYPART_ARC
(4,30),-1.87797 # DEPENDENCYPART_ARC
(4,31),-2.67362 # DEPENDENCYPART_ARC
(5,1),0.568541 # DEPENDENCYPART_ARC
(5,2),1.9443 # DEPENDENCYPART_ARC
(5,3),1.83169 # DEPENDENCYPART_ARC
(5,4),2.0765 # DEPENDENCYPART_ARC
(5,6),-0.192176 # DEPENDENCYPART_ARC
(5,7),1.20987 # DEPENDENCYPART_ARC
(5,8),2.11834 # DEPENDENCYPART_ARC
(5,9),1.76941 # DEPENDENCYPART_ARC
(5,10),0.882773 # DEPENDENCYPART_ARC
(5,11),1.25878 # DEPENDENCYPART_ARC
(5,12),1.12973 # DEPENDENCYPART_ARC
(5,13),-0.00190328 # DEPENDENCYPART_ARC
(5,14),-1.17088 # DEPENDENCYPART_ARC
(5,15),0.0962974 # DEPENDENCYPART_ARC
(5,16),0.920652 # DEPENDENCYPART_ARC
(5,17),-0.587047 # DEPENDENCYPART_ARC
(5,18),-0.530223 # DEPENDENCYPART_ARC
(5,19),0.843901 # DEPENDENCYPART_ARC
(5,20),-1.78656 # DEPENDENCYPART_ARC
(5,21),-0.75682 # DEPENDENCYPART_ARC
(5,22),0.464084 # DEPENDENCYPART_ARC
(5,23),-1.69924 # DEPENDENCYPART_ARC
(5,24),0.555836 # DEPENDENCYPART_ARC
(5,25),-0.617012 # DEPENDENCYPART_ARC
(5,26),-1.24423 # DEPENDENCYPART_ARC
(5,27),-1.34062 # DEPENDENCYPART_ARC
(5,28),0.917281 # DEPENDENCYPART_ARC
(5,29),-2.25445 # DEPENDENCYPART_ARC
(5,30),-0.25577 # DEPENDENCYPART_ARC
(5,31),-2.60701 # DEPENDENCYPART_ARC
(6,1),-2.06776 # DEPENDENCYPART_ARC
(6,2),-2.35458 # DEPENDENCYPART_ARC
(6,3),-2.01843 # DEPENDENCYPART_ARC
(6,4),-1.17063 # DEPENDENCYPART_ARC
(6,5),-0.802821 # DEPENDENCYPART_ARC
(6,7),0.232214 # DEPENDENCYPART_ARC
(6,8),0.247624 # DEPENDENCYPART_ARC
(6,9),-0.0949855 # DEPENDENCYPART_ARC
(6,10),-0.652965 # DEPENDENCYPART_ARC
(6,11),-0.451218 # DEPENDENCYPART_ARC
(6,12),-0.669993 # DEPENDENCYPART_ARC
(6,13),-1.8008 # DEPENDENCYPART_ARC
(6,14),-1.66342 # DEPENDENCYPART_ARC
(6,15),-1.18859 # DEPENDENCYPART_ARC
(6,16),-0.6797 # DEPENDENCYPART_ARC
(6,17),-1.96017 # DEPENDENCYPART_ARC
(6,18),-1.97704 # DEPENDENCYPART_ARC
(6,19),-0.840799 # DEPENDENCYPART_ARC
(6,20),-1.89427 # DEPENDENCYPART_ARC
(6,21),-1.26676 # DEPENDENCYPART_ARC
(6,22),-0.991645 # DEPENDENCYPART_ARC
(6,23),-1.14805 # DEPENDENCYPART_ARC
(6,24),-0.979035 # DEPENDENCYPART_ARC
(6,25),-1.60495 # DEPENDENCYPART_ARC
(6,26),-1.49156 # DEPENDENCYPART_ARC
(6,27),-2.40863 # DEPENDENCYPART_ARC
(6,28),-0.96209 # DEPENDENCYPART_ARC
(6,29),-1.60371 # DEPENDENCYPART_ARC
(6,30),-1.39416 # DEPENDENCYPART_ARC
(6,31),-1.5298 # DEPENDENCYPART_ARC
(7,1),-1.84547 # DEPENDENCYPART_ARC
(7,2),-1.91108 # DEPENDENCYPART_ARC
(7,3),-1.77221 # DEPENDENCYPART_ARC
(7,4),-0.739513 # DEPENDENCYPART_ARC
(7,5),-1.24225 # DEPENDENCYPART_ARC
(7,6),0.785207 # DEPENDENCYPART_ARC
(7,8),0.437429 # DEPENDENCYPART_ARC
(7,9),-0.232343 # DEPENDENCYPART_ARC
(7,10),-0.519521 # DEPENDENCYPART_ARC
(7,11),-0.485614 # DEPENDENCYPART_ARC
(7,12),-0.908108 # DEPENDENCYPART_ARC
(7,13),-2.22407 # DEPENDENCYPART_ARC
(7,14),-1.55279 # DEPENDENCYPART_ARC
(7,15),-1.14235 # DEPENDENCYPART_ARC
(7,16),-0.627936 # DEPENDENCYPART_ARC
(7,17),-1.78239 # DEPENDENCYPART_ARC
(7,18),-2.41506 # DEPENDENCYPART_ARC
(7,19),-1.9385 # DEPENDENCYPART_ARC
(7,20),-1.74138 # DEPENDENCYPART_ARC
(7,21),-1.60476 # DEPENDENCYPART_ARC
(7,22),-1.75899 # DEPENDENCYPART_ARC
(7,23),-2.25634 # DEPENDENCYPART_ARC
(7,24),-0.934993 # DEPENDENCYPART_ARC
(7,25),-1.8006 # DEPENDENCYPART_ARC
(7,26),-1.86497 # DEPENDENCYPART_ARC
(7,27),-2.12369 # DEPENDENCYPART_ARC
(7,28),-2.32204 # DEPENDENCYPART_ARC
(7,29),-2.36302 # DEPENDENCYPART_ARC
(7,30),-2.50164 # DEPENDENCYPART_ARC
(7,31),-2.69402 # DEPENDENCYPART_ARC
(8,1),-0.59478 # DEPENDENCYPART_ARC
(8,2),-0.997519 # DEPENDENCYPART_ARC
(8,3),-0.927589 # DEPENDENCYPART_ARC
(8,4),0.192132 # DEPENDENCYPART_ARC
(8,5),-0.856543 # DEPENDENCYPART_ARC
(8,6),3.10155 # DEPENDENCYPART_ARC
(8,7),4.47267 # DEPENDENCYPART_ARC
(8,9),2.05627 # DEPENDENCYPART_ARC
(8,10),1.10737 # DEPENDENCYPART_ARC
(8,11),0.510414 # DEPENDENCYPART_ARC
(8,12),-0.418959 # DEPENDENCYPART_ARC
(8,13),-1.53467 # DEPENDENCYPART_ARC
(8,14),-1.07124 # DEPENDENCYPART_ARC
(8,15),-0.890476 # DEPENDENCYPART_ARC
(8,16),0.0820179 # DEPENDENCYPART_ARC
(8,17),-0.792623 # DEPENDENCYPART_ARC
(8,18),-1.75335 # DEPENDENCYPART_ARC
(8,19),0.025291 # DEPENDENCYPART_ARC
(8,20),-1.33486 # DEPENDENCYPART_ARC
(8,21),-1.0141 # DEPENDENCYPART_ARC
(8,22),-0.294783 # DEPENDENCYPART_ARC
(8,23),-2.47491 # DEPENDENCYPART_ARC
(8,24),-1.23284 # DEPENDENCYPART_ARC
(8,25),-1.35056 # DEPENDENCYPART_ARC
(8,26),-2.53084 # DEPENDENCYPART_ARC
(8,27),-1.27741 # DEPENDENCYPART_ARC
(8,28),-0.108668 # DEPENDENCYPART_ARC
(8,29),-3.0589 # DEPENDENCYPART_ARC
(8,30),-1.12738 # DEPENDENCYPART_ARC
(8,31),-3.18323 # DEPENDENCYPART_ARC
(9,1),-1.61007 # DEPENDENCYPART_ARC
(9,2),-1.96729 # DEPENDENCYPART_ARC
(9,3),-1.93744 # DEPENDENCYPART_ARC
(9,4),-0.978631 # DEPENDENCYPART_ARC
(9,5),-1.99682 # DEPENDENCYPART_ARC
(9,6),-0.929677 # DEPENDENCYPART_ARC
(9,7),-1.02844 # DEPENDENCYPART_ARC
(9,8),-0.363586 # DEPENDENCYPART_ARC
(9,10),4.43631 # DEPENDENCYPART_ARC
(9,11),0.102109 # DEPENDENCYPART_ARC
(9,12),-0.0747344 # DEPENDENCYPART_ARC
(9,13),-0.542228 # DEPENDENCYPART_ARC
(9,14),-1.32782 # DEPENDENCYPART_ARC
(9,15),-1.97957 # DEPENDENCYPART_ARC
(9,16),-1.0364 # DEPENDENCYPART_ARC
(9,17),-1.04393 # DEPENDENCYPART_ARC
(9,18),-1.15077 # DEPENDENCYPART_ARC
(9,19),-2.27526 # DEPENDENCYPART_ARC
(9,20),-1.73035 # DEPENDENCYPART_ARC
(9,21),-3.86669 # DEPENDENCYPART_ARC
(9,22),-1.24158 # DEPENDENCYPART_ARC
(9,23),-2.09309 # DEPENDENCYPART_ARC
(9,24),-2.00733 # DEPENDENCYPART_ARC
(9,25),-1.83167 # DEPENDENCYPART_ARC
(9,26),-1.37477 # DEPENDENCYPART_ARC
(9,27),-1.33792 # DEPENDENCYPART_ARC
(9,28),-3.83133 # DEPENDENCYPART_ARC
(9,29),-2.02004 # DEPENDENCYPART_ARC
(9,30),-3.53315 # DEPENDENCYPART_ARC
(9,31),-2.32779 # DEPENDENCYPART_ARC
(10,1),-2.09601 # DEPENDENCYPART_ARC
(10,2),-1.82852 # DEPENDENCYPART_ARC
(10,3),-2.39799 # DEPENDENCYPART_ARC
(10,4),-1.62839 # DEPENDENCYPART_ARC
(10,5),-2.57565 # DEPENDENCYPART_ARC
(10,6),-0.0769698 # DEPENDENCYPART_ARC
(10,7),0.267595 # DEPENDENCYPART_ARC
(10,8),-1.75918 # DEPENDENCYPART_ARC
(10,9),0.729288 # DEPENDENCYPART_ARC
(10,11),2.51538 # DEPENDENCYPART_ARC
(10,12),-0.0749476 # DEPENDENCYPART_ARC
(10,13),-1.56007 # DEPENDENCYPART_ARC
(10,14),-0.781161 # DEPENDENCYPART_ARC
(10,15),-0.673957 # DEPENDENCYPART_ARC
(10,16),0.21174 # DEPENDENCYPART_ARC
(10,17),-0.993673 # DEPENDENCYPART_ARC
(10,18),-2.0122 # DEPENDENCYPART_ARC
(10,19),0.000643801 # DEPENDENCYPART_ARC
(10,20),-1.01947 # DEPENDENCYPART_ARC
(10,21),-0.974386 # DEPENDENCYPART_ARC
(10,22),0.614568 # DEPENDENCYPART_ARC
(10,23),-2.33536 # DEPENDENCYPART_ARC
(10,24),-1.152 # DEPENDENCYPART_ARC
(10,25),-1.13782 # DEPENDENCYPART_ARC
(10,26),-2.36757 # DEPENDENCYPART_ARC
(10,27),-1.39559 # DEPENDENCYPART_ARC
(10,28),-0.520334 # DEPENDENCYPART_ARC
(10,29),-2.72437 # DEPENDENCYPART_ARC
(10,30),-0.980044 # DEPENDENCYPART_ARC
(10,31),-2.85876 # DEPENDENCYPART_ARC
(11,1),-2.30395 # DEPENDENCYPART_ARC
(11,2),-2.70987 # DEPENDENCYPART_ARC
(11,3),-2.69866 # DEPENDENCYPART_ARC
(11,4),-2.34612 # DEPENDENCYPART_ARC
(11,5),-2.84794 # DEPENDENCYPART_ARC
(11,6),-1.75161 # DEPENDENCYPART_ARC
(11,7),-2.23583 # DEPENDENCYPART_ARC
(11,8),-1.9442 # DEPENDENCYPART_ARC
(11,9),-1.19369 # DEPENDENCYPART_ARC
(11,10),-0.913047 # DEPENDENCYPART_ARC
(11,12),-0.889039 # DEPENDENCYPART_ARC
(11,13),-1.96233 # DEPENDENCYPART_ARC
(11,14),-2.15614 # DEPENDENCYPART_ARC
(11,15),-2.37479 # DEPENDENCYPART_ARC
(11,16),-2.37256 # DEPENDENCYPART_ARC
(11,17),-2.55252 # DEPENDENCYPART_ARC
(11,18),-2.61417 # DEPENDENCYPART_ARC
(11,19),-2.43083 # DEPENDENCYPART_ARC
(11,20),-2.6561 # DEPENDENCYPART_ARC
(11,21),-2.79249 # DEPENDENCYPART_ARC
(11,22),-1.55692 # DEPENDENCYPART_ARC
(11,23),-2.5056 # DEPENDENCYPART_ARC
(11,24),-2.56824 # DEPENDENCYPART_ARC
(11,25),-2.88686 # DEPENDENCYPART_ARC
(11,26),-2.97099 # DEPENDENCYPART_ARC
(11,27),-2.89253 # DEPENDENCYPART_ARC
(11,28),-2.76678 # DEPENDENCYPART_ARC
(11,29),-3.06108 # DEPENDENCYPART_ARC
(11,30),-3.00525 # DEPENDENCYPART_ARC
(11,31),-2.18945 # DEPENDENCYPART_ARC
(12,1),-0.621015 # DEPENDENCYPART_ARC
(12,2),-0.889316 # DEPENDENCYPART_ARC
(12,3),-0.725767 # DEPENDENCYPART_ARC
(12,4),-0.235296 # DEPENDENCYPART_ARC
(12,5),-0.519665 # DEPENDENCYPART_ARC
(12,6),-1.14462 # DEPENDENCYPART_ARC
(12,7),-0.9861 # DEPENDENCYPART_ARC
(12,8),-0.891921 # DEPENDENCYPART_ARC
(12,9),-0.26992 # DEPENDENCYPART_ARC
(12,10),-0.854578 # DEPENDENCYPART_ARC
(12,11),-0.474298 # DEPENDENCYPART_ARC
(12,13),3.35913 # DEPENDENCYPART_ARC
(12,14),0.27928 # DEPENDENCYPART_ARC
(12,15),2.08388 # DEPENDENCYPART_ARC
(12,16),1.21725 # DEPENDENCYPART_ARC
(12,17),0.587697 # DEPENDENCYPART_ARC
(12,18),0.676869 # DEPENDENCYPART_ARC
(12,19),0.340556 # DEPENDENCYPART_ARC
(12,20),-0.949518 # DEPENDENCYPART_ARC
(12,21),0.0813948 # DEPENDENCYPART_ARC
(12,22),0.631394 # DEPENDENCYPART_ARC
(12,23),-0.886404 # DEPENDENCYPART_ARC
(12,24),0.767073 # DEPENDENCYPART_ARC
(12,25),-0.300628 # DEPENDENCYPART_ARC
(12,26),-0.226624 # DEPENDENCYPART_ARC
(12,27),-0.792821 # DEPENDENCYPART_ARC
(12,28),0.287741 # DEPENDENCYPART_ARC
(12,29),-1.11777 # DEPENDENCYPART_ARC
(12,30),-0.0910148 # DEPENDENCYPART_ARC
(12,31),-1.68056 # DEPENDENCYPART_ARC
(13,1),-1.79592 # DEPENDENCYPART_ARC
(13,2),-2.23027 # DEPENDENCYPART_ARC
(13,3),-2.14304 # DEPENDENCYPART_ARC
(13,4),-1.74862 # DEPENDENCYPART_ARC
(13,5),-3.258 # DEPENDENCYPART_ARC
(13,6),-0.801792 # DEPENDENCYPART_ARC
(13,7),-1.9237 # DEPENDENCYPART_ARC
(13,8),-2.26299 # DEPENDENCYPART_ARC
(13,9),-1.32143 # DEPENDENCYPART_ARC
(13,10),-2.25931 # DEPENDENCYPART_ARC
(13,11),-0.994105 # DEPENDENCYPART_ARC
(13,12),-0.40997 # DEPENDENCYPART_ARC
(13,14),0.142337 # DEPENDENCYPART_ARC
(13,15),0.07584 # DEPENDENCYPART_ARC
(13,16),-0.367779 # DEPENDENCYPART_ARC
(13,17),-0.710287 # DEPENDENCYPART_ARC
(13,18),-1.64155 # DEPENDENCYPART_ARC
(13,19),-0.87941 # DEPENDENCYPART_ARC
(13,20),-1.82036 # DEPENDENCYPART_ARC
(13,21),-1.35923 # DEPENDENCYPART_ARC
(13,22),-0.799447 # DEPENDENCYPART_ARC
(13,23),-1.49841 # DEPENDENCYPART_ARC
(13,24),-1.15746 # DEPENDENCYPART_ARC
(13,25),-2.06663 # DEPENDENCYPART_ARC
(13,26),-2.68435 # DEPENDENCYPART_ARC
(13,27),-1.83277 # DEPENDENCYPART_ARC
(13,28),-2.37784 # DEPENDENCYPART_ARC
(13,29),-2.44077 # DEPENDENCYPART_ARC
(13,30),-2.09277 # DEPENDENCYPART_ARC
(13,31),-1.95122 # DEPENDENCYPART_ARC
(14,1),-1.77677 # DEPENDENCYPART_ARC
(14,2),-2.5105 # DEPENDENCYPART_ARC
(14,3),-2.58397 # DEPENDENCYPART_ARC
(14,4),-1.72935 # DEPENDENCYPART_ARC
(14,5),-2.97806 # DEPENDENCYPART_ARC
(14,6),-1.9893 # DEPENDENCYPART_ARC
(14,7),-2.28215 # DEPENDENCYPART_ARC
(14,8),-2.60286 # DEPENDENCYPART_ARC
(14,9),-1.31741 # DEPENDENCYPART_ARC
(14,10),-1.96298 # DEPENDENCYPART_ARC
(14,11),-0.954844 # DEPENDENCYPART_ARC
(14,12),-0.965571 # DEPENDENCYPART_ARC
(14,13),0.0219339 # DEPENDENCYPART_ARC
(14,15),0.852949 # DEPENDENCYPART_ARC
(14,16),-0.370637 # DEPENDENCYPART_ARC
(14,17),-1.0589 # DEPENDENCYPART_ARC
(14,18),-1.38983 # DEPENDENCYPART_ARC
(14,19),-0.901832 # DEPENDENCYPART_ARC
(14,20),-1.68377 # DEPENDENCYPART_ARC
(14,21),-1.31295 # DEPENDENCYPART_ARC
(14,22),-0.858717 # DEPENDENCYPART_ARC
(14,23),-0.977843 # DEPENDENCYPART_ARC
(14,24),-0.846301 # DEPENDENCYPART_ARC
(14,25),-1.44886 # DEPENDENCYPART_ARC
(14,26),-1.28803 # DEPENDENCYPART_ARC
(14,27),-2.16386 # DEPENDENCYPART_ARC
(14,28),-1.48886 # DEPENDENCYPART_ARC
(14,29),-1.37371 # DEPENDENCYPART_ARC
(14,30),-1.32311 # DEPENDENCYPART_ARC
(14,31),-1.31639 # DEPENDENCYPART_ARC
(15,1),-1.73191 # DEPENDENCYPART_ARC
(15,2),-1.28893 # DEPENDENCYPART_ARC
(15,3),-1.65588 # DEPENDENCYPART_ARC
(15,4),-1.31904 # DEPENDENCYPART_ARC
(15,5),-2.88325 # DEPENDENCYPART_ARC
(15,6),-2.13946 # DEPENDENCYPART_ARC
(15,7),-1.60114 # DEPENDENCYPART_ARC
(15,8),-2.65007 # DEPENDENCYPART_ARC
(15,9),-0.526789 # DEPENDENCYPART_ARC
(15,10),-1.48123 # DEPENDENCYPART_ARC
(15,11),-1.89445 # DEPENDENCYPART_ARC
(15,12),-0.766965 # DEPENDENCYPART_ARC
(15,13),0.222675 # DEPENDENCYPART_ARC
(15,14),4.19305 # DEPENDENCYPART_ARC
(15,16),0.852737 # DEPENDENCYPART_ARC
(15,17),0.532926 # DEPENDENCYPART_ARC
(15,18),-1.06696 # DEPENDENCYPART_ARC
(15,19),0.680907 # DEPENDENCYPART_ARC
(15,20),-0.876459 # DEPENDENCYPART_ARC
(15,21),-0.25621 # DEPENDENCYPART_ARC
(15,22),0.105359 # DEPENDENCYPART_ARC
(15,23),-1.19929 # DEPENDENCYPART_ARC
(15,24),-1.04244 # DEPENDENCYPART_ARC
(15,25),-0.780858 # DEPENDENCYPART_ARC
(15,26),-1.94881 # DEPENDENCYPART_ARC
(15,27),-1.44075 # DEPENDENCYPART_ARC
(15,28),-0.715635 # DEPENDENCYPART_ARC
(15,29),-1.72442 # DEPENDENCYPART_ARC
(15,30),-0.665761 # DEPENDENCYPART_ARC
(15,31),-2.1309 # DEPENDENCYPART_ARC
(16,1),-1.40317 # DEPENDENCYPART_ARC
(16,2),-2.55078 # DEPENDENCYPART_ARC
(16,3),-2.34895 # DEPENDENCYPART_ARC
(16,4),-1.59474 # DEPENDENCYPART_ARC
(16,5),-2.56168 # DEPENDENCYPART_ARC
(16,6),-1.69663 # DEPENDENCYPART_ARC
(16,7),-2.06545 # DEPENDENCYPART_ARC
(16,8),-2.23742 # DEPENDENCYPART_ARC
(16,9),-1.594 # DEPENDENCYPART_ARC
(16,10),-2.04379 # DEPENDENCYPART_ARC
(16,11),-1.63239 # DEPENDENCYPART_ARC
(16,12),-2.07399 # DEPENDENCYPART_ARC
(16,13),-0.799129 # DEPENDENCYPART_ARC
(16,14),-0.382947 # DEPENDENCYPART_ARC
(16,15),-0.359611 # DEPENDENCYPART_ARC
(16,17),0.812092 # DEPENDENCYPART_ARC
(16,18),0.125134 # DEPENDENCYPART_ARC
(16,19),2.04405 # DEPENDENCYPART_ARC
(16,20),-0.36995 # DEPENDENCYPART_ARC
(16,21),-0.179795 # DEPENDENCYPART_ARC
(16,22),0.881897 # DEPENDENCYPART_ARC
(16,23),-0.0133543 # DEPENDENCYPART_ARC
(16,24),0.774136 # DEPENDENCYPART_ARC
(16,25),-0.709345 # DEPENDENCYPART_ARC
