# _root_ A sfogliare le pagine del nuovo libro di Ghezzi , che raccoglie i suoi testi critici dal 1974 ( al 2001 ... ) , sotto il titolo Paura e desiderio .
#goldHeads=0,1,4,2,4,7,5,7,8,9,12,5,15,15,12,15,15,17,20,15,20,21,22,23,12,27,25,27,28,29,30,
#predictedHeads=20,1,4,2,4,7,5,7,8,9,12,0,15,15,12,15,12,17,20,17,20,21,22,23,12,27,25,27,28,27,30,
(11,2),-2.55639 # DEPENDENCYPART_ARC
(11,3),-1.24846 # DEPENDENCYPART_ARC
(11,4),-2.672 # DEPENDENCYPART_ARC
(11,5),-2.12121 # DEPENDENCYPART_ARC
(11,6),-2.37507 # DEPENDENCYPART_ARC
(11,7),-2.42147 # DEPENDENCYPART_ARC
(11,8),-0.915379 # DEPENDENCYPART_ARC
(11,9),-1.17459 # DEPENDENCYPART_ARC
(11,10),0.0331629 # DEPENDENCYPART_ARC
(11,12),1.05573 # DEPENDENCYPART_ARC
(11,13),-0.694836 # DEPENDENCYPART_ARC
(11,14),0.154063 # DEPENDENCYPART_ARC
(11,15),-0.733426 # DEPENDENCYPART_ARC
(11,16),-0.0651183 # DEPENDENCYPART_ARC
(11,17),-2.03585 # DEPENDENCYPART_ARC
(11,18),-1.01715 # DEPENDENCYPART_ARC
(11,19),-1.08787 # DEPENDENCYPART_ARC
(11,20),-2.43879 # DEPENDENCYPART_ARC
(11,21),-1.06092 # DEPENDENCYPART_ARC
(11,22),-1.28351 # DEPENDENCYPART_ARC
(11,23),-1.57246 # DEPENDENCYPART_ARC
(11,24),-1.18879 # DEPENDENCYPART_ARC
(11,25),-2.14193 # DEPENDENCYPART_ARC
(11,26),-1.65484 # DEPENDENCYPART_ARC
(11,27),-1.47537 # DEPENDENCYPART_ARC
(11,28),-1.63889 # DEPENDENCYPART_ARC
(11,29),-0.903781 # DEPENDENCYPART_ARC
(11,30),-1.59059 # DEPENDENCYPART_ARC
(11,31),-2.23011 # DEPENDENCYPART_ARC
(12,1),-0.816785 # DEPENDENCYPART_ARC
(12,2),-1.10863 # DEPENDENCYPART_ARC
(12,3),-1.78018 # DEPENDENCYPART_ARC
(12,4),-0.835973 # DEPENDENCYPART_ARC
(12,5),-1.70166 # DEPENDENCYPART_ARC
(12,6),-1.42787 # DEPENDENCYPART_ARC
(12,7),-0.734701 # DEPENDENCYPART_ARC
(12,8),-1.45777 # DEPENDENCYPART_ARC
(12,9),-0.49714 # DEPENDENCYPART_ARC
(12,10),-1.86009 # DEPENDENCYPART_ARC
(12,11),3.21202 # DEPENDENCYPART_ARC
(12,13),0.487508 # DEPENDENCYPART_ARC
(12,14),0.966472 # DEPENDENCYPART_ARC
(12,15),2.26648 # DEPENDENCYPART_ARC
(12,16),0.416299 # DEPENDENCYPART_ARC
(12,17),1.27509 # DEPENDENCYPART_ARC
(12,18),0.422266 # DEPENDENCYPART_ARC
(12,19),-0.34912 # DEPENDENCYPART_ARC
(12,20),0.757609 # DEPENDENCYPART_ARC
(12,21),0.290788 # DEPENDENCYPART_ARC
(12,22),-0.226988 # DEPENDENCYPART_ARC
(12,23),-0.617328 # DEPENDENCYPART_ARC
(12,24),0.10699 # DEPENDENCYPART_ARC
(12,25),1.01012 # DEPENDENCYPART_ARC
(12,26),-1.38229 # DEPENDENCYPART_ARC
(12,27),-0.154214 # DEPENDENCYPART_ARC
(12,28),-0.5328 # DEPENDENCYPART_ARC
(12,29),0.634993 # DEPENDENCYPART_ARC
(12,30),-1.3462 # DEPENDENCYPART_ARC
(12,31),-1.72357 # DEPENDENCYPART_ARC
(13,1),-2.22051 # DEPENDENCYPART_ARC
(13,2),-3.09506 # DEPENDENCYPART_ARC
(13,3),-1.91051 # DEPENDENCYPART_ARC
(13,4),-2.64638 # DEPENDENCYPART_ARC
(13,5),-2.26788 # DEPENDENCYPART_ARC
(13,6),-2.39248 # DEPENDENCYPART_ARC
(13,7),-2.6495 # DEPENDENCYPART_ARC
(13,8),-1.75203 # DEPENDENCYPART_ARC
(13,9),-2.50472 # DEPENDENCYPART_ARC
(13,10),-1.34457 # DEPENDENCYPART_ARC
(13,11),-1.2715 # DEPENDENCYPART_ARC
(13,12),-1.33284 # DEPENDENCYPART_ARC
(13,14),0.198681 # DEPENDENCYPART_ARC
(13,15),0.00116318 # DEPENDENCYPART_ARC
(13,16),-0.911526 # DEPENDENCYPART_ARC
(13,17),-0.704713 # DEPENDENCYPART_ARC
(13,18),-0.803919 # DEPENDENCYPART_ARC
(13,19),-0.557218 # DEPENDENCYPART_ARC
(13,20),-0.967294 # DEPENDENCYPART_ARC
(13,21),-0.928589 # DEPENDENCYPART_ARC
(13,22),-0.696046 # DEPENDENCYPART_ARC
(13,23),-0.686901 # DEPENDENCYPART_ARC
(13,24),-0.833883 # DEPENDENCYPART_ARC
(13,25),-1.02754 # DEPENDENCYPART_ARC
(13,26),-1.6374 # DEPENDENCYPART_ARC
(13,27),-1.48658 # DEPENDENCYPART_ARC
(13,28),-1.77935 # DEPENDENCYPART_ARC
(13,29),-0.773459 # DEPENDENCYPART_ARC
(13,30),-1.57439 # DEPENDENCYPART_ARC
(13,31),-1.12079 # DEPENDENCYPART_ARC
(14,1),-1.27277 # DEPENDENCYPART_ARC
(14,2),-2.11524 # DEPENDENCYPART_ARC
(14,3),-1.23793 # DEPENDENCYPART_ARC
(14,4),-2.39484 # DEPENDENCYPART_ARC
(14,5),-1.27887 # DEPENDENCYPART_ARC
(14,6),-2.03751 # DEPENDENCYPART_ARC
(14,7),-2.10233 # DEPENDENCYPART_ARC
(14,8),-1.09135 # DEPENDENCYPART_ARC
(14,9),-1.75462 # DEPENDENCYPART_ARC
(14,10),-1.36743 # DEPENDENCYPART_ARC
(14,11),-0.0776569 # DEPENDENCYPART_ARC
(14,12),-0.964946 # DEPENDENCYPART_ARC
(14,13),1.45157 # DEPENDENCYPART_ARC
(14,15),1.0119 # DEPENDENCYPART_ARC
(14,16),0.99383 # DEPENDENCYPART_ARC
(14,17),0.242071 # DEPENDENCYPART_ARC
(14,18),-0.790751 # DEPENDENCYPART_ARC
(14,19),-1.01835 # DEPENDENCYPART_ARC
(14,20),-0.243767 # DEPENDENCYPART_ARC
(14,21),-1.02384 # DEPENDENCYPART_ARC
(14,22),-0.50032 # DEPENDENCYPART_ARC
(14,23),-0.704576 # DEPENDENCYPART_ARC
(14,24),0.0938732 # DEPENDENCYPART_ARC
(14,25),-0.925889 # DEPENDENCYPART_ARC
(14,26),-1.31157 # DEPENDENCYPART_ARC
(14,27),-1.16254 # DEPENDENCYPART_ARC
(14,28),-1.27791 # DEPENDENCYPART_ARC
(14,29),-0.585816 # DEPENDENCYPART_ARC
(14,30),-1.0774 # DEPENDENCYPART_ARC
(14,31),-1.63921 # DEPENDENCYPART_ARC
(15,1),-0.99427 # DEPENDENCYPART_ARC
(15,2),-1.91642 # DEPENDENCYPART_ARC
(15,3),-1.07547 # DEPENDENCYPART_ARC
(15,4),-1.41827 # DEPENDENCYPART_ARC
(15,5),-0.954373 # DEPENDENCYPART_ARC
(15,6),-0.397577 # DEPENDENCYPART_ARC
(15,7),-1.82995 # DEPENDENCYPART_ARC
(15,8),-0.702077 # DEPENDENCYPART_ARC
(15,9),-1.04923 # DEPENDENCYPART_ARC
(15,10),-1.51704 # DEPENDENCYPART_ARC
(15,11),-0.544767 # DEPENDENCYPART_ARC
(15,12),-1.82516 # DEPENDENCYPART_ARC
(15,13),3.83403 # DEPENDENCYPART_ARC
(15,14),4.30989 # DEPENDENCYPART_ARC
(15,16),3.40024 # DEPENDENCYPART_ARC
(15,17),1.23013 # DEPENDENCYPART_ARC
(15,18),0.557614 # DEPENDENCYPART_ARC
(15,19),-1.37275 # DEPENDENCYPART_ARC
(15,20),0.199539 # DEPENDENCYPART_ARC
(15,21),0.192601 # DEPENDENCYPART_ARC
(15,22),-0.353607 # DEPENDENCYPART_ARC
(15,23),-0.5785 # DEPENDENCYPART_ARC
(15,24),-0.0934222 # DEPENDENCYPART_ARC
(15,25),-0.0949336 # DEPENDENCYPART_ARC
(15,26),-0.407552 # DEPENDENCYPART_ARC
(15,27),-0.458187 # DEPENDENCYPART_ARC
(15,28),-0.262278 # DEPENDENCYPART_ARC
(15,29),0.651751 # DEPENDENCYPART_ARC
(15,30),0.158212 # DEPENDENCYPART_ARC
(15,31),-2.01437 # DEPENDENCYPART_ARC
(16,1),-0.998771 # DEPENDENCYPART_ARC
(16,2),-1.96242 # DEPENDENCYPART_ARC
(16,3),-0.919964 # DEPENDENCYPART_ARC
(16,4),-2.22626 # DEPENDENCYPART_ARC
(16,5),-0.984098 # DEPENDENCYPART_ARC
(16,6),-1.81102 # DEPENDENCYPART_ARC
(16,7),-1.95222 # DEPENDENCYPART_ARC
(16,8),-0.704192 # DEPENDENCYPART_ARC
(16,9),-1.71443 # DEPENDENCYPART_ARC
(16,10),-1.42546 # DEPENDENCYPART_ARC
(16,11),-0.307915 # DEPENDENCYPART_ARC
(16,12),-1.75997 # DEPENDENCYPART_ARC
(16,13),0.201298 # DEPENDENCYPART_ARC
(16,14),0.251138 # DEPENDENCYPART_ARC
(16,15),0.827405 # DEPENDENCYPART_ARC
(16,17),1.26168 # DEPENDENCYPART_ARC
(16,18),0.033382 # DEPENDENCYPART_ARC
(16,19),0.0381105 # DEPENDENCYPART_ARC
(16,20),0.465021 # DEPENDENCYPART_ARC
(16,21),-0.371971 # DEPENDENCYPART_ARC
(16,22),0.393591 # DEPENDENCYPART_ARC
(16,23),0.20791 # DEPENDENCYPART_ARC
(16,24),0.808948 # DEPENDENCYPART_ARC
(16,25),-0.292235 # DEPENDENCYPART_ARC
